Title	Artist	Date	Subject	Description	Notes	Edition	Type	Original Format	Original Size	Digital Format	Repository	Repository Collection Guide	Restrictions	Cite As	Contact Info	Frame Size	Accession Number	Language	Object File Name	Item URL	Collection URL	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Cataloger	Cataloged Date	Digitized By	Publisher	Digitized Date	Credit Line	Contributors	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Elegant fowl	Durieux, Caroline, 1896-1989	1972	Owls	The prints depicts a large owl solemnly seated upon a solitary limb.	The isotope used was Promethium 147. The artist made the initial drawing using only brush work with radioactive ink and washes. The bird and its environment are handled with bold lines and composed of heavy dark washes. The artist creates an interesting focal point in the area of the eyes and the clutching feet of the owl. These areas are primarily stark white with dark bold outlines.	5 of 10	Image	Black and white electron	20 x 14-1/8 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		74.1.17		cd000049	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-13	PA		2004-07-20		Assisted by Dr. Robert McIllhenny, LSU		2004-08-13	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/11	11	75018139102003_375.jp2		/CWD/image/75018139102003_375.jp2
STORM	Durieux, Caroline, 1896-1989	1977	NA	NA			Image	CLICHÉ VERRE WITH WATERCOLOR	H: 10    W: 8	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		77.22.20	NA	cd000202	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1	NA	NA	NA	NA	NA	NA	NA	NA		NA		2004-02-16	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/12	12	18720139102003_407.jp2		/CWD/image/18720139102003_407.jp2
LOSS OF IDENTITY	Durieux, Caroline, 1896-1989	1972	NA	NA			Image	BLACK AND WHITE CLICHÉ VERRE WITH WATERCOLOR	H: 10   W: 9-1/2	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		74.1.13	NA	cd000198	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1	NA	NA	NA	NA	NA	NA	NA	NA		NA		2004-02-16	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/13	13	56218139102003_371.jp2		/CWD/image/56218139102003_371.jp2
Club	Durieux, Caroline, 1896-1989	1952	Women; Clubs	The scene depicts the LSU faculty club's mail lounge in which the faculty wives would often meet. Ms. Durieux recalled it was a popular meeting place for social gatherings of ladies' groups. Two seated female figures dominate the central plane and display the artist's enjoyment of contrasting the generations, a subject she claimed, "...always amuses me."	The work was printed from an initial drawing made on architects' tracing cloth. This vehicle allows the print to reproduce the fine linen weave thus creating a finely woven texture to the work. The drawing was made using brush and ink and pen and ink., both ink solutions being radioactive.	Ed. 6	Image	Black electron	5-1/4 x 7-1/2 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		67.1.6		cd000129	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-20	PA		2004-08-03		Assisted by Mrs. Naomi Wheeler		2004-08-03	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/14	14	70313139102003_260.jp2		/CWD/image/70313139102003_260.jp2
TWO OF A KIND	Durieux, Caroline, 1896-1989	1953	NA	NA			Image	COLOR LITHOGRAPH	H: 14"" W: 17""	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.71	NA		See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1	NA	NA	NA	NA	NA	NA	NA	NA		NA		2003-10-15	2003-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/15	15	7817139102003_337.sid		/CWD/image/7817139102003_337.sid
Pseudo frog	Durieux, Caroline, 1896-1989	1952	Abstract paintings; Frogs	Abstract image of three frogs against a textured background of short and frenetic horizontal lines. Each frog has a different overall pattern drawn over a mid-toned body. The frog in the front of the picture has open dots, the middle frog, a series of "v" or checkmarks and the frog in the back is decorated with dashes. Each frog has darker arm like appendages but no legs are visible. The print is vertically oriented.			Image	Black electron	10-1/16 x 7 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		84.20.11		cd000040	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-13	JC		2004-07-13	Dr. & Mrs. Harry E. Wheeler, Lexington, KY			2004-08-13	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/16	16	90620139102003_423.jp2		/CWD/image/90620139102003_423.jp2
Friends of poseiden	Durieux, Caroline, 1896-1989	1966	Abstract paintings; Fish; Aquatic animals	This cliche-verre is worked in shades of grey. The design of the print  suggests the frenzy of the various sea creatures.	A later edition of this print was reworked by the artist in which a yellow color was added. The artist related that she feels the yellow greatly enhances the results of the printing.  A single matrix was used in this print with the negative areas created by scraping away the emulsion from the matrix. Ms. Durieux  recalled her intention when first designing the print. It seems she was  invited to spend a weekend on the gulf coast at the LSU Wetlands experimental Station in Ocean Springs, Ms. While on this excursion, the artist experienced a number of fishing-related activities. Her experiences influenced her design.	8 of 10	Image	Cliché- verre	13-5/8 x 16-1/2 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		67.1.2		cd000016	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-12	JC		2004-07-13		Printed with Christina Baklanoff and John Christman		2004-08-13	2008-03-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/17	17	48413139102003_256.jp2		/CWD/image/48413139102003_256.jp2
Beggar	Durieux, Caroline, 1896-1989	1953	Beggars	Seated male figure roughly three quarter turned to the picture plane with legs crossed and left hand uplifted. Right arm is severed approximately four inches below elbow. Figure has mexican-Indian features composed of long nose, thick lips, straight hair and is emaciated. The figure is dressed in rags and sits on pavement.	Another copy from the same edition Acc. No. 2001.3.65	6 of 6	Image	Black electron	10-1/4 x 7-1/2 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art. Copyright is retained in accordance with U. S. copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		77.22.1		cd000007	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	color	1:1				XZ	2003-11-11	PA		2004-07-13				2004-08-13	2008-03-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/18	18	64019139102003_395.jp2		/CWD/image/64019139102003_395.jp2
Bipeds dancing	Durieux, Caroline, 1896-1989	1932	Men; Women; Dance; Dance parties	The setting for the print's composition was the Mexico City Country Club. The obvious contradiction was in the name of the club and the predominate number of foreign ethnic types. The characters depicted are said by the artist to be "types"  which fall out of her memory whenever needed. She related that she never draws anybody in particular, for everybody can be classed into a particular " type."	The method of drawing used by the artist required the use of only a lithographic pencil. Different textures is a result of how fine the stone is ground.	2 of 10	Image	Black lithograph	7-7/8 x 8-5/8 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.3		cd000082	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-18	PA		2004-07-27		the printing was done in the studio of Senefelders, in 1932 in Mexico City.		2004-08-13	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/19	19	14015139102003_293.jp2		/CWD/image/14015139102003_293.jp2
Creola	Durieux, Caroline, 1896-1989	1936	Women; Portraits	This bust-length female figure is not an actual portrait, but is another of the satirical "types" drawn from the artist's imagination. The figure is turned left roughly three quarters to the picture plane. The subject is a thin woman with thin, penciled eyebrows, and an upturned nose which terminates in broad nostrils. The subject's eyes are narrow slits and she has high cheekbones, as well as thin lips with very dark lipstick  and her teeth are uneven. Her hair is arranged in a very curly permanent as was fashionable during the 1930s. Her dress has a square cut neckline which is bordered with ruffles and there are puff sleeves at the shoulders made of a mesh material which is decorated with stars.	This print is part of the artists' y MRSINorth American Seriesttp://, and was printed from zinc plates and executed in Taxco, Mexico. This print is unnumbered and was not included in Cynthia Lamey's Caroline Durieux exhibition in 1965. Mrs. Durieux cannot remember the print. She thinks that this is a printer's proof of a lithograph that was never made as an edition.		Image	Black lithograph	22-7/16 x 16-1/8 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		79.19.1		cd000125	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-20	PA		2004-08-03				2004-08-03	2008-03-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/21	21	71820139102003_419.jp2		/CWD/image/71820139102003_419.jp2
DEEP SOUTH	Durieux, Caroline, 1896-1989	1957	NA	NA	Image unavailable		Image	COLOR LITHOGRAPH	H: 18-1/2""  W: 14-1/4""	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.78	NA		See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1	NA	NA	NA	NA	NA	NA	NA	NA		NA		2003-11-11	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/22	22	37517139102003_344.sid		/CWD/image/37517139102003_344.sid
