Title	Creator	Date	Physical Description	Description/Notes	Language	Type	Repository	Call Number / Shelving Location	Restrictions	Contact and Ordering Information	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Lumières Fall 1981	Friends of the LSU Libraries.	1981-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/10	10	11.pdf	/p16313coll85/image/11.pdf
Lumières Spring 1981	Friends of the LSU Libraries.	1981-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/11	11	12.pdf	/p16313coll85/image/12.pdf
Lumières Supplement Spring 1981	Friends of the LSU Libraries.	1981	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/12	12	13.pdf	/p16313coll85/image/13.pdf
Lumières April 1982	Friends of the LSU Libraries.	1982-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/13	13	14.pdf	/p16313coll85/image/14.pdf
Lumières Fall 1982	Friends of the LSU Libraries.	1982-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/14	14	15.pdf	/p16313coll85/image/15.pdf
Lumières Fall 1983	Friends of the LSU Libraries.	1983-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/15	15	16.pdf	/p16313coll85/image/16.pdf
Lumières Spring 1983	Friends of the LSU Libraries.	1983-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/16	16	17.pdf	/p16313coll85/image/17.pdf
Lumières Fall 1984	Friends of the LSU Libraries.	1984-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/17	17	18.pdf	/p16313coll85/image/18.pdf
Lumières Special Tenth Anniversary Issue 1984	Friends of the LSU Libraries.	1984	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/18	18	19.pdf	/p16313coll85/image/19.pdf
Lumières Spring 1984	Friends of the LSU Libraries.	1984-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/19	19	20.pdf	/p16313coll85/image/20.pdf
Lumières Fall 1985	Friends of the LSU Libraries.	1985-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/20	20	21.pdf	/p16313coll85/image/21.pdf
Lumières Spring 1985	Friends of the LSU Libraries.	1985-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/21	21	22.pdf	/p16313coll85/image/22.pdf
Lumières Fall 1986	Friends of the LSU Libraries.	1986-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/22	22	23.pdf	/p16313coll85/image/23.pdf
Lumières Spring 1986	Friends of the LSU Libraries.	1986-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/23	23	24.pdf	/p16313coll85/image/24.pdf
Lumières Spring 1987	Friends of the LSU Libraries.	1987-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/24	24	25.pdf	/p16313coll85/image/25.pdf
Lumières Fall 1988	Friends of the LSU Libraries.	1988-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/25	25	26.pdf	/p16313coll85/image/26.pdf
Lumières Spring 1988	Friends of the LSU Libraries.	1988-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/26	26	27.pdf	/p16313coll85/image/27.pdf
Lumières Fall 1989	Friends of the LSU Libraries.	1981-03	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/27	27	28.pdf	/p16313coll85/image/28.pdf
Lumières Spring 1989	Friends of the LSU Libraries.	1989-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/28	28	29.pdf	/p16313coll85/image/29.pdf
Lumières Spring 2002	Friends of the LSU Libraries.	2002-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/29	29	30.pdf	/p16313coll85/image/30.pdf
Lumières Fall 2002	Friends of the LSU Libraries.	2002-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/30	30	31.pdf	/p16313coll85/image/31.pdf
Lumières Spring 2001	Friends of the LSU Libraries.	2001-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/31	31	32.pdf	/p16313coll85/image/32.pdf
