Title	Creator	Date	Physical Description	Summary	Description	Language	Type	Subjects	Series	Repository	Repository Collection Guide	Call Number / Shelving Location	Cite as	Restrictions	Contact and Ordering Information	Digital Format	Digital Reproduction Information	Item URL	Collection URL	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/470	470	498.jp2	/p16313coll76/image/498.jp2
Page 2																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/471	471	499.jp2	/p16313coll76/image/499.jp2
Page 3																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/472	472	500.jp2	/p16313coll76/image/500.jp2
Page 4																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/473	473	501.jp2	/p16313coll76/image/501.jp2
Antoine Doussan to Auguste Doussan, 1840 Feb. 14	Doussan, Antoine J.	1840-02-14	1 letter.	New Orleans, February 14, 1840, Antoine Doussan to Auguste Doussan.  [Auguste Doussan is by this time a doctor in Grasse, France.]  The writer relates business transactions.  He brings up 'Dr. Patrick' as the purchaser of Auguste Doussan's plantation.	Antoine Doussan, New Orleans, to Auguste Doussan. The Doussans were an émigré French family who came to Louisiana in the wake of Napoleon's downfall.  The patriarch, Antoine, a medical doctor and former soldier under Napoleon, managed the family's cotton and sugar plantation in West Baton Rouge Parish as well as French-resident members' financial affairs in Louisiana. Auguste Doussan was the younger brother of Antoine Doussan.  He practiced medicine in Grasse, France, and married Louise Perrin, who was a relative of the Allain family of Louisiana.Antoine Doussan relates business transactions.  Antoine mentions 'Dr. Patrick' as the purchaser of Auguste Doussan's plantation.	French.	Text.	Doussan, Antoine J.; Doussan, Auguste Alexandre; New Orleans (La.)--History--19th Century; Grasse (France)--History--19th Century; Medicine--Practice--France--19th Century; Louisiana--Economic Conditions--19th Century; Plantation Owners--Louisiana--19th Century	I. Correspondence, 1827-1849, undated.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	http://www.lib.lsu.edu/special/findaid/4800.pdf	U: 317	Doussan Family Papers, Mss. 4800, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana.	Physical rights are retained by the LSU Libraries. Copyright has expired and the item  is therefore in the public domain.  Permission to reproduce this image must be  requested through the Special Collections Division, Louisiana State University  Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the ""Item number"" or ""Item URL"" in your request.	Jpeg2000	Images digitized using a Epson Flatbed Scanner 110000XL and converted from tiff to jpeg2000 with Photoshop software.	See 'reference url' on the navigation bar.			2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/474	474	502.cpd	/p16313coll76/image/502.cpd
Page 1																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/475	475	503.jp2	/p16313coll76/image/503.jp2
Page 2																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/476	476	504.jp2	/p16313coll76/image/504.jp2
Page 3																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/477	477	505.jp2	/p16313coll76/image/505.jp2
Page 4																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/478	478	506.jp2	/p16313coll76/image/506.jp2
Antoine Doussan to Auguste Doussan, 1840 June 11	Doussan, Antoine J.	1840-06-11	1 letter.	Baton Rouge, June 11, 1840, Antoine Doussan to Auguste Doussan in Grasse.  Antoine presents Auguste the projected itinerary and expenses for their nephew's stay in France.  The writer mentions another Doussan brother--Louis--as well as Auguste's son Émile.	Antoine Doussan, Baton Rouge, to Auguste Doussan in Grasse.  The Doussans were an émigré French family who came to Louisiana in the wake of Napoleon's downfall.  The patriarch, Antoine, a medical doctor and former soldier under Napoleon, managed the family's cotton and sugar plantation in West Baton Rouge Parish as well as French-resident members' financial affairs in Louisiana. Auguste Doussan was the younger brother of Antoine Doussan.  He practiced medicine in Grasse, France, and married Louise Perrin, who was a relative of the Allain family of Louisiana. Antoine presents Auguste the projected itinerary and expenses for their nephew's stay in France.  The writer mentions another Doussan brother – Louis – as well as Auguste's son Émile.	French.	Text.	Doussan, Antoine J.; Doussan, Auguste Alexandre; Doussan, Louis; Doussan, Émile; Baton Rouge (La.)--History--19th Century; Grasse (France)--History--19th Century	I. Correspondence, 1827-1849, undated.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	http://www.lib.lsu.edu/special/findaid/4800.pdf	U: 319	Doussan Family Papers, Mss. 4800, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana.	Physical rights are retained by the LSU Libraries. Copyright has expired and the item  is therefore in the public domain.  Permission to reproduce this image must be  requested through the Special Collections Division, Louisiana State University  Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the &quot;&quot;Item number&quot;&quot; or &quot;&quot;Item URL&quot;&quot; in your request.	Jpeg2000	Images digitized using a Epson Flatbed Scanner 110000XL and converted from tiff to jpeg2000 with Photoshop software.	See 'reference url' on the navigation bar.			2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/479	479	507.cpd	/p16313coll76/image/507.cpd
Page 1																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/480	480	508.jp2	/p16313coll76/image/508.jp2
Page 2																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/481	481	509.jp2	/p16313coll76/image/509.jp2
Page 3																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/482	482	510.jp2	/p16313coll76/image/510.jp2
Page 4																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/483	483	511.jp2	/p16313coll76/image/511.jp2
Antoine Doussan to Auguste Doussan, 1840 May 19	Doussan, Antoine J.	1840-05-19	1 letter.	May 19, 1840, Antoine Doussan to Auguste Doussan in Grasse.  The writer relates that 'Monsieur Valérien and Célestine' have arrived.  He complains about Joachim and Julie Ambert's short stay in Louisiana before their return to France as well as their apparent disdain for the place of Julie's birth.  Doussan mentions Dubroca and discusses business transactions.  He gives details surrounding a powerful 'coup de vent' that devastated Natchez, Mississippi, and comments on economic conditions in Louisiana and Mississippi. 	Antoine Doussan to Auguste Doussan in Grasse.  The Doussans were an émigré French family who came to Louisiana in the wake of Napoleon's downfall.  The patriarch, Antoine, a medical doctor and former soldier under Napoleon, managed the family's cotton and sugar plantation in West Baton Rouge Parish as well as French-resident members' financial affairs in Louisiana. Auguste Doussan was the younger brother of Antoine Doussan.  He practiced medicine in Grasse, France, and married Louise Perrin, who was a relative of the Allain family of Louisiana. General Baron Joachim Ambert was a French military officer and nobleman with whom Antoine and Auguste Doussan had dealings. Antoine Doussan relates that 'Monsieur Valérien and Célestine' have arrived.  He describes Joachim and Julie Ambert's short stay and their apparent disdain for Louisiana. Antoine discusses business transactions and comments on the economic conditions of Louisiana and Mississippi. He also describes a storm that devastated Natchez, Mississippi.  	French.	Text.	Doussan, Antoine J.; Doussan, Auguste Alexandre; Ambert, Joachim; Ambert, Julie; Grasse (France)--History--19th Century; Louisiana--Social Life and Customs--19th Century; Louisiana--Economic Conditions--19th Century; Mississippi--Economic Conditions--19th Century; Natchez (Ms.)--History--19th Century; Floods--Mississippi River--19th Century	I. Correspondence, 1827-1849, undated.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	http://www.lib.lsu.edu/special/findaid/4800.pdf	U: 318	Doussan Family Papers, Mss. 4800, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana.	Physical rights are retained by the LSU Libraries. Copyright has expired and the item  is therefore in the public domain.  Permission to reproduce this image must be  requested through the Special Collections Division, Louisiana State University  Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the ""Item number"" or ""Item URL"" in your request.	Jpeg2000	Images digitized using a Epson Flatbed Scanner 110000XL and converted from tiff to jpeg2000 with Photoshop software.	See 'reference url' on the navigation bar.			2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/484	484	512.cpd	/p16313coll76/image/512.cpd
Page 1																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/485	485	513.jp2	/p16313coll76/image/513.jp2
Page 2																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/486	486	514.jp2	/p16313coll76/image/514.jp2
Page 3																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/487	487	515.jp2	/p16313coll76/image/515.jp2
Page 4																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/488	488	516.jp2	/p16313coll76/image/516.jp2
Antoine Doussan to Auguste Doussan, 1842 June 18	Doussan, Antoine J.	1842-06-18	1 letter.	Baton Rouge, June 18, 1842, Antoine Doussan to Auguste Doussan.  Mostly business.	Antoine Doussan, Baton Rouge, to Auguste Doussan.  The Doussans were an émigré French family who came to Louisiana in the wake of Napoleon's downfall.  The patriarch, Antoine, a medical doctor and former soldier under Napoleon, managed the family's cotton and sugar plantation in West Baton Rouge Parish as well as French-resident members' financial affairs in Louisiana. Auguste Doussan was the younger brother of Antoine Doussan.  He practiced medicine in Grasse, France, and married Louise Perrin, who was a relative of the Allain family of Louisiana.Antoine discusses business affairs.  	French.	Text.	Doussan, Antoine J.; Doussan, Auguste Alexandre; Baton Rouge (La.)--History--19th Century	I. Correspondence, 1827-1849, undated.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	http://www.lib.lsu.edu/special/findaid/4800.pdf	U: 322	Doussan Family Papers, Mss. 4800, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana.	Physical rights are retained by the LSU Libraries. Copyright has expired and the item  is therefore in the public domain.  Permission to reproduce this image must be  requested through the Special Collections Division, Louisiana State University  Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the ""Item number"" or ""Item URL"" in your request.	Jpeg2000	Images digitized using a Epson Flatbed Scanner 110000XL and converted from tiff to jpeg2000 with Photoshop software.	See 'reference url' on the navigation bar.			2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/489	489	517.cpd	/p16313coll76/image/517.cpd
Page 1																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/490	490	518.jp2	/p16313coll76/image/518.jp2
Page 2																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/491	491	519.jp2	/p16313coll76/image/519.jp2
Page 3																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/492	492	520.jp2	/p16313coll76/image/520.jp2
Page 4																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/493	493	521.jp2	/p16313coll76/image/521.jp2
Antoine Doussan to Auguste Doussan, 1842 June 7 and July 10	Doussan, Antoine J.	1842-06-07; 1842-07-10	1 letter.	Baton Rouge and New Orleans Antoine Doussan to Auguste Doussan in Grasse.  Antoine is glad to know that Auguste has arrived safely in France.  Antoine relates his trip to New Orleans along with business transactions.	Antoine Doussan, Baton Rouge and New Orleans, to Auguste Doussan in Grasse.  The Doussans were an émigré French family who came to Louisiana in the wake of Napoleon's downfall.  The patriarch, Antoine, a medical doctor and former soldier under Napoleon, managed the family's cotton and sugar plantation in West Baton Rouge Parish as well as French-resident members' financial affairs in Louisiana. Auguste Doussan was the younger brother of Antoine Doussan.  He practiced medicine in Grasse, France, and married Louise Perrin, who was a relative of the Allain family of Louisiana.Antoine relates his trip to New Orleans along with business transactions.	French.	Text.	Doussan, Antoine J.; Doussan, Auguste Alexandre; Baton Rouge (La.)--History--19th Century; New Orleans (La.)--History--19th Century; Grasse (France)--History--19th Century	I. Correspondence, 1827-1849, undated.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	http://www.lib.lsu.edu/special/findaid/4800.pdf	U: 321	Doussan Family Papers, Mss. 4800, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana.	Physical rights are retained by the LSU Libraries. Copyright has expired and the item  is therefore in the public domain.  Permission to reproduce this image must be  requested through the Special Collections Division, Louisiana State University  Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the ""Item number"" or ""Item URL"" in your request.	Jpeg2000	Images digitized using a Epson Flatbed Scanner 110000XL and converted from tiff to jpeg2000 with Photoshop software.	See 'reference url' on the navigation bar.			2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/494	494	522.cpd	/p16313coll76/image/522.cpd
Page 1																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/495	495	523.jp2	/p16313coll76/image/523.jp2
Page 2																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/496	496	524.jp2	/p16313coll76/image/524.jp2
Page 3																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/497	497	525.jp2	/p16313coll76/image/525.jp2
Page 4																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/498	498	526.jp2	/p16313coll76/image/526.jp2
Antoine Doussan to Auguste Doussan, 1842 Sep. 19	Doussan, Antoine J.	1842-09-19	1 letter.	Baton Rouge, September 19, 1842, Antoine Doussan to Auguste Doussan in Grasse.  Mostly business.	Antoine Doussan, Baton Rouge, to Auguste Doussan in Grasse.  The Doussans were an émigré French family who came to Louisiana in the wake of Napoleon's downfall.  The patriarch, Antoine, a medical doctor and former soldier under Napoleon, managed the family's cotton and sugar plantation in West Baton Rouge Parish as well as French-resident members' financial affairs in Louisiana. Auguste Doussan was the younger brother of Antoine Doussan.  He practiced medicine in Grasse, France, and married Louise Perrin, who was a relative of the Allain family of Louisiana.Antoine discusses business affairs. 	French.	Text.	Doussan, Antoine J.; Doussan, Auguste Alexandre; Baton Rouge (La.)--History--19th Century; Grasse (France)--History--19th Century	I. Correspondence, 1827-1849, undated.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	http://www.lib.lsu.edu/special/findaid/4800.pdf	U: 323	Doussan Family Papers, Mss. 4800, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana.	Physical rights are retained by the LSU Libraries. Copyright has expired and the item  is therefore in the public domain.  Permission to reproduce this image must be  requested through the Special Collections Division, Louisiana State University  Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the ""Item number"" or ""Item URL"" in your request.	Jpeg2000	Images digitized using a Epson Flatbed Scanner 110000XL and converted from tiff to jpeg2000 with Photoshop software.	See 'reference url' on the navigation bar.			2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/499	499	527.cpd	/p16313coll76/image/527.cpd
Page 1																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/500	500	528.jp2	/p16313coll76/image/528.jp2
Page 2																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/501	501	529.jp2	/p16313coll76/image/529.jp2
Page 3																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/502	502	530.jp2	/p16313coll76/image/530.jp2
Page 4																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/503	503	531.jp2	/p16313coll76/image/531.jp2
Antoine Doussan to Auguste Doussan, 1843 Aug. 2	Doussan, Antoine J.	1843-08-02	1 letter.	Baton Rouge, August 2, 1843, Antoine Doussan to Auguste Doussan in Grasse.  The writer talks about the incessant rains and floods in southern Louisiana as well as the condition of crops there and in other Southern states.	Antoine Doussan, Baton Rouge, to Auguste Doussan in Grasse. Antoine Doussan, Baton Rouge, to Auguste Doussan. The Doussans were an émigré French family who came to Louisiana in the wake of Napoleon's downfall.  The patriarch, Antoine, a medical doctor and former soldier under Napoleon, managed the family's cotton and sugar plantation in West Baton Rouge Parish as well as French-resident members' financial affairs in Louisiana. Auguste Doussan was the younger brother of Antoine Doussan.  He practiced medicine in Grasse, France, and married Louise Perrin, who was a relative of the Allain family of Louisiana.The writer reports heavy rains and floods in southern Louisiana as well as the condition of crops there and in other Southern states.	French.	Text.	Doussan, Antoine J.; Doussan, Auguste Alexandre; Baton Rouge (La.)--History--19th Century; Grasse (France)--History--19th Century; Floods--Mississippi River--19th Century; Louisiana--Climate--19th Century; Agriculture--Southern States--History--19th Century	I. Correspondence, 1827-1849, undated.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	http://www.lib.lsu.edu/special/findaid/4800.pdf	U: 326	Doussan Family Papers, Mss. 4800, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana.	Physical rights are retained by the LSU Libraries. Copyright has expired and the item  is therefore in the public domain.  Permission to reproduce this image must be  requested through the Special Collections Division, Louisiana State University  Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the ""Item number"" or ""Item URL"" in your request.	Jpeg2000	Images digitized using a Epson Flatbed Scanner 110000XL and converted from tiff to jpeg2000 with Photoshop software.	See 'reference url' on the navigation bar.			2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/504	504	532.cpd	/p16313coll76/image/532.cpd
Page 1																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/505	505	533.jp2	/p16313coll76/image/533.jp2
Page 2																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/506	506	534.jp2	/p16313coll76/image/534.jp2
Page 3																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/507	507	535.jp2	/p16313coll76/image/535.jp2
Page 4																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/508	508	536.jp2	/p16313coll76/image/536.jp2
Page 5																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/509	509	537.jp2	/p16313coll76/image/537.jp2
Page 6																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/510	510	538.jp2	/p16313coll76/image/538.jp2
Page 7																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/511	511	539.jp2	/p16313coll76/image/539.jp2
Page 8																					2015-01-30	2015-01-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll76/id/512	512	540.jp2	/p16313coll76/image/540.jp2
