Title	Date	Caption/Description	Notes	Format	Cite as	Creator	Subject Headings	Category	Sub-category	Publisher	Restrictions	Repository	Contact and Ordering Information	File Name	Source	Type	Language	Relation	Coverage-Spatial	Coverage-Temporal	Cataloger	Cataloged Date	Object File Name	Viewer Information	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Bay Courant Quadrangle, LA, 1935	1935	Planimetric map of Bay Courant Quadrangle, Lafourche and Terrebonne Parishes, LA, 1935.		TIF	U.S. Geological Survey.   Bay Courant Quadrangle. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Lafourche Parish (La.)--Maps, Topographic, Terrebonne Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/22	22	23.jp2	/p15140coll35/image/23.jp2
Bay Dosgris Quadrangle, LA, 1935	1935	Planimetric map of Bay Dosgris Quadrangle, Lafayette and Jefferson Parishes, LA, 1935.		TIF	U.S. Geological Survey.   Bay Dosgris Quadrangle. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Lafayette Parish (La.)--Maps, Topographic, Jefferson Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/23	23	24.jp2	/p15140coll35/image/24.jp2
Bay Ronquille Quadrangle, LA, 1935	1935	Planimetric map of Bay Ronquille Quadrangle, Plaquemines Parish, LA, 1935.		TIF	U.S. Geological Survey.   Bay Ronquille Quadrangle. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Plaquemines Parish (La.)--Maps	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/24	24	25.jp2	/p15140coll35/image/25.jp2
Bay Tambour Quadrangle, LA, 1935	1935	Planimetric map of Bay Tambour Quadrangle, Lafourche Parish, LA, 1935.		TIF	U.S. Geological Survey.   Bay Tambour Quadrangle. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Lafourche Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/25	25	26.jp2	/p15140coll35/image/26.jp2
Bayou Biloxi Quadrangle, LA, 1935	1935	Planimetric map of Bayou Biloxi Quadrangle, St. Bernard Parish, LA, 1935.		TIF	U.S. Geological Survey.   Bay Biloxi Quadrangle. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Saint Bernard Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/26	26	27.jp2	/p15140coll35/image/27.jp2
Bayou Blanc Quadrangle, LA, 1932	1932	Planimetric map of Bayou Blanc Quadrangle, Iberia Parish, LA, 1932.		TIF	U.S. Geological Survey.   Bayou Blanc Quadrangle. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1932.	Smith, Glenn S. (Glenn Shepard)	Smith, Glenn S. (Glenn Shepard), Iberia Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/27	27	28.jp2	/p15140coll35/image/28.jp2
Bayou Bernard Quadrangle, LA, 1935	1935	Planimetric map of Bayou Bernard Quadrangle, St. Bernard Parish, LA, 1935.		TIF	U.S. Geological Survey.   Bay Bernard Quadrangle. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Saint Bernard Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/28	28	29.jp2	/p15140coll35/image/29.jp2
Bayou Labauve Quadrangle, LA, 1932	1932	Planimetric map of Bayou Labauve Quadrangle, Cameron Parish, LA, 1932.		TIF	U.S. Geological Survey.   Bayou Labauve Quadrangle. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1932.	Smith, Glenn S. (Glenn Shepard)	Smith, Glenn S. (Glenn Shepard), Cameron Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/29	29	30.jp2	/p15140coll35/image/30.jp2
Bayou Lucien Quadrangle, LA, 1932	1932	Planimetric map of Bayou Lucien Quadrangle, Iberia Parish, LA, 1932.		TIF	U.S. Geological Survey.   Bayou Lucien Quadrangle. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1932.	Smith, Glenn S. (Glenn Shepard)	Smith, Glenn S. (Glenn Shepard), Iberia Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/30	30	31.jp2	/p15140coll35/image/31.jp2
Bayou Sauveur Quadrangle, LA, 1935	1935	Planimetric map of Bayou Sauveur Quadrangle, Terrebonne Parish, LA, 1935.		TIF	U.S. Geological Survey.   Bayou Sauveur Quadrangle. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Terrebonne Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/31	31	32.jp2	/p15140coll35/image/32.jp2
Belle Chasse Quadrangle, LA, 1935	1935	Planimetric map of Belle Chasse Quadrangle, Plaquemines Parish, LA, 1935.		TIF	U.S. Geological Survey.   Belle Chasse Quadrangle. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Plaquemines Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/32	32	33.jp2	/p15140coll35/image/33.jp2
Belle Chasse Quadrangle, LA, 1938	1938	Planimetric map of Belle Chasse Quadrangle, Plaquemines Parish, LA, 1938.		TIF	U.S. Geological Survey.   Belle Chasse Quadrangle. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1938.	Leachman, J.B., Rydeen, J.P.	Plaquemines Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/33	33	34.jp2	/p15140coll35/image/34.jp2
Belle Pass Quadrangle, LA, 1935	1935	Planimetric map of Belle Pass Quadrangle, Lafourche Parish, LA, 1935.		TIF	U.S. Geological Survey.   Belle Pass Quadrangle. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Lafourche Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/34	34	35.jp2	/p15140coll35/image/35.jp2
Belle Isle Quadrangle, LA, 1935	1935	Planimetric map of Belle Isle Quadrangle, Saint Mary Parish, LA, 1935.	US Department of the Interior, U.S. Geological Survey	TIF	U.S. Geological Survey.   Belle Isle Quadrangle. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Saint Mary Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/35	35	36.jp2	/p15140coll35/image/36.jp2
Bertrandville Quadrangle, LA, 1938	1938	Planimetric map of Bertrandville Quadrangle, Jefferson and Plaquemines Parishes, LA, 1938.		TIF	U.S. Geological Survey.   Bertrandville Quadrangle. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1938.	Leachman, J.B., Rydeen, J.P., Elshire, Elmer	Plaquemines Parish (La.)--Maps, Topographic, Jefferson Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/36	36	37.jp2	/p15140coll35/image/37.jp2
Black Lake Quadrangle, LA, 1932	1932	Planimetric map of Black Lake Quadrangle, Livingston Parish, LA, 1932.		TIF	U.S. Geological Survey.   Black Lake Quadrangle. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1932.	Smith, Glenn S. (Glenn Shepard)	Smith, Glenn S. (Glenn Shepard), Livingston Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/37	37	38.jp2	/p15140coll35/image/38.jp2
Boudreaux Lake Quadrangle, LA, 1935	1935	Planimetric map of Boudreaux Lake Quadrangle, Cameron Parish, LA, 1932.		TIF	U.S. Geological Survey.   Boudreaux Lake Quadrangle. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1935.	Weber, D.W.	Cameron Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/38	38	39.jp2	/p15140coll35/image/39.jp2
Bourbeux Quadrangle, LA, 1935	1935	Planimetric map of Bourbeux quadradrangle, Terrebonne Parish, LA, 1935.		TIF	U.S. Geological Survey.   Bourbeux Quadrangle. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Terrebonne Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/39	39	40.jp2	/p15140coll35/image/40.jp2
Browns Lake Quadrangle, LA, 1935	1935	Planimetric map of Browns Lake Quadrangle, Cameron Parish, LA, 1935.		TIF	U.S. Geological Survey.   Browns Lake Quadrangle. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1935.	Hilliard, J.C.	Cameron Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/40	40	41.jp2	/p15140coll35/image/41.jp2
Buras Quadrangle, LA, 1935	1935	Planimetric map of Buras Quadrangle, Plaquemines Parish, LA, 1935.		TIF	U.S. Geological Survey.   Buras Quadrangle. 1:31,680. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Plaquemines Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/41	41	42.jp2	/p15140coll35/image/42.jp2
