Title	Compound	Photographer	Notes	Biographical Information	Description	Type	Date	Original Format/Size	Subject(s)	Geographic Focus	Collection Name	Box	Folder	Series	Sub-series	Digital Format	Digital Reproduction Information	Repository	Dates	Item Number	Related Items	Restrictions	Cataloger	Contact and Ordering Information	Cataloged date	Item URL	OCR	Cite As	Collection URL	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Robertson Hall	0	Unknown	Drawing, exterior view from the southwest.				n.d.	8.25in x 3.25in	Robertson Hall (Baton Rouge, La.); Mechanical engineering laboratories--Louisiana--Baton Rouge.		LSU Photograph Collection, 1886-1926	5	7	Baton Rouge	Robertson Hall		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000067				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-10-15	2008-12-08	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2306	2306	2590.jp2	Volume156\a50000067.jpg	/LSU_UAP/image/2590.jp2
Robertson Hall interior showing machine room	0	Unknown	Machine room or classroom in Robertson Hall. Audubon Sugar School. Handwritten on front- Robertson Hall interior showing machine room. Photograph is torn and brittle.				n.d.	Gelatin silver prints; 13.25in x 10.50in	Robertson Hall (Baton Rouge, La.)--Photographs.; Machine shops--Louisiana--Baton Rouge--Photographs.; Audubon Sugar School--Photographs.		LSU Photograph Collection, 1886-1926	5	8	Colleges & Departments	Mechanical Engineering		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000068				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-10-15	2008-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2307	2307	2591.jp2	Volume156\a50000068.jpg	/LSU_UAP/image/2591.jp2
Veterinary Infirmary	0	Unknown	Building formerly used as an arsenal when campus site was a military post. Handwritten on front- Veterinary Infirmary.				n.d.	Gelatin silver prints; 8.75in x 6.75in	Louisiana State University Veterinary Infirmary (Baton Rouge, La.)--Photographs.; Veterinary hospitals--Louisiana--Baton Rouge--Photographs.		LSU Photograph Collection, 1886-1926	5	12	Buildings	Veterinary Infirmary		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000070				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-10-15	2008-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2308	2308	2592.jp2	Volume156\a50000070.jpg	/LSU_UAP/image/2592.jp2
Class in Chemistry	0	Unknown	Chemical Laboratory interior showing classroom with Professor Charles Coates and students. Handwritten on front- Class in Chemistry.				c. 1899	Gelatin silver prints; 8.00in x 6.00in	Louisiana State University Chemical Laboratory (Baton Rouge, La.)--Photographs.; Science rooms and equipment--Louisiana--Baton Rouge--Photographs.; Louisiana State University and Agricultural and Mechanical College. Dept. of Chemistry--Photographs.; Class		LSU Photograph Collection, 1886-1926	3	9	Colleges & Departments	Chemistry		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000074				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-10-15	2008-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2309	2309	2593.jp2	Volume156\a50000074.jpg	/LSU_UAP/image/2593.jp2
Botanical Laboratory	0	Unknown	Classroom interior showing cadets, with microscopes. Handwritten on front- Botanical Laboratory.				n.d.	Gelatin silver prints; 7.75in x 4.75in	Botanical laboratories--Louisiana--Baton Rouge--Photographs.; Classes (Groups of students)--Louisiana--Baton Rouge--Photographs.		LSU Photograph Collection, 1886-1926	3	7	Colleges & Departments	Botany & Bacteriological Lab		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000086				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-10-15	2008-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2310	2310	2594.jp2	Volume156\a50000086.jpg	/LSU_UAP/image/2594.jp2
English Classroom under Dr. Smith 1899	0	Unknown	Handwritten on front- English Classroom under Dr. Smith 1899. Two copies. One is mislabeled Botany Class.				1899		Louisiana State University and Agricultural and Mechanical College. Dept. of English--Photographs.; Classrooms--Louisiana--Baton Rouge--Photographs.		LSU Photograph Collection, 1886-1926	3	13	Colleges & Departments	English		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000087				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-10-15	2008-12-08	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2311	2311	2595.jp2	Volume156\a50000087.jpg	/LSU_UAP/image/2595.jp2
In the Machine Shop	0	Unknown	Cadets working in the machine shop, Robertson Hall. Handwritten on front- In the Machine Shop.				n.d.	Gelatin silver prints; 7.75in x 6.00in	Machine shops--Louisiana--Baton Rouge--Photographs.; Robertson Hall (Baton Rouge, La.)--Photographs.; Machine-tools--Louisiana--Baton Rouge--Photographs.		LSU Photograph Collection, 1886-1926	5	9	Colleges & Departments	Mechanical Engineering		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000089				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-10-15	2008-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2312	2312	2596.jp2	Volume156\a50000089.jpg	/LSU_UAP/image/2596.jp2
In the Machine Shop	0	Unknown	Cadets working in the machine shop, Robertson Hall. Handwritten on front- In the Machine Shop.				n.d.	Gelatin silver prints; 7.75in x 6.75in	Machine shops--Louisiana--Baton Rouge--Photographs.; Robertson Hall (Baton Rouge, La.)--Photographs.; Machine-tools--Louisiana--Baton Rouge--Photographs.		LSU Photograph Collection, 1886-1926	5	9	Colleges & Departments	Mechanical Engineering		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000090				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-10-15	2008-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2313	2313	2597.jp2	Volume156\a50000090.jpg	/LSU_UAP/image/2597.jp2
In the Forge Room	0	Unknown	Forge equipment view, Robertson Hall. Handwritten on front- In the Forge Room.				1899	Gelatin silver prints; 4.75in x 7.50in	Forge shops--Louisiana--Baton Rouge--Photographs.; Robertson Hall (Baton Rouge, La.)--Photographs.; Forging machinery--Louisiana--Baton Rouge--Photographs.		LSU Photograph Collection, 1886-1926	5	10	Colleges & Departments	Mechanical Engineering		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000091				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-10-15	2008-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2314	2314	2598.jp2	Volume156\a50000091.jpg	/LSU_UAP/image/2598.jp2
Forge Room	0	Unknown	Students working in Forge Room. Robertson Hall. Handwritten on front- Forge Room.				1899	Gelatin silver prints; 7.00in x 4.13in	Robertson Hall (Baton Rouge, La.)--Photographs.; Forge shops--Louisiana--Baton Rouge--Photographs.; Forging machinery--Louisiana--Baton Rouge--Photographs.		LSU Photograph Collection, 1886-1926	5	10	Colleges & Departments	Mechanical Engineering		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000092				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-10-15	2008-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2315	2315	2599.jp2	Volume156\a50000092.jpg	/LSU_UAP/image/2599.jp2
One Corner of Forge Shop L.S.U.	0	Unknown	Cadets working in Forge Room. Robertson Hall.  Handwritten on front- One Corner of Forge Shop L.S.U. Photo is discolored and has scratches.				1899	Gelatin silver prints; 9.75in x 7.75in	Forge shops--Louisiana--Baton Rouge--Photographs.; Robertson Hall (Baton Rouge, La.)--Photographs.; Forging machinery--Louisiana--Baton Rouge--Photographs.		LSU Photograph Collection, 1886-1926	5	10	Colleges & Departments	Mechanical Engineering		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000093				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-10-15	2008-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2316	2316	2600.jp2	Volume156\a50000093.jpg	/LSU_UAP/image/2600.jp2
Class in Zoology	0	Unknown	Photo taken from back of classroom. Students' backs and front of classroom in view. Handwritten on front- Class in Zoology.				1899	Gelatin silver prints; 9.63in x 7.75in	Classrooms--Louisiana--Baton Rouge--Photographs.; Zoology--Study and teaching (Higher)--Louisiana--Baton Rouge--Photographs.; Classes (Groups of students)--Louisiana--Baton Rouge--Photographs.		LSU Photograph Collection, 1886-1926	5	13	Colleges & Departments	Zoology & Entomology		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000096				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-10-15	2008-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2317	2317	2601.jp2	Volume156\a50000096.jpg	/LSU_UAP/image/2601.jp2
Zoology classroom	0	Unknown	Taken from back of classroom with students' backs and front of classroom in view. Handwritten on front- Zoology classroom.				n.d.	Gelatin silver prints; 9.50in x 7.75in	Zoology--Study and teaching (Higher)--Louisiana--Baton Rouge--Photographs.; Classrooms--Louisiana--Baton Rouge--Photographs.; Classes (Groups of students)--Louisiana--Baton Rouge--Photographs.		LSU Photograph Collection, 1886-1926	5	13	Colleges & Departments	Zoology & Entomology		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000097				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-10-15	2008-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2318	2318	2602.jp2	Volume156\a50000097.jpg	/LSU_UAP/image/2602.jp2
