Title	Compound	Photographer	Date	Dates	Subjects	Notes	Type	Original Format/Size	Digital Format	Digital Collection	Repository	Repository Collection	Repository Collection Guide	Restrictions	Cite As	Contact and Ordering Information	Item Number	Item URL	Collection URL	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
View No. 12. Chickamauga. McDonald's Farm and Fields West of Chattanooga Road.	Yes	unknown	ca. 1894		Chickamauga (Ga.), Battle of, 1863;<br>Chickamauga-Chattanooga National Military Park (Ga. and Tenn.)--Photographs	Part of same fields as show in Views Nos. 9, 10 and 11.<br>The third and fourth positions of Slocomb's Battery of 5th Company Washington Artillery, are here seen from a northwesterly direction. The view is taken from the rear and right of the fourth position, the center of which is marked  by the white spot in front of the clump of trees, that stand in the hollow between the two positions. The field planted in corn, beyond the hollow, is where stood the battery in its third position. The apple tree in right corner, is one of the few remaining of the orchard in existence there at the time of the battle. The McDonald house has been destroyed; its site is near the left hand corner, near the road, that can be distinguished by the telegraph poles and wires plainly seen in this picture.	Image	Gelatin silver prints;8.5" x 5.2"	jpeg	Chickamauga-Chattanooga National Military Park (Ga. and Tenn.) Louisiana Committee. Photographs	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4504.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Chickamauga and Chattanooga National Military Park (Ga. and Tenn.) Commission: Louisiana Committee Photographs (Mss. 4504), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	45040012r	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CNP.php?CISOROOT=/LSU_CNP		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CNP/id/965	965	966.jpg	/LSU_CNP/image/966.jpg
View No. 12. Chickamauga. McDonald's Farm and Fields West of Chattanooga Road.	Yes	unknown	ca. 1894		Chickamauga (Ga.), Battle of, 1863;<br>Chickamauga-Chattanooga National Military Park (Ga. and Tenn.)--Photographs	Part of same fields as show in Views Nos. 9, 10 and 11.<br>The third and fourth positions of Slocomb's Battery of 5th Company Washington Artillery, are here seen from a northwesterly direction. The view is taken from the rear and right of the fourth position, the center of which is marked  by the white spot in front of the clump of trees, that stand in the hollow between the two positions. The field planted in corn, beyond the hollow, is where stood the battery in its third position. The apple tree in right corner, is one of the few remaining of the orchard in existence there at the time of the battle. The McDonald house has been destroyed; its site is near the left hand corner, near the road, that can be distinguished by the telegraph poles and wires plainly seen in this picture.	Image	Gelatin silver prints;8.5" x 5.2"	jpeg	Chickamauga-Chattanooga National Military Park (Ga. and Tenn.) Louisiana Committee. Photographs	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4504.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Chickamauga and Chattanooga National Military Park (Ga. and Tenn.) Commission: Louisiana Committee Photographs (Mss. 4504), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	45040012v	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CNP.php?CISOROOT=/LSU_CNP		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CNP/id/966	966	967.jpg	/LSU_CNP/image/967.jpg
View No. 13. Chickamauga. McDonald's Farm and Fields West of Chattanooga Road.	Yes	unknown	ca. 1894		Chickamauga (Ga.), Battle of, 1863;<br>Chickamauga-Chattanooga National Military Park (Ga. and Tenn.)--Photographs	Part of same fields as shown in Views Nos. 9, 10, 11 and 12.<br>The third and fourth positions of Slocomb's Battery and the hollow between, with the Chattanooga road to their left, are shown from a northerly direction. The white spot in the field in front of the clump of trees is the center of the battery in action in its fourth position; its third position was in the corn field seen across the hollow. The enemy was in the woods beyond these positions.	Image	Gelatin silver prints;8.5" x 5.2"	jpeg	Chickamauga-Chattanooga National Military Park (Ga. and Tenn.) Louisiana Committee. Photographs	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4504.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Chickamauga and Chattanooga National Military Park (Ga. and Tenn.) Commission: Louisiana Committee Photographs (Mss. 4504), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	45040013r	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CNP.php?CISOROOT=/LSU_CNP		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CNP/id/967	967	968.jpg	/LSU_CNP/image/968.jpg
View No. 13. Chickamauga. McDonald's Farm and Fields West of Chattanooga Road.	Yes	unknown	ca. 1894		Chickamauga (Ga.), Battle of, 1863;<br>Chickamauga-Chattanooga National Military Park (Ga. and Tenn.)--Photographs	Part of same fields as shown in Views Nos. 9, 10, 11 and 12.<br>The third and fourth positions of Slocomb's Battery and the hollow between, with the Chattanooga road to their left, are shown from a northerly direction. The white spot in the field in front of the clump of trees is the center of the battery in action in its fourth position; its third position was in the corn field seen across the hollow. The enemy was in the woods beyond these positions.	Image	Gelatin silver prints;8.5" x 5.2"	jpeg	Chickamauga-Chattanooga National Military Park (Ga. and Tenn.) Louisiana Committee. Photographs	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4504.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Chickamauga and Chattanooga National Military Park (Ga. and Tenn.) Commission: Louisiana Committee Photographs (Mss. 4504), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	45040013v	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CNP.php?CISOROOT=/LSU_CNP		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CNP/id/968	968	969.jpg	/LSU_CNP/image/969.jpg
View No. 14. Chickamauga. McDonald's Farm and Fields West of Chattanooga Road.	Yes	unknown	ca. 1894		Chickamauga (Ga.), Battle of, 1863;<br>Chickamauga-Chattanooga National Military Park (Ga. and Tenn.)--Photographs	Part of same fields as shown in Views 9, 10, 11, 12 and 13.<br>The view is looking northwest towards the Cloud house. Austin's Sharpshooters and the 32d Alabama were deployed over this part of the ground up to the hills; holding the enemy here in check, while the rest of the Brigade was driving him south.<br>The positions on the McDonald farm were fixed on September 24th, 1894, by the Louisiana and National Commissioners and marked and noted by E.E. Betts, engineer of the Nationa[l] Commission.	Image	Gelatin silver prints;8.5" x 5.2"	jpeg	Chickamauga-Chattanooga National Military Park (Ga. and Tenn.) Louisiana Committee. Photographs	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4504.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Chickamauga and Chattanooga National Military Park (Ga. and Tenn.) Commission: Louisiana Committee Photographs (Mss. 4504), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	45040014r	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CNP.php?CISOROOT=/LSU_CNP		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CNP/id/969	969	970.jpg	/LSU_CNP/image/970.jpg
View No. 14. Chickamauga. McDonald's Farm and Fields West of Chattanooga Road.	Yes	unknown	ca. 1894		Chickamauga (Ga.), Battle of, 1863;<br>Chickamauga-Chattanooga National Military Park (Ga. and Tenn.)--Photographs	Part of same fields as shown in Views 9, 10, 11, 12 and 13.<br>The view is looking northwest towards the Cloud house. Austin's Sharpshooters and the 32d Alabama were deployed over this part of the ground up to the hills; holding the enemy here in check, while the rest of the Brigade was driving him south.<br>The positions on the McDonald farm were fixed on September 24th, 1894, by the Louisiana and National Commissioners and marked and noted by E.E. Betts, engineer of the Nationa[l] Commission.	Image	Gelatin silver prints;8.5" x 5.2"	jpeg	Chickamauga-Chattanooga National Military Park (Ga. and Tenn.) Louisiana Committee. Photographs	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4504.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Chickamauga and Chattanooga National Military Park (Ga. and Tenn.) Commission: Louisiana Committee Photographs (Mss. 4504), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	45040014v	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CNP.php?CISOROOT=/LSU_CNP		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CNP/id/970	970	971.jpg	/LSU_CNP/image/971.jpg
View No. 15. Chickamauga. Thirteenth and Twentieth Louisiana Regiment and Adams' Louisiana Brigade.	Yes	unknown	ca. 1894		Chickamauga (Ga.), Battle of, 1863;<br>Chickamauga-Chattanooga National Military Park (Ga. and Tenn.)--Photographs	This view shows the most advanced position reached by this regiment and Adams' Louisiana Brigade, of which it was the extreme right, in the charge made by this brigade into the woods south of the fields, west of the road, on the McDonald farm. The stake with white cloth marks the point where stood the right of this regiment, before it was driven back. It stands some 400 yards west of the main Chattanooga road and about 800 yards from the fields from which the Brigade started in the charge.<br>This position was fixed September 24th, 1894, by the Louisiana and the National Commissioners and marked by E. E. Betts, engineer of the National Commission, in whose field notes it appear as right of 13th and 20th Louisiana line-38-W.97'-17x92.	Image	Gelatin silver prints;8.5" x 5.2"	jpeg	Chickamauga-Chattanooga National Military Park (Ga. and Tenn.) Louisiana Committee. Photographs	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4504.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Chickamauga and Chattanooga National Military Park (Ga. and Tenn.) Commission: Louisiana Committee Photographs (Mss. 4504), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	45040015r	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CNP.php?CISOROOT=/LSU_CNP		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CNP/id/971	971	972.jpg	/LSU_CNP/image/972.jpg
View No. 15. Chickamauga. Thirteenth and Twentieth Louisiana Regiment and Adams' Louisiana Brigade.	Yes	unknown	ca. 1894		Chickamauga (Ga.), Battle of, 1863;<br>Chickamauga-Chattanooga National Military Park (Ga. and Tenn.)--Photographs	This view shows the most advanced position reached by this regiment and Adams' Louisiana Brigade, of which it was the extreme right, in the charge made by this brigade into the woods south of the fields, west of the road, on the McDonald farm. The stake with white cloth marks the point where stood the right of this regiment, before it was driven back. It stands some 400 yards west of the main Chattanooga road and about 800 yards from the fields from which the Brigade started in the charge.<br>This position was fixed September 24th, 1894, by the Louisiana and the National Commissioners and marked by E. E. Betts, engineer of the National Commission, in whose field notes it appear as right of 13th and 20th Louisiana line-38-W.97'-17x92.	Image	Gelatin silver prints;8.5" x 5.2"	jpeg	Chickamauga-Chattanooga National Military Park (Ga. and Tenn.) Louisiana Committee. Photographs	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4504.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Chickamauga and Chattanooga National Military Park (Ga. and Tenn.) Commission: Louisiana Committee Photographs (Mss. 4504), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	45040015v	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CNP.php?CISOROOT=/LSU_CNP		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CNP/id/972	972	973.jpg	/LSU_CNP/image/973.jpg
View No. 17. Chickamauga. Adams' Louisiana Brigade.	Yes	unknown	ca. 1894		Chickamauga (Ga.), Battle of, 1863;<br>Chickamauga-Chattanooga National Military Park (Ga. and Tenn.)--Photographs	This view is looking South at the part of Thomas' breastworks carried by the Louisiana Brigade at 5:50 p.m., September 20th, 1863. The works were held by J.H. King's Brigade of regulars. The monuments seen are those of the 18th U.S. Regulars (the one with the soldier in the act of firing) and the other that of the 15th U.S. Regulars. The logs lying before them mark the place of the breastworks. This point is an angle of the works that extend off to the left following the contour of Kelly's fields that are seen through the woods. Numerous Federal monuments mark the line. These works formed the left of Thomas' entrenchments. In charging here, the Louisiana Brigade stood facing southwest, and about 1000 yards east of the farthest point it had reached, in the morning, in its onslaught from the McDonald fields. After carrying the works, it pressed on across the Kelly fields, almost at right angles to its direction in the morning charge; and crossing the Chattanooga road, halted on the ground where it had then been repulsed, and found the dead and wounded it had left behind.<br>The white stake marks the center of the Brigade; the marked tree is about the spot where Capt. C. H. Luzenberg, of the 13th and 20th Louisiana was shot down within twenty steps of the breastworks. This position was fixed by the Louisiana and the National Commissioners on the 25th of September, 1893, and marked by W. A. Wood of the Engineer Department of the National Commission, and figures in his notes as Adams' Brigade at 5:50, September 20th, 1863, Line No. 30-15 ft. N-0x78.	Image	Gelatin silver prints;8.5" x 5.2"	jpeg	Chickamauga-Chattanooga National Military Park (Ga. and Tenn.) Louisiana Committee. Photographs	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4504.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Chickamauga and Chattanooga National Military Park (Ga. and Tenn.) Commission: Louisiana Committee Photographs (Mss. 4504), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	45040017r	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CNP.php?CISOROOT=/LSU_CNP		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CNP/id/975	975	976.jpg	/LSU_CNP/image/976.jpg
View No. 17. Chickamauga. Adams' Louisiana Brigade.	Yes	unknown	ca. 1894		Chickamauga (Ga.), Battle of, 1863;<br>Chickamauga-Chattanooga National Military Park (Ga. and Tenn.)--Photographs	This view is looking South at the part of Thomas' breastworks carried by the Louisiana Brigade at 5:50 p.m., September 20th, 1863. The works were held by J.H. King's Brigade of regulars. The monuments seen are those of the 18th U.S. Regulars (the one with the soldier in the act of firing) and the other that of the 15th U.S. Regulars. The logs lying before them mark the place of the breastworks. This point is an angle of the works that extend off to the left following the contour of Kelly's fields that are seen through the woods. Numerous Federal monuments mark the line. These works formed the left of Thomas' entrenchments. In charging here, the Louisiana Brigade stood facing southwest, and about 1000 yards east of the farthest point it had reached, in the morning, in its onslaught from the McDonald fields. After carrying the works, it pressed on across the Kelly fields, almost at right angles to its direction in the morning charge; and crossing the Chattanooga road, halted on the ground where it had then been repulsed, and found the dead and wounded it had left behind.<br>The white stake marks the center of the Brigade; the marked tree is about the spot where Capt. C. H. Luzenberg, of the 13th and 20th Louisiana was shot down within twenty steps of the breastworks. This position was fixed by the Louisiana and the National Commissioners on the 25th of September, 1893, and marked by W. A. Wood of the Engineer Department of the National Commission, and figures in his notes as Adams' Brigade at 5:50, September 20th, 1863, Line No. 30-15 ft. N-0x78.	Image	Gelatin silver prints;8.5" x 5.2"	jpeg	Chickamauga-Chattanooga National Military Park (Ga. and Tenn.) Louisiana Committee. Photographs	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4504.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Chickamauga and Chattanooga National Military Park (Ga. and Tenn.) Commission: Louisiana Committee Photographs (Mss. 4504), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	45040017v	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CNP.php?CISOROOT=/LSU_CNP		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CNP/id/976	976	977.jpg	/LSU_CNP/image/977.jpg
View No. 18. Chickamauga. Adams' Louisiana Brigade.	Yes	unknown	ca. 1894		Chickamauga (Ga.), Battle of, 1863;<br>Chickamauga-Chattanooga National Military Park (Ga. and Tenn.)--Photographs	This view shows same position as represented in View No. 17, but from a different visual angle.	Image	Gelatin silver prints;8.5" x 5.2"	jpeg	Chickamauga-Chattanooga National Military Park (Ga. and Tenn.) Louisiana Committee. Photographs	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4504.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Chickamauga and Chattanooga National Military Park (Ga. and Tenn.) Commission: Louisiana Committee Photographs (Mss. 4504), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	45040018r	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CNP.php?CISOROOT=/LSU_CNP		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CNP/id/977	977	978.jpg	/LSU_CNP/image/978.jpg
View No. 18. Chickamauga. Adams' Louisiana Brigade.	Yes	unknown	ca. 1894		Chickamauga (Ga.), Battle of, 1863;<br>Chickamauga-Chattanooga National Military Park (Ga. and Tenn.)--Photographs	This view shows same position as represented in View No. 17, but from a different visual angle.	Image	Gelatin silver prints;8.5" x 5.2"	jpeg	Chickamauga-Chattanooga National Military Park (Ga. and Tenn.) Louisiana Committee. Photographs	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4504.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Chickamauga and Chattanooga National Military Park (Ga. and Tenn.) Commission: Louisiana Committee Photographs (Mss. 4504), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	45040018v	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CNP.php?CISOROOT=/LSU_CNP		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CNP/id/978	978	979.jpg	/LSU_CNP/image/979.jpg
View No. 19. Chickamauga. First Louisiana Infantry Regulars, Consolidated with the 8th Arkansas Regiment.	Yes	unknown	ca. 1894		Chickamauga (Ga.), Battle of, 1863;<br>Chickamauga-Chattanooga National Military Park (Ga. and Tenn.)--Photographs	This view shows the position where this consolidated regiment with Govan's Brigade captured and carried off Van Pelt's 1st Michigan Battery, at about 12:30 p.m., on the 19th of September, 1863. The white speck in the center of the field shows the stake marking the center of the Battery's line. The view is facing East; the Chickamauga river is about a mile off near the hills, seen in the distance. The stake is about three-fourths of a mile south-west of Jay's mill, and about five hundred yards North of the direct road from Brotherton's to that mill. In the view, the pyramid seen near the right hand edge, is one of cannon balls marking the place where fell the Federal General P. P. Baldwin. The white monument in the left hand side of the field, marks the spot where stood Battery H., U. S. Regulars, that was captured by Walthall's Brigade and re-taken by the Federals.<br>This position was fixed by the Louisiana and National Commissioners, General Walthal and Major Govan being present, on September 25th, 1893, and marked by W. A. Wood, of Engineering Department of the National Commission, and figures in his notes as, First Regulars, Line 56-E-96 S 38x52.	Image	Gelatin silver prints;8.5" x 5.2"	jpeg	Chickamauga-Chattanooga National Military Park (Ga. and Tenn.) Louisiana Committee. Photographs	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4504.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Chickamauga and Chattanooga National Military Park (Ga. and Tenn.) Commission: Louisiana Committee Photographs (Mss. 4504), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	45040019r	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CNP.php?CISOROOT=/LSU_CNP		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CNP/id/979	979	980.jpg	/LSU_CNP/image/980.jpg
View No. 19. Chickamauga. First Louisiana Infantry Regulars, Consolidated with the 8th Arkansas Regiment.	Yes	unknown	ca. 1894		Chickamauga (Ga.), Battle of, 1863;<br>Chickamauga-Chattanooga National Military Park (Ga. and Tenn.)--Photographs	This view shows the position where this consolidated regiment with Govan's Brigade captured and carried off Van Pelt's 1st Michigan Battery, at about 12:30 p.m., on the 19th of September, 1863. The white speck in the center of the field shows the stake marking the center of the Battery's line. The view is facing East; the Chickamauga river is about a mile off near the hills, seen in the distance. The stake is about three-fourths of a mile south-west of Jay's mill, and about five hundred yards North of the direct road from Brotherton's to that mill. In the view, the pyramid seen near the right hand edge, is one of cannon balls marking the place where fell the Federal General P. P. Baldwin. The white monument in the left hand side of the field, marks the spot where stood Battery H., U. S. Regulars, that was captured by Walthall's Brigade and re-taken by the Federals.<br>This position was fixed by the Louisiana and National Commissioners, General Walthal and Major Govan being present, on September 25th, 1893, and marked by W. A. Wood, of Engineering Department of the National Commission, and figures in his notes as, First Regulars, Line 56-E-96 S 38x52.	Image	Gelatin silver prints;8.5" x 5.2"	jpeg	Chickamauga-Chattanooga National Military Park (Ga. and Tenn.) Louisiana Committee. Photographs	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	IRP	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4504.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Chickamauga and Chattanooga National Military Park (Ga. and Tenn.) Commission: Louisiana Committee Photographs (Mss. 4504), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	45040019v	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_CNP.php?CISOROOT=/LSU_CNP		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CNP/id/980	980	981.jpg	/LSU_CNP/image/981.jpg
