Title	Creator	Date	Subject(s)	Physical Description	Notes	Repository	Repository Collection Guide	Call Number/Location	Cite as	Restrictions	Publisher	Type	Format	Digital Collection	Language	Contact and Ordering Information	Item URL	Object File Name	Contributors	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Krewe of Rex invitation, 1881.	Krewe of Rex (Organization)	1881	Krewe of Rex (Organization); Balls (Parties)--Louisiana--New Orleans.; Carnival--Louisiana--New Orleans.; New Orleans (La.)--Social life and customs.		The Rex Organization was founded in 1872 in an effort to entertain Russia's Grand Duke Romanoff during his visit to the city, to attract visitors to New Orleans, and to provide a daytime parade as an alternative to the rowdy processions that had come to characterize Mardi Gras celebrations.  The following year, it began the tradition of holding a ball and selecting a Queen of Carnival.   Rex continues its parade is held on the Mardi Gras day.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/10	10	12.cpd	/p15140coll17/image/12.cpd
Mistick Krewe of Comus invitation, 1898.	Mistick Krewe of Comus (Organization)	1898	Mistick Krewe of Comus (Organization); Balls (Parties)--Louisiana--New Orleans.; Carnival--Louisiana--New Orleans.; New Orleans (La.)--Social life and customs.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-08	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/11	11	1.jp2	/p15140coll17/image/1.jp2
Page 1						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/12	12	13.jp2	/p15140coll17/image/13.jp2
Page 2						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/13	13	14.jp2	/p15140coll17/image/14.jp2
Page 3						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/14	14	15.jp2	/p15140coll17/image/15.jp2
Page 4						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/15	15	16.jp2	/p15140coll17/image/16.jp2
Page 5						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/16	16	17.jp2	/p15140coll17/image/17.jp2
Page 5 detail 1						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/17	17	18.jp2	/p15140coll17/image/18.jp2
Page 5 detail 2						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/18	18	19.jp2	/p15140coll17/image/19.jp2
Page 6						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/19	19	20.jp2	/p15140coll17/image/20.jp2
Page 6 detail 1						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/20	20	21.jp2	/p15140coll17/image/21.jp2
Page 7						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/21	21	22.jp2	/p15140coll17/image/22.jp2
Page 8						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/22	22	23.jp2	/p15140coll17/image/23.jp2
Page 9						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/23	23	24.jp2	/p15140coll17/image/24.jp2
Page 9 detail 1						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/24	24	25.jp2	/p15140coll17/image/25.jp2
Page 10						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/25	25	26.jp2	/p15140coll17/image/26.jp2
Page 10 detail 1						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/26	26	27.jp2	/p15140coll17/image/27.jp2
Page 10 detail 2						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/27	27	28.jp2	/p15140coll17/image/28.jp2
Page 10 detail 3						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/28	28	29.jp2	/p15140coll17/image/29.jp2
Page 10 detail 4						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/29	29	30.jp2	/p15140coll17/image/30.jp2
Page 10 detail 5						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/30	30	31.jp2	/p15140coll17/image/31.jp2
Page 11						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/31	31	32.jp2	/p15140coll17/image/32.jp2
Page 12						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/32	32	33.jp2	/p15140coll17/image/33.jp2
Page 13						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/33	33	34.jp2	/p15140coll17/image/34.jp2
Page 14						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/34	34	35.jp2	/p15140coll17/image/35.jp2
Page 15						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/35	35	36.jp2	/p15140coll17/image/36.jp2
Page 15 detail 1						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/36	36	37.jp2	/p15140coll17/image/37.jp2
Page 15 detail 2						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/37	37	38.jp2	/p15140coll17/image/38.jp2
Page 16						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2010-02-10	2010-02-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/38	38	39.jp2	/p15140coll17/image/39.jp2
