Title	Compound	Photographer	Date	Dates	Subjects	Notes	Original Format/Size	Physical Description	Digital Format	Digital Collection	Repository	Repository Collection	Repository Collection Guide	Restrictions	Cite As	Contact and Ordering Information	Item Number	Item URL	Collection URL	Type	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Looking towards our 17 gun battery (Bayley's 24).	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	[See Dunham, 3241143. This CDV carries the backstamp of McPherson & Oliver, Photographers.]	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750011	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/117	117	118.jpg	/LSU_WLS/image/118.jpg
Looking towards our 17 gun battery showing gopher holes.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	[See Dunham, 3241145. This CDV carries the backstamp of McPherson & Oliver, Photographers.]	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750012	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/118	118	119.jpg	/LSU_WLS/image/119.jpg
Still another	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	how fortify [See Dunham, 3241158. This CDV carries the backstamp of McPherson & Oliver, Photographers.]	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750013	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/119	119	120.jpg	/LSU_WLS/image/120.jpg
Inside the Citadel.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750014	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/120	120	121.jpg	/LSU_WLS/image/121.jpg
Another view.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	[See Dunham, 3241152, and Port Hudson CDVs (PHCDV), 487703. These CDVs carry the backstamp of McPherson & Oliver, Photographers.]	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750015	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/121	121	122.jpg	/LSU_WLS/image/122.jpg
Interior near 11.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750016	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/122	122	123.jpg	/LSU_WLS/image/123.jpg
Small detached work near Citadel (showing approaches). Camp of 6th Michigan in the distance.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750017	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/123	123	124.jpg	/LSU_WLS/image/124.jpg
View across a ravine inside - Camp 6th Michigan.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750018	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/124	124	125.jpg	/LSU_WLS/image/125.jpg
Inside the large detached work on the South -  opposite Bough's Battery 21, siege Howitzers.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750019	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/125	125	126.jpg	/LSU_WLS/image/126.jpg
Interior of large detached work on the South.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	notice guns	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750020	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/126	126	127.jpg	/LSU_WLS/image/127.jpg
