Title	Lingustic Category	Author	Author's Gender	Author's Occupation	Author's Social Class	Author's Place of Birth	Writing Location	Date	Addressee	Addressee's Location	Document Type	Notes	Extent (Pages)	Subject	Language	Repository	Repository Collection	Repository Collection Guide	Shelf Location	Cite As	Restrictions	Digital Collection	Contact and Ordering Information	Item URL	Transcription	Related Collections	Item Number	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 4																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/12	12	13.jp2	/p15140coll41/image/13.jp2
532202021845ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/13	13	14.pdf	/p15140coll41/image/14.pdf
532202021845tb_Transcription Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/14	14	15.pdf	/p15140coll41/image/15.pdf
532202021845tc_Transcription Page 3																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/15	15	16.pdf	/p15140coll41/image/16.pdf
A. F. Righton letter, 1845 Feb. 2	Anglophone.	Righton, A. F.	M	Landowner	upper		Donaldsonville (La.)	1845-02-02	McDonogh, John, 1779-1850.	New Orleans (La.)	business	details of a lawsuit over property	3	Real property -- Louisiana.	en	Louisiana Research Collection, Howard-Tilton Memorial Library, Tulane University	John McDonogh papers, 1789-1869.	http://specialcollections.tulane.edu/archon/?p=collections/controlcard&id=122	Tulane, LaRC/Manuscripts Collection 30	John McDonogh papers, Manuscripts Collection 30, Louisiana Research Collection, Howard-Tilton Memorial Library, Tulane University, New Orleans, LA 70118	Physical rights are retained by the Louisiana Research Collection. Copyright is retained in accordance with U.S. copyright laws.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/16	16	17.cpd	/p15140coll41/image/17.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/17	17	18.jp2	/p15140coll41/image/18.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/18	18	19.jp2	/p15140coll41/image/19.jp2
135307031838ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/19	19	20.pdf	/p15140coll41/image/20.pdf
A. S. Lomb letter, 1838 July 3	Irish/Scots.	Lomb, A. S. (Andrew Spotswood).	M		middle		New Orleans (La.)	1838-07-03	McKowen, John, 1812-1871.	Jackson (La.)	personal	news	1	Public health--Louisiana.	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	John McKowen papers, 1836-1898 (bulk 1836-1869).		E:54, Box 1, Folder 1:3	John McKowen Papers, Mss. 1353, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/20	20	21.cpd	/p15140coll41/image/21.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/21	21	22.jp2	/p15140coll41/image/22.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/22	22	23.jp2	/p15140coll41/image/23.jp2
Page 3																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/23	23	24.jp2	/p15140coll41/image/24.jp2
000504141862ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/24	24	25.pdf	/p15140coll41/image/25.pdf
000504141862tb_Transcription Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/25	25	26.pdf	/p15140coll41/image/26.pdf
000504141862tc_Transcription Page 3																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/26	26	27.pdf	/p15140coll41/image/27.pdf
Amelia Faulkner letter, 1862 Apr. 14	Anglophone.	Faulkner, Amelia.	F		middle (?)	USA	Faulkland (Del.)	1862-04-14	Lauzin, Henrietta.	Baton Rouge (La.)	personal	news - much on war	3	Louisiana--History--Civil War, 1861-1865.	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Gras-Lauzin family papers, 1783-1917 (bulk 1783-1866).		U:152, Folder 2:11	Gras-Lauzin Family Papers, Mss. 5, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/27	27	28.cpd	/p15140coll41/image/28.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/28	28	29.jp2	/p15140coll41/image/29.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/29	29	30.jp2	/p15140coll41/image/30.jp2
Page 3																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/30	30	31.jp2	/p15140coll41/image/31.jp2
000505241864ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/31	31	32.pdf	/p15140coll41/image/32.pdf
000505241864tb_Transcription Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/32	32	33.pdf	/p15140coll41/image/33.pdf
000505241864tc_Transcription Page 3																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/33	33	34.pdf	/p15140coll41/image/34.pdf
Amelia Faulkner letter, 1864 May 24	Anglophone.	Faulkner, Amelia.	F		middle (?)	USA	Faulkland (Del.)	1864-05-24	Lauzin, Henrietta.	Baton Rouge (La.)	personal	news of how Henrietta's brother died in battle	3	Louisiana--History--Civil War, 1861-1865.	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Gras-Lauzin family papers, 1783-1917 (bulk 1783-1866).		U:152, Folder 2:12	Gras-Lauzin Family Papers, Mss. 5, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/34	34	35.cpd	/p15140coll41/image/35.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/35	35	36.jp2	/p15140coll41/image/36.jp2
131812301860ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/36	36	37.pdf	/p15140coll41/image/37.pdf
Amelius M. Haydel letter, 1860 Dec. 30	Black Creole.	Haydel, Amelius M., b. 1837.	M	Student/Soldier	upper (?)	USA	Saint John the Baptist (La.)	1860-12-30	Andry, Marie Rosa, 1833-ca. 1877.	New Orleans (La.)	personal	News to sister	1	Louisiana--History--1803-1865.	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	M.T. Andry and family papers, 1840-1882 (bulk 1858-1879).	http://www.lib.lsu.edu/special/findaid/a1318.html	UU:66, Folder 1:1	Michael Thomassin Andry and Family Papers, Mss. 1318, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/37	37	38.cpd	/p15140coll41/image/38.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/38	38	39.jp2	/p15140coll41/image/39.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/39	39	40.jp2	/p15140coll41/image/40.jp2
131812291861ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/40	40	41.pdf	/p15140coll41/image/41.pdf
131812291861tb_Transcription Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/41	41	42.pdf	/p15140coll41/image/42.pdf
Amelius M. Haydel letter, 1861 Dec. 29	Black Creole.	Haydel, Amelius M., b. 1837.	M	Student/Soldier	upper (?)	USA	Camp Beauregard (La.)	1861-12-29	Andry, Marie Rosa, 1833-ca. 1877.	New Orleans (La.)	personal	news on Civil War - stationed near Columbus	2	Louisiana--History--Civil War, 1861-1865	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	M.T. Andry and family papers, 1840-1882 (bulk 1858-1879).	http://www.lib.lsu.edu/special/findaid/a1318.html	UU:66, Folder 1:1	Michael Thomassin Andry and Family Papers, Mss. 1318, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/42	42	43.cpd	/p15140coll41/image/43.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/43	43	44.jp2	/p15140coll41/image/44.jp2
131803131861ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/44	44	45.pdf	/p15140coll41/image/45.pdf
Amelius M. Haydel letter, 1861 Mar. 13	Black Creole.	Haydel, Amelius M., b. 1837.	M	Student/Soldier	upper (?)	USA	Saint John the Baptist (La.)	1861-03-13	Andry, Marie Rosa, 1833-ca. 1877.	New Orleans (La.)	personal	news to sister	1	Louisiana--History--Civil War, 1861-1865.	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	M.T. Andry and family papers, 1840-1882 (bulk 1858-1879).	http://www.lib.lsu.edu/special/findaid/a1318.html	UU:66, Folder 1:1	Michael Thomassin Andry and Family Papers, Mss. 1318, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/45	45	46.cpd	/p15140coll41/image/46.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/46	46	47.jp2	/p15140coll41/image/47.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/47	47	48.jp2	/p15140coll41/image/48.jp2
Page 3																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/48	48	49.jp2	/p15140coll41/image/49.jp2
532204101844ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/49	49	50.pdf	/p15140coll41/image/50.pdf
532204101844tb_Transcription Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/50	50	51.pdf	/p15140coll41/image/51.pdf
Andrew Durnford letter, 1844 Apr. 10	Black Creole.	Durnford, Andrew, 1800-1859.	M	Planter	upper	USA	Saint Rosalie (La.)	1844-04-10	McDonogh, John, 1779-1850.	New Orleans (La.)	personal	crops and neighbor's fence	2	Louisiana--History--1803-1865.	en	Louisiana Research Collection, Howard-Tilton Memorial Library, Tulane University	John McDonogh papers, 1789-1869.	http://specialcollections.tulane.edu/archon/?p=collections/controlcard&id=122		John McDonogh papers, Manuscripts Collection 30, Louisiana Research Collection, Howard-Tilton Memorial Library, Tulane University, New Orleans, LA 70118	Physical rights are retained by the Louisiana Research Collection. Copyright is retained in accordance with U.S. copyright laws.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/51	51	52.cpd	/p15140coll41/image/52.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/52	52	53.jp2	/p15140coll41/image/53.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/53	53	54.jp2	/p15140coll41/image/54.jp2
Page 3																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/54	54	55.jp2	/p15140coll41/image/55.jp2
532208181844ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/55	55	56.pdf	/p15140coll41/image/56.pdf
532208181844tb_Transcription Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/56	56	57.pdf	/p15140coll41/image/57.pdf
Andrew Durnford letter, 1844 Aug. 18	Black Creole.	Durnford, Andrew, 1800-1859.	M	Planter	upper	USA	Saint Rosalie (La.)	1844-08-18	McDonogh, John, 1779-1850.	New Orleans (La.)	personal	offense over money/land	2	Real property -- Louisiana.	en	Louisiana Research Collection, Howard-Tilton Memorial Library, Tulane University	John McDonogh papers, 1789-1869.	http://specialcollections.tulane.edu/archon/?p=collections/controlcard&id=122		John McDonogh papers, Manuscripts Collection 30, Louisiana Research Collection, Howard-Tilton Memorial Library, Tulane University, New Orleans, LA 70118	Physical rights are retained by the Louisiana Research Collection. Copyright is retained in accordance with U.S. copyright laws.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/57	57	58.cpd	/p15140coll41/image/58.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/58	58	59.jp2	/p15140coll41/image/59.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/59	59	60.jp2	/p15140coll41/image/60.jp2
Page 3																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/60	60	61.jp2	/p15140coll41/image/61.jp2
532206061844ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/61	61	62.pdf	/p15140coll41/image/62.pdf
532206061844tb_Transcription Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/62	62	63.pdf	/p15140coll41/image/63.pdf
Andrew Durnford letter, 1844 June 6	Black Creole.	Durnford, Andrew, 1800-1859.	M	Planter	upper	USA	Saint Rosalie (La.)	1844-06-06	McDonogh, John, 1779-1850.	New Orleans (La.)	personal	sugarcane	2	Sugar trade--Louisiana.	en	Louisiana Research Collection, Howard-Tilton Memorial Library, Tulane University	John McDonogh papers, 1789-1869.	http://specialcollections.tulane.edu/archon/?p=collections/controlcard&id=122		John McDonogh papers, Manuscripts Collection 30, Louisiana Research Collection, Howard-Tilton Memorial Library, Tulane University, New Orleans, LA 70118	Physical rights are retained by the Louisiana Research Collection. Copyright is retained in accordance with U.S. copyright laws.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/63	63	64.cpd	/p15140coll41/image/64.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/64	64	65.jp2	/p15140coll41/image/65.jp2
