Title	Creator	Contributors	Date	Physical Description	Notes	Railroad	City	State/Province	Language	Type	Subjects	Coverage	Digital Collection	Repository	Repository Collection Guide	Call Number / Shelving Location	Cite As	Restrictions	Contact and Ordering Information	Digital Format	Digital Reproduction Information	Item Number	Item URL	Collection URL	Cataloged Date / Cataloger Initials	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Bastrop (1978): Arkansas, Louisiana, and Missouri			1978			Arkansas, Louisiana, and Missouri	Bastrop (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 2	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/10	10	11.jp2	/p16313coll79/image/11.jp2
Baton Rouge (1971): Illinois Central/ Missouri Pacific			1971			Illinois Central Railroad Company/Missouri Pacific Railroad Company	Baton Rouge (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder 2	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/11	11	12.jp2	/p16313coll79/image/12.jp2
Baton Rouge (1971): Kansas City Southern			1971			Kansas City Southern Railway Company	Baton Rouge (La.)	Louisiana	English	Image	Railroad stations--Louisiana.; Motor vehicles--Louisiana			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 2	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/12	12	13.jp2	/p16313coll79/image/13.jp2
Benson (1983): Kansas City Southern			1983			Kansas City Southern Railway Company	Benson (La.)	Louisiana	English	Image	Railroad stations--Louisiana.; Motor vehicles--Louisiana			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 2	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/13	13	14.jp2	/p16313coll79/image/14.jp2
Berwick (between 1940 and 1970?): Texas and New Orleans			1940?-1970?			Texas and New Orleans Railroad Company	Berwick (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder 2	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/14	14	15.jp2	/p16313coll79/image/15.jp2
Bernice (1978): Chicago, Rock Island, and Pacific Railroad			1978			Chicago, Rock Island, and Pacific Railroad Company (1948- )	Bernice (La.)	Louisiana	English	Image	Railroad stations--Louisiana.; Motor vehicles--Louisiana			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 2	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/15	15	16.jp2	/p16313coll79/image/16.jp2
Bunkie (1970?): Texas and Pacific			1970?			Texas & Pacific Railway	Bunkie (La.)	Louisiana	English	Image	Railroad stations--Louisiana.; Trucks--Louisiana			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder 2	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/16	16	17.jp2	/p16313coll79/image/17.jp2
Caspiana (1983): Texas and Pacific			1983			Texas & Pacific Railway	Caspiana (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder 3	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/17	17	18.jp2	/p16313coll79/image/18.jp2
Church Point (1983): Missouri Pacific			1983			Missouri Pacific Railroad Company	Church Point (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder 3	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/18	18	19.jp2	/p16313coll79/image/19.jp2
Clarence (1983): Louisiana and Arkansas			1983			Louisiana and Arkansas Railway Company	Clarence (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder 3	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/19	19	20.jp2	/p16313coll79/image/20.jp2
Colfax (1983): Louisiana and Arkansas			1983			Louisiana and Arkansas Railway Company	Colfax (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder 3	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/20	20	21.jp2	/p16313coll79/image/21.jp2
Collinston (1984): Missouri Pacific			1984			Missouri Pacific Railroad Company	Collinston (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder 3	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/21	21	22.jp2	/p16313coll79/image/22.jp2
Coushatta (1977): Louisiana and Arkansas			1977			Louisiana and Arkansas Railway Company	Coushatta (La.)	Louisiana	English	Image	Railroad stations--Louisiana; Automobiles--Louisiana			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder 3	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/22	22	23.jp2	/p16313coll79/image/23.jp2
Crowley (1956): Southern Pacific			1956			Southern Pacific Company	Crowley (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder 3	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/23	23	24.jp2	/p16313coll79/image/24.jp2
