Title	Compound	Photographer	Date	Dates	Subjects	Notes	Original Format/Size	Physical Description	Digital Collection	Repository	Repository Collection	Repository Collection Guide	Digital Size	Restrictions	Cite As	Contact and Ordering Information	Item Number	Item URL	Collection URL	Type	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Frances Peralta.		Dobkih (New York, N.Y.)	Unknown		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Peralta, Frances--Portrait photographs.;Dobkih (New York, N.Y.)	Autographed studio portrait in costume.	Gelatin silver prints;4.50" x 6.50"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	1807 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650011	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/11	11	12.jpg	/LSU_LHC/image/12.jpg
Rosa Ponselle.		Mishkin (New York, N.Y.)	1925		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Ponselle, Rosa, 1897-1981--Portrait photographs.;Mishkin (New York, N.Y.)	Autographed studio portrait in costume.	Gelatin silver prints;7.25" x 9.25"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	2031 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650013	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/12	12	13.jpg	/LSU_LHC/image/13.jpg
Rosa Ponselle.		Mishkin (New York, N.Y.)	1928		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Ponselle, Rosa, 1897-1981--Portrait photographs.;Mishkin (New York, N.Y.)	Autographed studio portrait in costume.	Gelatin silver prints;8.00" x 10.00"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	2084 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650014	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/13	13	14.jpg	/LSU_LHC/image/14.jpg
Raisa.		Unknown	Unknown		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Raisa--Portrait photographs.	Autographed studio portrait in costume.	Gelatin silver prints;7.00" x 10.00"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	1898 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650015	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/14	14	15.jpg	/LSU_LHC/image/15.jpg
Sydney Rayner.		Unknown	1943		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Rayner, Sydney, 1895-1981--Portrait photographs.	Autographed studio portrait in costume as Canio in Pagliacci.	Gelatin silver prints;8.00" x 10.00"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	2018 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650016	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/15	15	16.jpg	/LSU_LHC/image/16.jpg
Elizabeth Rothberg.		Fernand de Gueldy (Chicago, Ill.)	1927		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Rothberg, Elizabeth--Portrait photographs.;Fernand de Gueldy (Chicago, Ill.)	Autographed studio portrait.	Gelatin silver prints;7.25" x 9.25"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	2020 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650017	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/16	16	17.jpg	/LSU_LHC/image/17.jpg
Giacomo Rimini.		Daguerre (Chicago, Ill.)	Unknown		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Rimini, Giacomo--Portrait photographs.;Daguerre (Chicago, Ill.)	Autographed studio portrait.	Gelatin silver prints;8.00" x 10.00"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	2074 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650018	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/17	17	18.jpg	/LSU_LHC/image/18.jpg
Marion Talley.		Mishkin (New York, N.Y.)	1927		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Talley, Marion--Portrait photographs.;Mishkin (New York, N.Y.)	Autographed studio portrait.	Gelatin silver prints;7.25" x 9.25"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	2047 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650019	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/18	18	19.jpg	/LSU_LHC/image/19.jpg
Georges Thill.		Isabey (Paris, France)	1932		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Thill, Georges, 1897---Portrait photographs;Isabey (Paris, France)	Autographed studio portrait.	Gelatin silver prints;5.00" x 7.00"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	1874 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650020	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/19	19	20.jpg	/LSU_LHC/image/20.jpg
Lawrence Tibbett.		Unknown	1931		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Tibbett, Lawrence, 1896-1960--Portrait photographs.	Autographed studio portrait.	Gelatin silver prints;10.00" x 13.00"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	1993 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650022	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/20	20	21.jpg	/LSU_LHC/image/21.jpg
