Title	Photographer	Date	Physical Description	Notes	Subjects	Type	Digital Collection	Repository	Repository Collection Guide	Call Number/ Shelving Location	Cite as	Restrictions	Contact and Ordering Information	Digital Format	Digital Reproduction Information	Item Number	Item URL	Collection URL	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Fisherman's camp - Belle River, La.	Unknown	1920?	Black and white photograph mounted on paper	The photograph album (unbound) contains 103 black and white prints mounted on paper. The images show scenes from several locations in Louisiana during the 1920s.	Belle River (La.)--Photographs.; Fishing lodges--Louisiana--Belle River--Photographs.	Image	Col. Joseph S. Tate Photograph Album	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	(http://www.lib.lsu.edu/special/findaid/4963.pdf)	65:2	Col. Joseph S. Tate Photograph Album, Mss. 4963, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image  must be requested through the Special Collections Division, Louisiana State  University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html   Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Microtek flatbed scanner.	4963011	See 'reference url' on the navigation bar above.	http://www.louisianadigitallibrary.org/cdm/search/collection/p16313coll56		2014-03-21	2014-03-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll56/id/10	10	11.jp2	/p16313coll56/image/11.jp2
The camp - F.B.W. cypress	Unknown	1920?	Black and white photograph mounted on paper	The photograph album (unbound) contains 103 black and white prints mounted on paper. The images show scenes from several locations in Louisiana during the 1920s.	Fishing lodges--Louisiana--Photographs.	Image	Col. Joseph S. Tate Photograph Album	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	(http://www.lib.lsu.edu/special/findaid/4963.pdf)	65:2	Col. Joseph S. Tate Photograph Album, Mss. 4963, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image  must be requested through the Special Collections Division, Louisiana State  University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html   Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Microtek flatbed scanner.	4963012	See 'reference url' on the navigation bar above.	http://www.louisianadigitallibrary.org/cdm/search/collection/p16313coll56		2014-03-21	2014-03-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll56/id/11	11	12.jp2	/p16313coll56/image/12.jp2
Logging road through Cypress Swamp, La.	Unknown	1920?	Black and white photograph mounted on paper	The photograph album (unbound) contains 103 black and white prints mounted on paper. The images show scenes from several locations in Louisiana during the 1920s.	Logging--Louisiana--Photographs.; Railroad tracks--Louisiana--Photographs.	Image	Col. Joseph S. Tate Photograph Album	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	(http://www.lib.lsu.edu/special/findaid/4963.pdf)	65:2	Col. Joseph S. Tate Photograph Album, Mss. 4963, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image  must be requested through the Special Collections Division, Louisiana State  University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html   Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Microtek flatbed scanner.	4963013	See 'reference url' on the navigation bar above.	http://www.louisianadigitallibrary.org/cdm/search/collection/p16313coll56		2014-03-21	2014-03-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll56/id/12	12	13.jp2	/p16313coll56/image/13.jp2
Manhattan elevated #151 in Lumber Camp, La.	Unknown	1920?	Black and white photograph mounted on paper	The photograph album (unbound) contains 103 black and white prints mounted on paper. The images show scenes from several locations in Louisiana during the 1920s.	Logging--Louisiana--Photographs.; Steam locomotives--Louisiana--Photographs.	Image	Col. Joseph S. Tate Photograph Album	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	(http://www.lib.lsu.edu/special/findaid/4963.pdf)	65:2	Col. Joseph S. Tate Photograph Album, Mss. 4963, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image  must be requested through the Special Collections Division, Louisiana State  University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html   Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Microtek flatbed scanner.	4963014	See 'reference url' on the navigation bar above.	http://www.louisianadigitallibrary.org/cdm/search/collection/p16313coll56		2014-03-21	2014-03-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll56/id/13	13	14.jp2	/p16313coll56/image/14.jp2
Tying dead main in lumber swamp	Unknown	1920?	Black and white photograph mounted on paper	The photograph album (unbound) contains 103 black and white prints mounted on paper. The images show scenes from several locations in Louisiana during the 1920s.	Loggers--Louisiana--Photographs.; Logging--Louisiana--Photographs.	Image	Col. Joseph S. Tate Photograph Album	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	(http://www.lib.lsu.edu/special/findaid/4963.pdf)	65:2	Col. Joseph S. Tate Photograph Album, Mss. 4963, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image  must be requested through the Special Collections Division, Louisiana State  University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html   Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Microtek flatbed scanner.	4963015	See 'reference url' on the navigation bar above.	http://www.louisianadigitallibrary.org/cdm/search/collection/p16313coll56		2014-03-21	2014-03-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll56/id/14	14	15.jp2	/p16313coll56/image/15.jp2
Hauling out and loading	Unknown	1920?	Black and white photograph mounted on paper	The photograph album (unbound) contains 103 black and white prints mounted on paper. The images show scenes from several locations in Louisiana during the 1920s.	Logging equipment and supplies--Louisiana-- Photographs.; Logging--Louisiana--Photographs.	Image	Col. Joseph S. Tate Photograph Album	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	(http://www.lib.lsu.edu/special/findaid/4963.pdf)	65:2	Col. Joseph S. Tate Photograph Album, Mss. 4963, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image  must be requested through the Special Collections Division, Louisiana State  University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html   Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Microtek flatbed scanner.	4963016	See 'reference url' on the navigation bar above.	http://www.louisianadigitallibrary.org/cdm/search/collection/p16313coll56		2014-03-21	2014-03-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll56/id/15	15	16.jp2	/p16313coll56/image/16.jp2
Just resting	Unknown	1920?	Black and white photograph mounted on paper	The photograph album (unbound) contains 103 black and white prints mounted on paper. The images show scenes from several locations in Louisiana during the 1920s.	Loggers--Louisiana--Photographs.	Image	Col. Joseph S. Tate Photograph Album	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	(http://www.lib.lsu.edu/special/findaid/4963.pdf)	65:2	Col. Joseph S. Tate Photograph Album, Mss. 4963, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image  must be requested through the Special Collections Division, Louisiana State  University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html   Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Microtek flatbed scanner.	4963017	See 'reference url' on the navigation bar above.	http://www.louisianadigitallibrary.org/cdm/search/collection/p16313coll56		2014-03-21	2014-03-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll56/id/16	16	17.jp2	/p16313coll56/image/17.jp2
Water Hyacinths going into Flat Lake, [St. Martin Parish] La.	Unknown	1920?	Black and white photograph mounted on paper	The photograph album (unbound) contains 103 black and white prints mounted on paper. The images show scenes from several locations in Louisiana during the 1920s.	Hyacinths--Louisiana--Photographs.; Flat Lake (La.)--Photographs.	Image	Col. Joseph S. Tate Photograph Album	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	(http://www.lib.lsu.edu/special/findaid/4963.pdf)	65:2	Col. Joseph S. Tate Photograph Album, Mss. 4963, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image  must be requested through the Special Collections Division, Louisiana State  University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html   Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Microtek flatbed scanner.	4963018	See 'reference url' on the navigation bar above.	http://www.louisianadigitallibrary.org/cdm/search/collection/p16313coll56		2014-03-21	2014-03-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll56/id/17	17	18.jp2	/p16313coll56/image/18.jp2
Belle River, La.	Unknown	1920?	Black and white photograph mounted on paper	The photograph album (unbound) contains 103 black and white prints mounted on paper. The images show scenes from several locations in Louisiana during the 1920s.	Belle River (La.)--Photographs.	Image	Col. Joseph S. Tate Photograph Album	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	(http://www.lib.lsu.edu/special/findaid/4963.pdf)	65:2	Col. Joseph S. Tate Photograph Album, Mss. 4963, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image  must be requested through the Special Collections Division, Louisiana State  University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html   Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Microtek flatbed scanner.	4963019	See 'reference url' on the navigation bar above.	http://www.louisianadigitallibrary.org/cdm/search/collection/p16313coll56		2014-03-21	2014-03-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll56/id/18	18	19.jp2	/p16313coll56/image/19.jp2
Grand River, La.	Unknown	1920?	Black and white photograph mounted on paper	The photograph album (unbound) contains 103 black and white prints mounted on paper. The images show scenes from several locations in Louisiana during the 1920s.	Grand River (La.)--Photographs.; Rivers--Louisiana--Photographs.	Image	Col. Joseph S. Tate Photograph Album	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	(http://www.lib.lsu.edu/special/findaid/4963.pdf)	65:2	Col. Joseph S. Tate Photograph Album, Mss. 4963, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image  must be requested through the Special Collections Division, Louisiana State  University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html   Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Microtek flatbed scanner.	4963020	See 'reference url' on the navigation bar above.	http://www.louisianadigitallibrary.org/cdm/search/collection/p16313coll56		2014-03-21	2014-03-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll56/id/19	19	20.jp2	/p16313coll56/image/20.jp2
River and small boat	Unknown	1920?	Black and white photograph mounted on paper	The photograph album (unbound) contains 103 black and white prints mounted on paper. The images show scenes from several locations in Louisiana during the 1920s.	Rivers--Louisiana--Photographs.	Image	Col. Joseph S. Tate Photograph Album	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	(http://www.lib.lsu.edu/special/findaid/4963.pdf)	65:2	Col. Joseph S. Tate Photograph Album, Mss. 4963, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image  must be requested through the Special Collections Division, Louisiana State  University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html   Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Microtek flatbed scanner.	4963021	See 'reference url' on the navigation bar above.	http://www.louisianadigitallibrary.org/cdm/search/collection/p16313coll56		2014-03-21	2014-03-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll56/id/20	20	21.jp2	/p16313coll56/image/21.jp2
Fisherman on a bridge over a small bayou	Unknown	1920?	Black and white photograph mounted on paper	The photograph album (unbound) contains 103 black and white prints mounted on paper. The images show scenes from several locations in Louisiana during the 1920s.	Bridges--Louisiana--Photographs.; Fishers--Louisiana--Photographs.	Image	Col. Joseph S. Tate Photograph Album	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	(http://www.lib.lsu.edu/special/findaid/4963.pdf)	65:2	Col. Joseph S. Tate Photograph Album, Mss. 4963, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image  must be requested through the Special Collections Division, Louisiana State  University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html   Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Microtek flatbed scanner.	4963022	See 'reference url' on the navigation bar above.	http://www.louisianadigitallibrary.org/cdm/search/collection/p16313coll56		2014-03-21	2014-03-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll56/id/21	21	22.jp2	/p16313coll56/image/22.jp2
