Title	Creator	Contributors	Date	Dates	Physical Description	Notes	Language	Type	Subjects	Coverage	Digital Collection	Repository	Repository Collection Guide	Call Number / Shelving Location	Cite As	Restrictions	Contact and Ordering Information	Digital Format	Digital Reproduction Information	Item Number	Item URL	Collection URL	Cataloged Date / Cataloger Initials	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Map of Iberville, West Baton Rouge, La. and adjacent parishes, 1883.	Dickinson, C. H. (Charles H.)		1883		Map.	Full title: 'Map of the Parishes of Iberville, most of West Baton Rouge, and including parts of the Parishes of St. Martins, Ascension, and  Pointe Coupée, Louisiana; compiled and drafted by C. H. Dickinson, civil engineer, 1883.'--Title block. Gives landowners' names. Scale 1:63,360.	English	Image	Iberville Parish (La.)--Maps.; West Baton Rouge Parish (La.)--Maps.; St. Martin Parish (La.)--Maps.; Ascension Parish (La.)--Maps; Pointe Coupée  Parish (La.)--Maps.; Real property--Louisiana--Iberville Parish--Maps.; Real property--Louisiana--West Baton Rouge Parish--Maps.; Real property--Louisiana--Saint Martin Parish--Maps.; Real property--Louisiana--Ascension Parish--Maps.; Real property--Louisiana--Pointe Coupée Parish--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 09	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f09i10_Iberville-WBR	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/17/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/64	64	65.jp2	/p16313coll57/image/65.jp2
Map of John McDonogh and others, Ascension and St. James Parishes, La.			unknown		Map.	Survey map of lands in Louisiana's Sixth, Seventh, and Eighth Wards, in Ascension and St. James parishes. Looking eastward with St. James Parish lands on the eastern bank of the Mississippi River; and Ascension Parish lands on the western bank. Names of some of the property owners listed on the map: Valcour Aime, John Baptiste Armant, M.D. Bringier, Wade Hampton, Governor Henry Johnson, and Narcisse Landry. Typed note laid on top of original drawing, with wards Sixth, Seventh, and Eighth headings in red. Note give specific details of the extent of the surveyed area. Undated; no scale given.	English	Image	Land subdivision--Louisiana--Ascension Parish--Maps.; Land subdivision--Louisiana--St. James Parish--Maps.; Landowners--Louisiana--Maps.; Louisiana--History--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 02	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f02i02_John McDonough	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	09/08/2014 rlh		2014-10-31	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/65	65	66.jp2	/p16313coll57/image/66.jp2
Map of Johnstown Section 2, Baton Rouge, La.	Swart, Reinier, Sr., 1845-1917.		unknown		Map.	Undated plat map of one of Baton Rouge's oldest neighborhoods.  North oriention. Section plan bounded on the west by Highland Road, on the east by Robert St., to the north by Margaret St, and to the south by Louise St. Scale not given.	English	Image	Baton Rouge (La.)--Surveys.; Land surveys--Louisiana--Baton Rouge.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 01	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f01i14_Map of Johnstown Section 2	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	08/27/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/66	66	67.jp2	/p16313coll57/image/67.jp2
Map of Louisiana State University grounds, 1921.	Mundinger, A. G. (Adam George)		1921		Map	Cadastral map showing numbered lots adjacent to University grounds. Oriented north, bounded on the west by the city canal; on the south by Johnson Street; on the north by Washington Street; and on the east by the University grounds. Heavily annotated in pencil. Updated street names and lot dimensions in red. No scale given.	English	Image	Land subdivision--Louisiana--Baton Rouge--Maps.; Baton Rouge (La.)--Surveys.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 01	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f01i11_University Grounds	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	09/24/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/69	69	70.jp2	/p16313coll57/image/70.jp2
Map of Monte Sano Farms, 1927.	Mundinger, A. G. (Adam George)		1927		Map.	Oriented with north at top of map. Full title from title block: 'Subdivision map of Lot 58, Montesano Highland Farms, being a part of Sec. 37 T.6 SR1W, Greensburg Dist La.' Scale 1:1200.	English	Image	Baton Rouge (La.)--Maps.; Land subdivision--Louisiana--Baton Rouge--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 03	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f03i11_Montesano Farms	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/13/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/72	72	73.jp2	/p16313coll57/image/73.jp2
Map of North Baton Rouge, La., 1926.	Swart, Reinier, Jr., 1885-1967.		1926		Map.	Map of north Baton Rouge area, between Baton Rouge Avenue and Lee Street. Oriented north. Scale not given.	English	Image	East Baton Rouge Parish (La.)--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 09	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f09i08_Map	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/17/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/73	73	74.jp2	/p16313coll57/image/74.jp2
Map of Northdale and Northdale Addition, Baton Rouge, La., 1926.	Swart, Reinier, Jr., 1885-1967.		1926		Map.	Map of Baton Rouge neighborhood of Northdale, including planned addition to the subdivision. Oriented with north at to of map.  'Laid out for Hearin, Collins, and Hearin and Northdale Co., Inc.'--Title block.  Scale 1:600.	English	Image	Neighborhoods--Louisiana--Baton Rouge--Maps.; Neighborhood planning--Louisiana--Baton Rouge--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 01	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f01i02_Map of Northdale and Northdale Addition	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	08/25/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/74	74	75.jp2	/p16313coll57/image/75.jp2
Map of Northdale Subdivision, Baton Rouge, La., 1924.	Huey, L. Q.		1924		Map.	Plan for Northdale Subdivision, Baton Rouge, La. Shows railroad line, roads, and numbered lots. Much of lettering faded from age. Annotations in red.  'Northdale, laid out for Triumph Realty Inc., Oct. 1924, L.Q. Huey, C.E., Parish Surveyor East Baton Rouge, Louisiana.'--Title block. Scale not given.	English	Image	Neighborhoods--Louisiana--Baton Rouge--Maps.; City planning--Louisiana--Baton Rouge--Maps.; Triumph Realty, Inc. (Firm)		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 02	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f02i11_Northdale	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	09/17/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/75	75	76.jp2	/p16313coll57/image/76.jp2
Map of Robert Louden property, East Baton Rouge Parish, 1912.	Young, T. W. (Surveyor)	Swart, Reinier, Jr., 1885-1967.	1912		Map.	Cadastral map of property of Robert Louden, near Zachary, La. (misspelled "Zachery" on map). Scale: 1:7920.	English	Image	Real property--Louisiana--East Baton Rouge Parish--Surveys.; Landowners--Louisiana--East Baton Rouge Parish--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 03	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f03i09_EBR Parish	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/07/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/76	76	77.jp2	/p16313coll57/image/77.jp2
Map of Roseland Terrace, Baton Rouge, La.			1911		Map.	Cadastral map of planned subdivision in Baton Rouge's Garden District. Bounded on the west by Golden Rod Avenue; on the west by Camelia Avenue; on the north by Government Street; and on the south by Olive Street.  Undated; no scale given.	English	Image	Historic neighborhoods--Baton Rouge (La.)--Maps.; Land use--Louisiana--Baton Rouge--Planning.; Broadsides--Louisiana--Baton Rouge--Maps.;  Zadok Realty Company (Firm)		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 02	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f02i16_Roseland Terrace 2	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	09/24/2014 rlh		2014-10-31	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/77	77	78.jp2	/p16313coll57/image/78.jp2
Map of Scotland Heights, North Baton Rouge, 1912.	Mundinger, J. J. (John J.)		1912		Map.	Cadastral map showing area of Scotland Heights in north Baton Rouge, Louisiana. Property laid out in numbered lots. Map extremely faded with age. Most of text and dimensions unreadable. Scale 1:2400.	English	Image	Land subdivision--Louisiana--Baton Rouge--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 03	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f03i12_Munolingers	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/13/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/78	78	79.jp2	/p16313coll57/image/79.jp2
Map of Scotland Plantation, 1914.	Swart, Reinier, Sr., 1845-1917.		1914		Map, hand drawn.	Full title: '‘University City, Located near the crossing of the Y & M.V.R.R. and the L. R. & N. Co. about five miles above Baton Rouge La., owned by Scotland Plantation (Inc.), Laid out in lots by R. Swart, Baton Rouge, La., 1914.’  Property stamp on left bottom corner of map: 'Property of R. Swart En[gineer,] Baton R[ouge]' (bracketed portion: stamp ink faded and indecipherable). Laid out in numbered lots bounded by Townsley, Powers, Scott, and Scotland Avenues.  Shows location of Louisville & Nashville Railroad and Yazoo & Mississippi Valley Railroad lines.  Oriented with east at top of map. Scale: 1:1200.	English	Image	Scotlandville (La.)--History--Maps.; Neighborhoods--Louisiana--Baton Rouge--Maps.; Land subdivision--Louisiana--Baton Rouge--Maps.; Yazoo and Mississippi Valley Railroad Company.; Louisville and Nashville Railroad Company.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 02	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f02i14_Scotland Plantation	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	09/17/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/79	79	80.jp2	/p16313coll57/image/80.jp2
Map of South Baton Rouge, c.3, 1905.	Hart, R. A. (Robert)	Swart, Reinier, Sr., 1845-1917.	1905		Map.	Map showing 43 squares of property, subdivided into numbered lots. Bounded on the north by Washington Street; on the south by Monroe Street; on the east by Missouri Street; and on the west by the city corporation line.  From title block: ‘Map of South Baton Rouge. Laid out by Robert A. Hart. Surveyed by R. Swart, 1905.’  ‘Scale 200 feet = 1 inch [1:2400].’  ‘Business lots in Sq 12 from A to P both inclusive are 25’ front by 75’ deep with a 15’ alley behind them.’	English	Image	Historic neighborhoods--Baton Rouge (La.)--Maps.; Baton Rouge (La.)--Surveys.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 02	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f02i28_South Baton Rouge 3	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	09/29/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/80	80	81.jp2	/p16313coll57/image/81.jp2
Map of South Baton Rouge, La., 1905	Hart, R. A. (Robert)	Swart, Reinier, Sr., 1845-1917.	1905		Map.	Survey map of South Baton Rouge, bounded on the north by Washington Street; on the south by Monroe Street; on the east by Louisiana State University grounds; and on the west by the city corporation line. Laid out in 43 squares of individually subdivided, numbered lots. Oriented with north up and to the right. 'Laid out by Robert A. Hart. Surveyed by R Swart. 1905.'--Title block.  Some discoloration and damage from age and folding. Scale: 1:2400.	English	Image	Historic neighborhoods--Baton Rouge (La.)--Maps.; Land subdivision--Louisiana--Baton Rouge--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 01	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f01i01_South Baton Rouge 1905	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	2014-08-07 / rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/81	81	82.jp2	/p16313coll57/image/82.jp2
Map of Squares 1-3, Gilbert Leonard Town, Baton Rouge, La.			1817? - 1827?	1817?;  1818?;  1819?;  1820?;  1821?;  1822?;  1823?;  1824?;  1825?;  1826?;  1827?	Map.	Undated survey map of area of Baton Rouge known as Gilbert Leonard Town. Survey conducted to establish corners A, C, D, and F of Square No. 3 of Gilbert Leonard Town; that tract of land is shaded in red. Gives street and sidewalk dimensions, as well as water and gas main locations and dimensions. Oriented with north at top of map. Scale not given. Creator not known.	English	Image	Real property--Louisiana--Baton Rouge--Surveys.; Historic neighborhoods--Baton Rouge (La.)--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 02	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f02i31_Gilbert Lenard Town	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57			2014-10-31	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/82	82	83.jp2	/p16313coll57/image/83.jp2
Map of subdivision of Arlington Plantation, Baton Rouge, Louisiana.			1862? - 1882?	1862?;  1863?;  1864?;  1865?;  1866?;  1867?;  1868?;  1869?;  1870?;  1871?;  1872?;  1873?;  1874?;  1875?;  1876?;  1877?;  1878?;  1879?;  1880?;  1881?;  1882?	Map.	Undated cadastral map showing properties subdivided from the old Arlington Plantation lands in East Baton Rouge Parish. Scale not given. Shows some owners' names and street names. Gives some dimensions. Heavily annotated in pencil. Undated.	English	Image	Land subdivision--Louisiana--Baton Rouge--Maps.; Landowners--Louisiana--East Baton Rouge Parish--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 03	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f03i10_Arlington Plantation	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/13/2014 rlh		2014-10-31	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/83	83	84.jp2	/p16313coll57/image/84.jp2
Map of Sub-Road District No. 4, 3rd Ward, East Baton Rouge Parish, La., 1925.	Swart, Reinier, Jr., 1885-1967.		1925		Map.	Looking northeast from city limits at Commanche St., between Bayou Sara Road on the west and Plank Road on the east.   Full title from title block: 'Map of Sub-Road District no. 4, 3rd Ward, East Baton Rouge Parish, Louisiana.'  Scale: 1"=200'.  'November 9th, 1925.' Stamped with '561.1.2.R' in block lettering inside bottom right-hand border.	English	Image	Roads--Foundations--Louisiana--Baton Rouge--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 01	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f01i03_Sub-Road District No. 4	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	08/25/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/84	84	85.jp2	/p16313coll57/image/85.jp2
Map of Suburb Abramson, Baton Rouge, La., 1908.	Swart, Reinier, Sr., 1845-1917.		1908		Map.	Oriented east. Full title: 'Map of Suburb Abramson, owned by Abe Abramson, situated near the eastern limit of the City of Baton Rouge, LA.' Laid out in 19 blocks, with East Easy Street and LeJeune Street as the eastern and western boundaries; and Slate Street and Picayune Street as the northern and southern boundaries.	English	Image	Historic neighborhoods--Baton Rouge (La.)--Maps.; Land subdivision--Louisiana--Baton Rouge--Maps.; Landowners--Louisiana--East Baton Rouge Parish--Maps.; Broadsides--Louisiana--Baton Rouge--Maps.; Abramson, Abe, 1863-1918.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 02	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f02i20_Map of Suburb Abramson	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	09/24/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/85	85	86.jp2	/p16313coll57/image/86.jp2
