Title	Photographer	Compound	Date	Subjects	Notes	Digital Format	Repository	Collection Name	Collection Source	Original Format/Size	Restrictions	Cite As	Contact and Ordering Information	Item Number	Item URL	Collection URL	Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Woman with pocket-watches and pocket-watch chains on costume.	Norman Studio	No	none	Natchez (Miss.)--Portrait photographs;Theatrical productions--Mississippi--Natchez--Photographs	Costume worn for the "Business Men's Jubilee" performance, 1891. Gandy sleeve notes: Rawle?	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Thomas H. and Joan W. Gandy Photograph Collection	IRP	Glass plate negative<br>5.00 X 8.00	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Thomas H. and Joan W. Gandy Photograph Collection, Mss. 3778, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	37780402706a	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_TJP.php?CISOROOT=/LSU_TJP	Image		2005-11-17	2005-11-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_TJP/id/11	11	12.jpg	/LSU_TJP/image/12.jpg
Woman with fish, crabs, and the name Postlewaithe & Chase on costume is holding a sugar-cured ham.	Norman Studio	No	none	Natchez (Miss.)--Portrait photographs;Theatrical productions--Mississippi--Natchez--Photographs	Costume worn for the "Business Men's Jubilee" performance, 1891. Gandy sleeve notes: Postlewaithe & Chase Ethyl Rawle	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Thomas H. and Joan W. Gandy Photograph Collection	IRP	Glass plate negative<br>5.00 X 8.00	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Thomas H. and Joan W. Gandy Photograph Collection, Mss. 3778, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	37780402707a	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_TJP.php?CISOROOT=/LSU_TJP	Image		2005-11-17	2005-11-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_TJP/id/12	12	13.jpg	/LSU_TJP/image/13.jpg
Woman in conductor's uniform holding a sign for Southern Express Co.	Norman Studio	No	none	Natchez (Miss.)--Portrait photographs;Theatrical productions--Mississippi--Natchez--Photographs	Costume worn for the "Business Men's Jubilee" performance, 1891. Gandy sleeve notes: Southern Express Co.	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Thomas H. and Joan W. Gandy Photograph Collection	IRP	Glass plate negative<br>5.00 X 8.00	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Thomas H. and Joan W. Gandy Photograph Collection, Mss. 3778, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	37780402708a	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_TJP.php?CISOROOT=/LSU_TJP	Image		2005-11-17	2005-11-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_TJP/id/13	13	14.jpg	/LSU_TJP/image/14.jpg
Woman dressed in black holding a coal bin and a sign for Pittsburg Coal Co., Jasper O'Brien, Agent.	Norman Studio	No	none	Natchez (Miss.)--Portrait photographs;Theatrical productions--Mississippi--Natchez--Photographs	Costume worn for the "Business Men's Jubilee" performance, 1891. Gandy sleeve notes: Pittsburg Coal Co. (Wells)	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Thomas H. and Joan W. Gandy Photograph Collection	IRP	Glass plate negative<br>5.00 X 8.00	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Thomas H. and Joan W. Gandy Photograph Collection, Mss. 3778, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	37780402709a	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_TJP.php?CISOROOT=/LSU_TJP	Image		2005-11-17	2005-11-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_TJP/id/14	14	15.jpg	/LSU_TJP/image/15.jpg
Woman with scissors, hammers, and other hardware hanging on costume advertising Schwartz & Stewart.	Norman Studio	No	none	Natchez (Miss.)--Portrait photographs;Theatrical productions--Mississippi--Natchez--Photographs	Costume worn for the "Business Men's Jubilee" performance, 1891. Gandy sleeve notes: Schwartz & Stewart Young, Annie?	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Thomas H. and Joan W. Gandy Photograph Collection	IRP	Glass plate negative<br>5.00 X 8.00	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Thomas H. and Joan W. Gandy Photograph Collection, Mss. 3778, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	37780402710a	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_TJP.php?CISOROOT=/LSU_TJP	Image		2005-11-17	2005-11-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_TJP/id/15	15	16.jpg	/LSU_TJP/image/16.jpg
Group of 3 men, 2 sitting and 1 standing, in suits with hats on.	Norman Studio	No	none	Group portraits;Portrait photographs	Gandy Sleeve Notes: Curry, Merrick Zurhellin	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Thomas H. and Joan W. Gandy Photograph Collection	IRP	Glass plate negative<br>4.25" x 6.50"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Thomas H. and Joan W. Gandy Photograph Collection, Mss. 3778, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	37780403002a	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_TJP.php?CISOROOT=/LSU_TJP	Image		2005-11-17	2005-11-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_TJP/id/16	16	17.jpg	/LSU_TJP/image/17.jpg
Group of 3 women standing in garden with women on left and right in black dresses and woman in the middle in a white dress.	Norman Studio	No	none	Group portraits;Women--Portrait photographs	Gandy Sleeve Notes: none	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Thomas H. and Joan W. Gandy Photograph Collection	IRP	Glass plate negative<br>5.00 X 7.00	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Thomas H. and Joan W. Gandy Photograph Collection, Mss. 3778, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	37780403008a	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_TJP.php?CISOROOT=/LSU_TJP	Image		2005-11-17	2005-11-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_TJP/id/17	17	18.jpg	/LSU_TJP/image/18.jpg
Group of woman holding baby sitting on bench with child standing behind her on bench, all of color	Norman Studio	No	none	African Americans--Mississippi--Natchez--Portrait photographs;Group portraits	Gandy Sleeve Notes: Family - Col #12	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Thomas H. and Joan W. Gandy Photograph Collection	IRP	Glass plate negative<br>5.00 X 7.00	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Thomas H. and Joan W. Gandy Photograph Collection, Mss. 3778, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	37780403016a	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_TJP.php?CISOROOT=/LSU_TJP	Image		2005-11-17	2005-11-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_TJP/id/18	18	19.jpg	/LSU_TJP/image/19.jpg
Group of 3 women sitting in chairs in yard with side of house in background.	Norman Studio	No	none	Yards--Mississippi--Natchez--Photographs;Group portraits;Portrait photographs	Gandy Sleeve Notes: Group - Family - Home - Ext See Gr 127 (same house)	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Thomas H. and Joan W. Gandy Photograph Collection	IRP	Glass plate negative<br>5.00" x 8.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Thomas H. and Joan W. Gandy Photograph Collection, Mss. 3778, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	37780403024a	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_TJP.php?CISOROOT=/LSU_TJP	Image		2005-11-17	2005-11-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_TJP/id/19	19	20.jpg	/LSU_TJP/image/20.jpg
Group of man, woman, 3 young women, and 2 boys sitting on front steps of house with some holding food	Norman Studio	No	none	Porches--Mississippi--Natchez--Photographs;Group portraits;Portrait photographs	Gandy Sleeve Notes: Group - Family - Home - Ext Norman, Burdette #11-5 Etania	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Thomas H. and Joan W. Gandy Photograph Collection	IRP	Glass plate negative<br>5.00 X 7.00	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Thomas H. and Joan W. Gandy Photograph Collection, Mss. 3778, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	37780403028a	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_TJP.php?CISOROOT=/LSU_TJP	Image		2005-11-17	2005-11-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_TJP/id/20	20	21.jpg	/LSU_TJP/image/21.jpg
Family portrait with horse and servant.	Norman Studio	No	none	Porches--Mississippi--Natchez--Photographs;Group portraits;Portrait photographs	Gandy Sleeve Notes: Gandy sleeve notes: Group-Family-Home-Ext Boy on horse See SC-297-5X7-G for same house	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Thomas H. and Joan W. Gandy Photograph Collection	IRP	Glass plate negative<br>5.00 X 7.00	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Thomas H. and Joan W. Gandy Photograph Collection, Mss. 3778, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	37780403032a	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_TJP.php?CISOROOT=/LSU_TJP	Image		2005-11-17	2005-11-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_TJP/id/21	21	22.jpg	/LSU_TJP/image/22.jpg
Group of man and  woman standing of either side of a trees and girl standing in front of tree.	Norman Studio	No	none	Outdoor photography--Portrait photographs;Group portraits	Gandy Sleeve Notes: Group Family Home, Ext	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Thomas H. and Joan W. Gandy Photograph Collection	IRP	Glass plate negative<br>5.00" x 8.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Thomas H. and Joan W. Gandy Photograph Collection, Mss. 3778, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	37780403033a	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_TJP.php?CISOROOT=/LSU_TJP	Image		2005-11-17	2005-11-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_TJP/id/22	22	23.jpg	/LSU_TJP/image/23.jpg
Group of man standing behind woman with dog and girl standing beside her also with black man on left and white man on right of group in background in yard	Norman Studio	No	none	Back yards--Mississippi--Natchez--Photographs;Portrait photographs;Group portraits	Gandy Sleeve Notes: Group - Family - Home - Ext Yard #7-5	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Thomas H. and Joan W. Gandy Photograph Collection	IRP	Glass plate negative<br>5.00" x 8.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	Thomas H. and Joan W. Gandy Photograph Collection, Mss. 3778, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	37780403058a	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_TJP.php?CISOROOT=/LSU_TJP	Image		2005-11-17	2005-11-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_TJP/id/23	23	24.jpg	/LSU_TJP/image/24.jpg
