Title	Compound	Photographer	Date	Dates	Notes	Subjects	Type	Original Format/Size	Digital Format	Digital Collection	Repository	Repository Collection	Repository Collection Guide	Physical Description	Restrictions	Cite As	Contact and Ordering Information	Item Number	Item URL	Collection URL	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
No. 686. Sugar Sheds & Refinery		George Francois Mugnier	ca. 1885-1910		Glass negative view of dock, cargo, workers, and refinery in background.	New Orleans (La.)--Photographs;Docks--Louisiana--New Orleans--Photographs;Sugar--Manufacture and refining--Louisiana--New Orleans--Photographs;Mugnier, George François, 1855-1936.	Stereographs	Glass plate negative;5.00" x 8.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890011	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/10	10	11.jpg	/LSU_GFM/image/11.jpg
No. 231, Gay's Sugar Refinery.		George Francois Mugnier	ca. 1885-1910		Stereo glass negative view of refinery.	Gay's Sugar Refinery (New Orleans, La.)--Photographs;New Orleans (La.)--Photographs;Sugar--Manufacture and refining--Louisiana--New Orleans--Photographs;Mugnier, George François, 1855-1936.	Stereographs	Glass plate negative;5.00" x 8.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890012	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/11	11	12.jpg	/LSU_GFM/image/12.jpg
Old sugar House Lower Coast		George Francois Mugnier	ca. 1885-1910		Glass negative view of sugar house.	Sugar--Manufacture and refining--Louisiana--Photographs;Mugnier, George François, 1855-1936.	Stereographs	Glass plate negative;5.00" x 8.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890013	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/12	12	13.jpg	/LSU_GFM/image/13.jpg
No 518. Levee, Sugar Sheds, & Refinery.		George Francois Mugnier	ca. 1885-1910		Glass negative view of dock, cargo, carts, steamboats, and refinery.	New Orleans (La.)--Photographs;Docks--Louisiana--New Orleans--Photographs;Sugar--Manufacture and refining--Louisiana--New Orleans--Photographs;Carriages and carts--Louisiana--New Orleans--Photographs;Mugnier, George François, 1855-1936.	Stereographs	Glass plate negative;5.00" x 8.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890014	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/13	13	14.jpg	/LSU_GFM/image/14.jpg
No. 699: Italian Society Tomb, Old St. Louis Cem.		George Francois Mugnier	ca. 1885-1910		Glass negative view of cemetery tombs.	Italian Society Tomb (St. Louis Cemetery #1, New Orleans, La.)--Photographs;Tombs--Louisiana--New Orleans--Photographs;New Orleans (La.)--Photographs;Cemeteries--Louisiana--New Orleans--Photographs;St. Louis Cemetery #1 (New Orleans, La.)--Pho	Stereographs	Glass plate negative;5.00" x 8.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890015	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/14	14	15.jpg	/LSU_GFM/image/15.jpg
No. 541. Side Vaults, Girod Cem.		George Francois Mugnier	ca. 1885-1910		Glass plate negative view of Girod Street Cemetery wall vaults.	New Orleans (La.)--Photographs;Cemeteries--Louisiana--New Orleans--Photographs;Girod Street Cemetery (New Orleans, La.)--Photographs;Tombs--Louisiana--New Orleans--Photographs;Mugnier, George François, 1855-1936.	Stereographs	Glass plate negative;5.00" x 8.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890016	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/15	15	16.jpg	/LSU_GFM/image/16.jpg
St. Louis Cemetery #1		George Francois Mugnier	ca. 1885-1910		Glass negative stereo view of St. Louis Cemetery #1.	St. Louis Cemetery #1 (New Orleans, La.)--Photographs;Tombs--Louisiana--New Orleans--Photographs;New Orleans (La.)--Photographs;Cemeteries--Louisiana--New Orleans--Photographs;Mugnier, George François, 1855-1936.	Stereographs	Glass plate negative;5.00" x 8.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890017	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/16	16	17.jpg	/LSU_GFM/image/17.jpg
No. 156. Old Tomb, St. Louis Cemetery.		George Francois Mugnier	ca. 1885-1910		Glass negative stereo view of cemetery sepulcher.	New Orleans (La.)--Photographs;Cemeteries--Louisiana--New Orleans--Photographs;St. Louis Cemetery #1 (New Orleans, La.)--Photographs;Tombs--Louisiana--New Orleans--Photographs;Mugnier, George François, 1855-1936.	Stereographs	Glass plate negative;5.00" x 8.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890018	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/17	17	18.jpg	/LSU_GFM/image/18.jpg
No. 115. St. John's Church.		George Francois Mugnier	ca. 1885-1910		Glass negative stereo view of St. John's Church from streetfront.	New Orleans (La.)--Photographs;St. John's Church (New Orleans, La.)--Photographs;Church buildings--Louisiana--New Orleans--Photographs;Mugnier, George François, 1855-1936.	Stereographs	Glass plate negative;5.00" x 8.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890019	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/18	18	19.jpg	/LSU_GFM/image/19.jpg
No. 77. W. A. Armory & St. Charles Str.		George Francois Mugnier	ca. 1885-1910		Glass negative stereo view of Washington Armory building.	New Orleans (La.)--Photographs;Urban landscapes--Louisiana--New Orleans--Photographs;Washington Armory (New Orleans, La.)--Photographs;St. Charles Avenue (New Orleans, La.)--Photographs;Mugnier, George François, 1855-1936.	Stereographs	Glass plate negative;5.00" x 8.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890020	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/19	19	20.jpg	/LSU_GFM/image/20.jpg
No. 118. The Parish Prison.		George Francois Mugnier	ca. 1885-1910		Glass negative stereo view of the Parish Prison.	New Orleans (La.)--Photographs;Urban landscapes--Louisiana--New Orleans--Photographs;Parish Prison (New Orleans, La.)--Photographs;Mugnier, George François, 1855-1936.	Stereographs	Glass plate negative;5.00" x 8.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890021	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/20	20	21.jpg	/LSU_GFM/image/21.jpg
No. 107. The Southern Yacht Club, West End.		George Francois Mugnier	ca. 1885-1910		Glass negative stereo view of building at shore line.	New Orleans (La.)--Photographs;Southern Yacht Club (New Orleans, La.)--Photographs;Mugnier, George François, 1855-1936.	Stereographs	Glass plate negative;5.00" x 8.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890022	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/21	21	22.jpg	/LSU_GFM/image/22.jpg
No. 530. U. S. Mint, N. O. La.		George Francois Mugnier	ca. 1885-1910		Glass negative image of building on street side.	New Orleans (La.)--Photographs;United States Mint (New Orleans, La.)--Photographs;Mugnier, George François, 1855-1936.	Stereographs	Glass plate negative;5.00" x 8.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890023	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/22	22	23.jpg	/LSU_GFM/image/23.jpg
No. 84: Pickwick Club.		George Francois Mugnier	ca. 1885-1910		Glass negative stereo image of building.	Pickwick Club (New Orleans, La.)--Photographs;New Orleans (La.)--Photographs;Mugnier, George François, 1855-1936.	Stereographs	Glass plate negative;5.00" x 8.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890024	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/23	23	24.jpg	/LSU_GFM/image/24.jpg
No. 657. Birds-Eye View, Jackson Sqr. & River.		George Francois Mugnier	ca. 1885-1910		Glass plate negative view of Jackson Square, Mississippi River, and warehouses.	New Orleans (La.)--Photographs;Jackson Square (New Orleans, La.)--Photographs;Mississippi River--Photographs;Mugnier, George François, 1855-1936.	Stereographs	Glass plate negative;5.00" x 8.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890025	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/24	24	25.jpg	/LSU_GFM/image/25.jpg
No 166 The Gardens, La. Jockey Club		George Francois Mugnier	ca. 1885-1910		Glass negative stereo of garden and Louisiana Jockey Club.	New Orleans (La.)--Photographs;Louisiana Jockey Club (New Orleans, La.)--Photographs;Gardens--Louisiana--New Orleans;Mugnier, George François, 1855-1936.	Stereographs	Glass plate negative;5.00" x 8.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	10890026	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-06	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/25	25	26.jpg	/LSU_GFM/image/26.jpg
No. 424. Pere Antoine Date Palm.		George Francois Mugnier	ca. 1880-1910		Stereograph view of palm tree behind alley gate.	New Orleans (La.)--Photographs.;Vieux Carre (New Orleans, La.)--Photographs.	Stereographs	Albumen prints;4.00" x 7.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	17850001	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-10	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/26	26	27.jpg	/LSU_GFM/image/27.jpg
No. 275. Shrimping, Bayou Castaign.		George Francois Mugnier	ca. 1880-1910		Stereograph view of two men on a sand bar.	Bayou Castaign (La.)--Photographs.;Shrimp fisheries--Louisiana--Photographs.	Stereographs	Albumen prints;4.00" x 7.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	17850002	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-10	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/27	27	28.jpg	/LSU_GFM/image/28.jpg
Beauregard House.		George Francois Mugnier	ca. 1880-1910		Stereograph view of house on Chartres St.	New Orleans (La.)--Photographs.;Vieux Carre (New Orleans, La.)--Photographs.;Beauregard House (New Orleans, La.)--Photographs.	Stereographs	Albumen prints;4.00" x 7.00"	jpeg	George Francois Mugnier New Orleans Scenes	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	New Orleans scenes : Mugnier negatives and prints, circa 1885-1910, (Mss. 1089, 1552).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/n1089.htm		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George François Mugnier New Orleans Scenes, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	17850003	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_GFM.php?CISOROOT=/LSU_GFM;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_GFM	Image		2006-02-10	2008-04-04	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GFM/id/28	28	29.jpg	/LSU_GFM/image/29.jpg
