Title	Compound	Notes	Date	Photographer	Index Terms	Item Number	Collection Name	Digital Type	Digital Size	Original Type/Size	Rights	Collection Source	Source	Cite As	Contact and Ordering Information	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Earl Clarendon	No	none	unknown	J. Sartain, Engraver	Politicians--England--19th century--Pictorial works; Clarendon, George William Frederick Villiers, Earl of, 1800-1870--Pictorial works.	03490012	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/10	10	11.jpg	/SartainEngravings/image/11.jpg
Richard Cobden Esq. M.P.	No	none	unknown	Geo. E. Perine, Engraver	Politicians--England--19th century--Pictorial works.; Cobden, Richard, 1804-1865--Pictorial works.	03490013	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/11	11	12.jpg	/SartainEngravings/image/12.jpg
Congress of Vienna	No	Includes names of pictured individuals.	unknown	Geo. E. Perine, Engraver	Austria--History--19th century--Pictorial works.; Congress of Vienna (1814-1815)--Pictorial works.	03490014	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 3/8" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/12	12	13.jpg	/SartainEngravings/image/13.jpg
J. Fenimore Cooper  Engraved for The Eclectic Magazine.	No	none	unknown	John Sartain, Engraver	Authors, American--19th century--Pictorial works.; Cooper, James Fenimore, 1789-1851--Pictorial works.	03490015	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/13	13	14.jpg	/SartainEngravings/image/14.jpg
Cromwell Refusing the Crown of England . A.D. 1657	No	none	unknown	John Sartain, Engraver	England--History--17th century--Pictorial works.; Cromwell, Oliver, 1599-1658--Pictorial works.	03490016	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/14	14	15.jpg	/SartainEngravings/image/15.jpg
Benjamin D,Israeli	No	none	unknown	J. Sartain, Engraver	Politicians--England--19th century--Pictorial works.; Disraeli, Benjamin, Earl of Beaconsfield, 1804-1881--Pictorial works.	03490017	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 11 7/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/15	15	16.jpg	/SartainEngravings/image/16.jpg
The Earl of Elgin.  Her Majesty's Minister Plenipotentiary & Ambassador Extraordinary to China.  Late Governor General of Canada	No	none	unknown	John Sartain, Engraver	Diplomats--England--19th century--Pictorial works.; Bruce, James, Earl of Elgin, 1811-1863--Pictorial works.	03490018	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/16	16	17.jpg	/SartainEngravings/image/17.jpg
The English Reformers and Martyrs.  Bishop Ridley Burnt Octr 15th 1555.  Archbishop Cranmer Burnt March 21st 1556.  Bishop Latimer Burnt Octr 15th 1555.	No	none	unknown	John Sartain, Engraver	Reformation--England--Pictorial works.; England--Church history--16th century--Pictorial works.; Ridley, Bishop (Nicholas), 1500?-1555--Pictorial works.; Cranmer, Thomas, 1489-1556--Pictorial works.; Latimer, Hugh, 1485?-1555--Pictorial works.	03490019	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 11 7/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/17	17	18.jpg	/SartainEngravings/image/18.jpg
Eugenie Empress of France and Ladies of Her Court	No	Includes names of pictured individuals.	unknown	John Sartain, Engraver	France--History--19th century--Pictorial works.; Eugenie, Consort of Napoleon III, 1826-1920--Pictorial works.; Empresses--France--19th century--Pictorial works.	03490020	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 11 7/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/18	18	19.jpg	/SartainEngravings/image/19.jpg
J. Ericsson	No	none	unknown	Geo. E. Perine, Engraver	Engineers--19th century--Pictorial works.; Ericsson, John, 1803-1889--Pictorial works.	03490021	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 11 7/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/19	19	20.jpg	/SartainEngravings/image/20.jpg
Eugenie De Guzman, Comtesse De Teba, Empress of France	No	none	unknown	J. Sartain, Engraver	Empresses--France--19th century--Pictorial works.; Eugenie, Consort of Napoleon III, 1826-1920--Pictorial works.	03490022	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 11 7/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/20	20	21.jpg	/SartainEngravings/image/21.jpg
Genl. Giuseppe Garibaldi	No	none	unknown	John Sartain, Engraver	Generals--Italy--19th century--Pictorial works.; Garibaldi, Giuseppe, 1807-1882--Pictorial works.	03490023	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/21	21	22.jpg	/SartainEngravings/image/22.jpg
William Ewart Gladstone, M.P.	No	none	unknown	Perine & Giles, Engravers	Politicians--England--19th century--Pictorial works.; Gladstone, William Ewart, 1809-1898--Pictorial works.	03490024	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/22	22	23.jpg	/SartainEngravings/image/23.jpg
Goldsmith, Boswell and Johnson	No	none	unknown	Geo. E. Perine, Engraver	Authors, Scottish--18th century--Pictorial works.; Authors, English--18th century--Pictorial works.; Authors, Irish--18th century--Pictorial works.; Goldsmith, Oliver, 1730?-1774--Pictorial works.; Johnson, Samuel, 1709-1784--Pictorial works.; Boswell, James, 1740-1795--Pictorial works.	03490025	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/23	23	24.jpg	/SartainEngravings/image/24.jpg
Handel	No	none	unknown	J. Sartain, Engraver	Composers--Germany--18th century--Pictorial works; Handel, George Frideric, 1685-1759--Pictorial works	03490026	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/24	24	25.jpg	/SartainEngravings/image/25.jpg
Cen. Sir Henry Havelock, K. C. B.	No	none	unknown	John Sartain, Engraver	Generals--England--19th century--Pictorial works.; Havelock, Henry, Sir, 1795-1857--Pictorial works.	03490027	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/25	25	26.jpg	/SartainEngravings/image/26.jpg
Victor Hugo	No	none	unknown	J. Sartain, Engraver	Authors, French--19th century--Pictorial works.; Hugo, Victor, 1802-1885--Pictorial works.	03490028	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/26	26	27.jpg	/SartainEngravings/image/27.jpg
Washington Irving	No	none	unknown	John Sartain, Engraver	Authors, American--19th century--Pictorial works.; Irving, Washington, 1783-1859--Pictorial works.	03490029	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/27	27	28.jpg	/SartainEngravings/image/28.jpg
F Jeffrey	No	none	unknown	Sartain, Engraver	Critics--Scotland--19th century--Pictorial works.; Jeffrey, Francis Jeffrey, Lord, 1773-1850--Pictorial works.	03490030	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 3/8" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/28	28	29.jpg	/SartainEngravings/image/29.jpg
Douglas Jerrold	No	none	unknown	J. Sartain, Engraver	Authors, English--19th century--Pictorial works.; Journalists--England--19th century--Pictorial works.; Jerrold, Douglas William, 1803-1857--Pictorial works.	03490031	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/29	29	30.jpg	/SartainEngravings/image/30.jpg
Elisha Kent Kane, M.D.	No	none	unknown	J. Sartain, Engraver	Scientists--United States--19th century--Pictorial works.; Kane, Elisha Kent, 1820-1857--Pictorial works.	03490032	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/30	30	31.jpg	/SartainEngravings/image/31.jpg
Rev. Kingsley Author of "Alton Locke," & c.	No	none	unknown	Sartain, Engraver	Clergy--England--19th century--Pictorial works.; Authors, English--19th century--Pictorial works.; Kingsley, Charles, 1819-1875--Pictorial works.	03490033	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/31	31	32.jpg	/SartainEngravings/image/32.jpg
