Title	Interviewee	Interviewer	Date(s) of interview	Summary	Abstract	Listen to Interview	Read Transcript	Subjects (LCSH)	Digital Collection	Repository	Repository Collection	Physical Description	Item Location	Digital reproduction information	Call number/Tape number	Contact and Ordering Information	Restrictions	Cite As	Item URL	Collection URL	Cataloger	Cataloged date	Acquisition	Coverage	Publisher	Notes	Language	Original Format	Transcript with Sound	Format	To Order	Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Transcript Crump 205A																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2008-10-07	2008-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/79	79	26.pdf	/IBE/image/26.pdf
Maxine Crump oral history interview, 1992	Crump, Maxine, 1946-	Dean, Pamela, 1946-	1992-07-08; 1992-07-14	Crump discusses her family, her elementary school teachers and education, African-American Catholics, her family's response to segregation and the civil rights movement, her living in a dorm at LSU, her relationships with other students, racism and race relations on campus, the LSU Catholic community, and activism at LSU.	http://www.lib.lsu.edu/special/williams/abstracts/university/crump.htm			African American Catholics--Louisiana; Civil rights movements--Louisiana; African Americans--Civil Rights--Louisiana; African Americans--Segregation--Louisiana; Segregation in higher education--Louisiana--Baton Rouge--African American college students--Louisiana--Baton Rouge--Social life and customs--African American college students--Religious life--Louisiana--Baton Rouge; Dormitories--Louisiana--Baton Rouge; College students--Louisiana--Baton Rouge--Political activity	Integration and the African American Experience at LSU series	T. Harry Williams Center for Oral History, a division of Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special/williams/ )	University History series	4 sound cassettes (3.75 hours); Transcript (156 leaves)	LLMVC--L:4700.0117		L:4700.0117; tape 202-205	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries.  Copyright is retained by the interviewer in accordance with U.S. copyright laws.	Maxine Crump Oral History Interview, Mss. 4700.0117, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	http://www.lib.lsu.edu/special/williams/collections/university.html;    http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/IBE	Hans Rasmussen													2010-05-31	2010-05-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/80	80	27.cpd	/IBE/image/27.cpd
Hamilton Photo																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2008-10-28	2008-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/81	81	28.jpg	/IBE/image/28.jpg
Hamilton Tape 453A																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2008-10-28	2008-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/82	82	29.ram	/IBE/image/29.ram
Transcript Hamilton 453A																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2008-10-28	2008-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/83	83	30.pdf	/IBE/image/30.pdf
Hamilton Tape 453A-B																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2008-10-28	2008-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/84	84	31.ram	/IBE/image/31.ram
Transcript Hamilton 453B																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2008-10-28	2008-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/85	85	32.pdf	/IBE/image/32.pdf
Hamilton Tape 471A																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2008-10-28	2008-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/86	86	33.ram	/IBE/image/33.ram
Transcript Hamilton 471A																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2008-10-28	2008-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/87	87	34.pdf	/IBE/image/34.pdf
Hamilton Tape 471B																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2008-10-28	2008-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/88	88	35.ram	/IBE/image/35.ram
Transcript Hamilton 471B																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2008-10-28	2008-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/89	89	36.pdf	/IBE/image/36.pdf
Hamilton Tape 471B-472A																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2008-10-28	2008-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/90	90	37.ram	/IBE/image/37.ram
Transcript Hamilton 472A																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2008-10-28	2008-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/91	91	38.pdf	/IBE/image/38.pdf
Leo Hamilton oral history interview, 1993	Hamilton, Leo C., 1951-	Hebert, Mary J.	1993-08-21; 1993-09-11	Hamilton discusses his family, his segregated early education, his attendance at an integrated Robert E. Lee High School, race relations in Baton Rouge, the civil rights movement, activism among black students at LSU, the relationship between black students at LSU and Southern University, and his legal practice.	http://www.lib.lsu.edu/special/williams/abstracts/university/HAMILTON.htm			African American children--Education--Louisiana--Baton Rouge; Segregation in education--Louisiana--Baton Rouge; Discrimination in education--Louisiana--Baton Rouge; African American college students--Louisiana--Baton Rouge--Political activity; Civil rights movements--United States	Integration and the African American Experience at LSU series	T. Harry Williams Center for Oral History, a division of Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special/williams/ )	University History series	3 sound cassettes (3 hours); Transcript (138 leaves)	LLMVC--L:4700.0322		L:4700.0322; tape 453, tape 471, tape 472	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries.  Copyright is retained by the interviewer in accordance with U.S. copyright laws.	Leo C. Hamilton Oral History Interview, Mss. 4700.0322, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	http://www.lib.lsu.edu/special/williams/abstracts/university/HAMILTON.htm ; http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/IBE	Hans Rasmussen													2010-05-31	2010-05-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/92	92	39.cpd	/IBE/image/39.cpd
375b_Tureaud Audio Side A																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2009-08-18	2009-08-18	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/94	94	41.rm	/IBE/image/41.rm
375c_Tureaud Transcript Side B																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2009-08-18	2009-08-18	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/95	95	42.pdf	/IBE/image/42.pdf
375d_Tureaud Audio Side B																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2009-08-18	2009-08-18	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/96	96	43.rm	/IBE/image/43.rm
Alexander P. Tureaud Jr. oral history interview, 1993	Tureaud, Alexander Pierre, Jr.	Emanual-Wallace, Racheal	1993-04-25	Tureaud looks back and discusses his experiences as the first black student to be enrolled in the undergraduate program at Louisiana State University in Baton Rouge, La. in 1953.				Civil rights movements--Louisiana State University (Baton Rouge, La.); Blacks--Segregation--Louisiana State University (Baton Rouge, La.); Louisiana State University (Baton Rouge, La.); Students, Black--Louisiana State University (Baton Rouge, La.); Xavier University of Louisiana; Class actions (Civil procedure)--Louisiana; Students, Foreign--Louisiana State University (Baton Rouge, La.); Tutors and tutoring; Campus violence; Social isolation; Perez, Leander, 1891-1969; Morial, Ernest N.; College student newspapers and periodicals--Louisiana State University (Baton Rouge, La.); Afro-Americans--Periodicals; Racially mixed people--New Orleans (La.); Tureaud, Alexander Pierre, 1899-1972; Johnson Publishing Company (Chicago, Ill.)	Integration and the Black Experience at LSU	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	University History series	2 sound cassettes; Transcript (28 leaves)	LLMVC--L:4700.0245		L:4700.0245; tape 375	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Alexander P. Tureaud, Jr. Oral History Interview, Mss. 4700.0245, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on navigation bars.	http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/IBE							en	Audiocassettes						2010-05-31	2010-05-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/97	97	44.cpd	/IBE/image/44.cpd
side a																E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.																		2009-08-19	2009-08-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/IBE/id/104	104	51.pdf	/IBE/image/51.pdf
