Title	Series	Photographer	Date	Description of Original	Notes	Type	Subjects	Digital Collection	Repository	Shelving Location	Cite As	Restrictions	Contact and Ordering Information	Item URL	Collection URL	Digital Reproduction Information	Image ID (from Finding Aid)	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Fire company on parade, LSU Campus parade grounds, Baton Rouge.	Firemen	Lytle, Andrew David, 1834-1917.	1900?	Photograph : albumen print	'On occasion, Lytle Studio would create large-scale images such as this wide view of the old campus LSU parade grounds with four different fire companies and some of their equipment. What appears to be a review stand has been assembled in the background, ca. 1900.'   Mark E. Martin, in Andrew D. Lytle’s Baton Rouge: photographs 1863-1910, (Baton Rouge, LSU Press, 2008), p. 68.	Still image	Fire fighters--Louisiana--Baton Rouge--Photographs; Fire departments--Equipment and supplies--Louisiana--Baton Rouge--Photographs; Louisiana State University and Agricultural and Mechanical College--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-155		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/473	473	474.jp2	/p15140coll12/image/474.jp2
Confederate monument, North Boulevard & Third Street, with Confederate veterans, Baton Rouge.	Baton Rouge	Lytle, Andrew David, 1834-1917.	1886?	Photograph : albumen print	See "Elks' Souvenir of Bton Rouge," page 23, image 3.	Still image	United States--History--Civil War, 1861-1865--Monuments--Photographs; Soldiers' monuments--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-156		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/474	474	475.jp2	/p15140coll12/image/475.jp2
Parade float in front of Washington Number Company No. 1, in front of their fire station on Church Street between Laurel and Main Streets, Baton Rouge.	Firemen	Lytle, Andrew David, 1834-1917.	1891? - 1910?	Photograph : albumen print		Still image	Washington Fire Company No. 1 (Baton Rouge, La.)--Photographs; Parade floats--Louisiana--Baton Rouge--Photographs; Children--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-157		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/475	475	476.jp2	/p15140coll12/image/476.jp2
Farm buildings with large smokestack and windmill behind picket fence.	Plantations	Lytle, Andrew David, 1834-1917.	1891? - 1910?	Photograph : albumen print		Still Image	Farm buildings--Louisiana--Photographs; Chimneys--Louisiana--Photographs; Windmills--Louisiana--Photographs; Wooden fences--Louisiana--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-158		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/476	476	477.jp2	/p15140coll12/image/477.jp2
Electric street car on Lafayette Street between Third and Convention Streets, Baton Rouge.	Baton Rouge	Lytle, Andrew David, 1834-1917.	1898?	Photograph : albumen print	'Baton Rouge rebuilt after the War. Though never as wealthy as before the war, the city did regain its status as the capital of the state, business did return, and crops were planted and harvested. The population grew very slowly to a little over 6,100 in 1870. By the 1880s, Baton Rouge was a small but sometimes busy town. The Baton Rouge City Council authorized creation of a waterworks in late 1887. Lytle or his son placed his camera on Lafayette Street just below Convention Street to take this picture. The State Capitol, with its cast-iron turrets, looms in the background' – Mark E. Martin, in Andrew D. Lytle's Baton Rouge: photographs 1863-1910, (Baton Rouge, LSU Press, 2008), p. 13.	Still image	Old State Capitol (Baton Rouge, La.)--Photographs; Street-railroads--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-159		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/477	477	478.jp2	/p15140coll12/image/478.jp2
Unidentified man posing on batture by a sloop with stern wheel paddle boat pushing a log raft in the background.	Baton Rouge	Lytle, Andrew David, 1834-1917.	1890? - 1900?	Photograph : albumen print	'Given the role of the Mississippi River as the nation's highway, the riverfront accommodated a wide range of watercraft from cargo hauling steamships to personal sailboats. The owner of the sailboat poses for a portrait while a pushboat guides a raft of logs downstream' – Mark E. Martin, in Andrew D. Lytle's Baton Rouge: photographs 1863-1910, (Baton Rouge, LSU Press, 2008), p. 117.	Still image	Sailboats--Mississippi River--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-160		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/478	478	479.jp2	/p15140coll12/image/479.jp2
Schooner 'Fanny Arthur' moored at a pier in Baton Rouge.	Sailing ships	Lytle, Andrew David, 1834-1917.	1890?-1910?	Photograph : albumen print		Still Image	Fanny Arthur (Schooner)--Photographs.; Sailing ships--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-161		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/479	479	480.jp2	/p15140coll12/image/480.jp2
Tenant farmers' houses and gardens.	Plantations	Lytle, Andrew David, 1834-1917.	1899?	Photograph : albumen print	'Following the Civil War, slavery was replaced by tenant farming. This group of homes on an unidentified plantation may have been tenant housing, ca. 1895' – Mark E. Martin, in Andrew D. Lytle's Baton Rouge: photographs 1863-1910, (Baton Rouge, LSU Press, 2008), p. 102.	Still Image	Farm tenancy--Louisiana--Photographs; Farmhouses--Louisiana--Photographs; Kitchen gardens--Louisiana--Photographs; Tenant farmers--Housing--Louisiana--Photographs; Wagons--Louisiana--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-162		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/480	480	481.jp2	/p15140coll12/image/481.jp2
Another unidentifed United States Army officer.	Civil War	Lytle, Andrew David, 1834-1917.	1863? - 1865?	Photograph : albumen print	'Lytle kept busy during the Civil War creating portraits for Federal soldiers and sailors in Baton Rouge. This is an excellent example of his work from that period' – Mark E. Martin, in Andrew D. Lytle's Baton Rouge: photographs 1863-1910, (Baton Rouge, LSU Press, 2008), p. 81.	Still image	United States--History--Civil War, 1861-1865--Photographs.; United States. Army--Officers--Portraits.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-163		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/481	481	482.jp2	/p15140coll12/image/482.jp2
United States Army unit in front of the Pentagon Barracks.	Civil War	Lytle, Andrew David, 1834-1917.	1863?-1865?	Photograph : albumen print	On the garrison grounds.	Still Image	United States. Army--Barracks and quarters--Photographs.; Baton Rouge Arsenal (Louisiana)--Photographs.; Baton Rouge (La.)--History--Civil War, 1861-1865--Photographs.; U.S. Army Garrison (Baton Rouge, La.)--Photographs; U.S. Army Garrison (Baton Rouge, La.)--Photographs;	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-164		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/482	482	483.jp2	/p15140coll12/image/483.jp2
Rural scene of roadway between fallow fields.	Landscapes	Lytle, Andrew David, 1834-1917.	1900?	Photograph : albumen print		Still Image	Agriculture--Louisiana--Photographs.; Landscape photography--Louisiana.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-165		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/483	483	484.jp2	/p15140coll12/image/484.jp2
United States Navy officers pose for a group portrait while on station off Baton Rouge, LA.	Civil War	Lytle, Andrew David, 1834-1917.	1863?-1865?	Photograph : albumen print	'Federal naval officers seated for a group portrait, ca. 1862.'   Mark E. Martin, in Andrew D. Lytle’s Baton Rouge: photographs 1863-1910, (Baton Rouge, LSU Press, 2008), p. 7.	Still image	United States. Navy--Officers--Photographs; Baton Rouge (La.)--History--Civil War, 1861-1865--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-166		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/484	484	485.jp2	/p15140coll12/image/485.jp2
Washington Fire Company No. 3 hose wagon in front of their fire house.	Firemen	Lytle, Andrew David, 1834-1917.	1885?-1905?	Photograph : albumen print		Still image	Washington Fire Company No. 3 (Baton Rouge, La.)--Photographs.; Fire departments--Equipment and supplies--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-167		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/485	485	486.jp2	/p15140coll12/image/486.jp2
Loading logs on railcars for transport to the mill.	Logging	Lytle, Andrew David, 1834-1917.	1900?	Photograph : albumen print	See a similar image in "Elk's Souvenir of Baton Rouge," page 34, bottom.	Still Image	Loggers--Louisiana--Photographs.; Logging railroads--Louisiana--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-168		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/486	486	487.jp2	/p15140coll12/image/487.jp2
An unidentifed United States Navy gunboat off Baton Rouge.	Civil War	Lytle, Andrew David, 1834-1917.	1863?-1865?	Photograph : albumen print		Still Image	Baton Rouge (La.)--History--Civil War, 1861-1865--Photographs.; Armored vessels--Louisiana--Baton Rouge--Photographs; Gunboats--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-169		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/487	487	488.jp2	/p15140coll12/image/488.jp2
Louisiana State University Parade GroundsBaton Rouge. La., about 1884-1924.	LSU	Lytle, Andrew David, 1834-1917.	1884?-1915?	Photograph : albumen print		Still Image	Louisiana State University and Agricultural and Mechanical College--Photographs; College campuses--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-170		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/488	488	489.jp2	/p15140coll12/image/489.jp2
North Boulevard looking east, Baton Rouge.	Baton Rouge	Lytle, Andrew David, 1834-1917.	1885?-1910?	Photograph : albumen print	See "Elks' Souvenir of Baton Rouge," page 40, image 2.	Still Image	North Boulevard (Baton Rouge, La.)--Photographs.; Streets--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-171		2013-10-07	2014-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/489	489	490.jp2	/p15140coll12/image/490.jp2
Bridges & West cotton gin.	Cotton	Lytle, Andrew David, 1834-1917.	1895?-1910?	Photograph : albumen print		Still Image	Cotton gins and ginning--Louisiana--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-172		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/490	490	491.jp2	/p15140coll12/image/491.jp2
