Title	Subject	Author	Date Written	Date on Item	Location	Type	Language	Author's Profession or Status	Rights	Item Number	Cite As	Source	Repository Collection	Repository	Transcription	Contact and Ordering Information	Restrictions	Item URL	Collection URL	Publisher	Contributors	Description	Notes	Format	Identifier	Relation	Coverage-Temporal	Cataloger	Cataloged Date	Viewer Information	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
024407181793e_Transcript	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/15	15	16.pdf	/p15140coll6/image/16.pdf
Antoine-Laurent Lavoisier letter, 1793 July 18	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803	Lavoisier, Antoine Laurent, 1743-1794.	1793-07-18	18 juillet 1793	Paris	lettre	fr	chimiste		024407181793	Joseph Lankanal Papers, Mss. 244, 1312, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	# 244,1312 CD8 02440015	Joseph Lakanal papers, 1793-1834.	Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/16	16	17.cpd	/p15140coll6/image/17.cpd
Page 1	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/17	17	18.jp2	/p15140coll6/image/18.jp2
Page 2	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/18	18	19.jp2	/p15140coll6/image/19.jp2
Page 3	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/19	19	20.jp2	/p15140coll6/image/20.jp2
Page 4	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/20	20	21.jp2	/p15140coll6/image/21.jp2
024407211793e_Transcript	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/21	21	22.pdf	/p15140coll6/image/22.pdf
Antoine-Laurent Lavoisier letter, 1793 July 21	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803	Lavoisier, Antoine Laurent, 1743-1794.	1793-07-21	21 juillet 1793	Paris	lettre	fr	chimiste		024407211793	Joseph Lankanal Papers, Mss. 244, 1312, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	# 244,1312 CD8 02440026	Joseph Lakanal papers, 1793-1834.	Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/22	22	23.cpd	/p15140coll6/image/23.cpd
Page 3	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/25	25	26.jp2	/p15140coll6/image/26.jp2
000006051793d_Transcript	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/26	26	27.pdf	/p15140coll6/image/27.pdf
Antoine-Laurent Lavoisier letter, 1793 June 5	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803	Lavoisier, Antoine Laurent, 1743-1794.	1793-06-05	5 juin 1793. l'an 2e de la république fse	Paris	lettre	fr	trésorier de l'Acad. Des Sciences		000006051793			TULANE 742 Lakanal, Joseph coll. Box.1 f.1	Tulane University, Louisiana Research Collection	See transcript link on the left navigation bar.	E-mail larc@tulane.edu with questions or comments. See instructions for ordering reprints of this item here: http://larc.tulane.edu/patron/copying.  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the Tulane University's Special Collections Library. Copyright is retained in accordance with U. S. copyright laws.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2010-10-28	2010-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/27	27	28.cpd	/p15140coll6/image/28.cpd
000009011793c_Transcript	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/30	30	31.pdf	/p15140coll6/image/31.pdf
Antoine-Laurent Lavoisier letter, 1793 Sept. 1	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803	Lavoisier, Antoine Laurent, 1743-1794.	1793-09-01	1er 7bre 1793 l'an 2e de la republique	Paris	lettre	fr			000009011793			TULANE 742 Lakanal, Joseph coll. Box.1 f.1	Tulane University, Louisiana Research Collection	See transcript link on the left navigation bar.	E-mail larc@tulane.edu with questions or comments. See instructions for ordering reprints of this item here: http://larc.tulane.edu/patron/copying.  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the Tulane University's Special Collections Library. Copyright is retained in accordance with U. S. copyright laws.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2010-10-28	2010-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/31	31	32.cpd	/p15140coll6/image/32.cpd
Page 1	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/32	32	33.jp2	/p15140coll6/image/33.jp2
Page 2	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/33	33	34.jp2	/p15140coll6/image/34.jp2
Page 3	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/34	34	35.jp2	/p15140coll6/image/35.jp2
Page 4	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/35	35	36.jp2	/p15140coll6/image/36.jp2
Page 5	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/36	36	37.jp2	/p15140coll6/image/37.jp2
