Title	Author	Author's location	Author's profession	Author's social class	Author's gender	Author's birthplace	Date written	Language	Letter type	Transcription	Subject	Digital Collection	Repository	Repository Collection	Physical location	Original Type/format	Description	Digital reproduction information	Item number	Contact and Ordering Information	Restrictions	Cite as	Item URL	Collection URL	Cataloger	Cataloged date	Full Text	Type	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Page_9										See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collection (LLMCV)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cff <br>http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF			F 18  se? contraïté, ne chérche pa? à te lencé dan? de grande af-  faire, croyant de faire fortune plu? vite, souvént l’on court  après un nombre trompeu?e, et lai??ent d’erriés soié le vrai?  bonheur, faute de le connaître, celui qui est con?tant, et qui  va? doucemént, finié par allér à pa? de géant, t’en di?e  que celui qui veut aller trop vite, est expo?ér trè? souvént dan?  ?a cour?e rapide à ?e hertér contre une pière, et ?e ca??er  le coux.  Nentrepént pa? plu? que te? moyén? te le pérment, crain  le? détte?, ce ?ont trè? souvent des affaire? ruineu?e?, pour reparer  une breche, il en faut faire d’autré?, il est incroyable avec qu’elle  rapidité le peloton ce forme, le première faux pa? nécé??ite  une chute. Pour connaitre le prix de l’argant, il faut être  obligé d’en emprinté, de devoir.  Ne ?ért jamais non jamais de costion à pér?onne aux  monde, éxcepté que tu soi? bien cérteint que celui à qui tu  sérvira?, pui??e faire face à sa dête diferentmènt, fait attention  de rien en faire, et toi fait en sorte d’eviter de demander ce  que tu ne voudroi? pas que l’on te demande, fui? autant que  po??ible les proce?, fait crédit qu’a ceux qui pourron? te péyer,  péye te? dête? lorsque tu en aura?.  La mort mon cher fil? change bien souvént le?  cho?e?, ne fait j’amai? aucune ?ociété quelque conque?, san?  pa??er un acte? de société signer devant deux témoin, ne te  fi? pa? à la parole de pér?onne, au-momént de la di??o-  lution, tu aura? quelque? difficulté, et comme je te di? tu  9 				2008-07-30	2008-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/664	664	665.jpg		/LSU_CFF/image/665.jpg
Page_10										See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collection (LLMCV)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cff <br>http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF			F 18  n’en aura? jamai?, croi? moi néglige pa? cela. Mai? toujour?  toute tes? affaire? en génerale? en règle, et tout en écrit? quand  bien même ce serai pour un ?ou?, un loup ne mangera j’a-  mai? un autre? loup, mai? souvent le? homme? se mangent  le? un?, le? autre?, cela pour accumulé énta??er, il n’en trou-  ve jamais a??ez, je le ?ais par moi, et comme dit le provér-  ble chat échaudé craint l’eau froide.  Je ne te di? pa? pour cela qu’il ne fait pa? bon d’avoir  de la fortune mai? il faut ?e borner en tout, ne pa? pén-  ?ér non plus qu’a travailliér pour anta??ér, et toujour?  anta??er, la fortune est une cho?e? très changeleu?e, il faut  de bonne heur pén?er à ?e méttre une partit de ?on bien  en ?urter, comme dan? de? bien? font, cela ne ce pért ja-  mai? quelque cho?e qui pui??e arriver. Fait en sorte de  devenir indépendant.  Car l’on s’accoutume bien vite aux bonheur, l’on ne  le connoit bien que lor?que l’on le pért, surtout lor?que  l’on à de la famille?, l’on ne vit plu? alor? pour soié seule,  il faut donc préndre de? moyen? sur pour méttre son  bien à l’abri de? malheur? pour sa tranquillite. Oui  mon fil? la tranquillité de l’é?prit est une grande cho?e?,  si tu sui? me? con?eille?, et que tu épou?e une femme  digne de toi, tu sera? le plus heureux de? mortél?.  Se marier mon fil? ce n’est pa? dificile, tout le mon-  de ?e marie pauvre comme riche, ne croi? pa? pour ?e  marié qu’il ?agit de dire, je vai? me marier, et ?’amou-  10 				2008-07-30	2008-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/665	665	666.jpg		/LSU_CFF/image/666.jpg
Page_11										See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collection (LLMCV)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cff <br>http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF			F 18  raché de la première belle pér?onne que l’on voit non ; ce  n’est pas cela le mariage demande plu? de réfléx?ion que  tu y pénce. Avant de te mariér, il faut avoir le? moyen?  d’entretenir une famille bien faire? te? affaire? avoir un chez  toi, il vaut mieux un petit chez soié, qu’un palai? chez le?  autre?. Et alor? tu fait ton choix d’une demoi?élles? d’une bonne  famille qui ne soit pa? maladiffe, qu’elle ait une bonne  éducation, qu’elle ?oié modé?te, bonne sén?ible, et d’égalle hu-  meur, qu’elle soié parfaitemént bien élevé, Voilà la pre-  mière riche??e d’une demoi?elle, et une femme capable lor?-  qu’elle sera mère donné le? première? principe? à se? énfant?,  l’éducation de l’homme doit commencer de? son berceaux,  ne croi? pa? que d’avoir de? énfant?, et de dire, ba? tout  cela leur pa??era? lor?qu’ils iront aux colèges, et aux cou-  vént? ! non….. non….. nom mom fil?, ce qui s’ap-  prant aux berceaux ne s’oublié j’amai?. Eléve te? énfant?  comme je t’ai éleve, il faut de bonne heur ployer leur car-  ractère à l’obéi??ance, l’avantage de la docilité sont immen-  ses chez les énfant?, cela les prépare? à un avenir heureux, ne  leur promet j’amai? rien si tu ne peu? leur tenir parole,  lor?que tu leur dira? non, que cela soit non, et lor?que  tu leur prométera quelque cho?e? tu doit faire de même,  il n’ya rien de plus m’auvai? que de trompé un én-  fant, il sabitu peux à peu à cela, de manière qu’il croit  pouvoir en faire autant aux autre?.  Eléve tes ènfant? pour eux, et non pour toi, tu peut  11 				2008-07-30	2008-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/666	666	667.jpg		/LSU_CFF/image/667.jpg
Page_12										See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collection (LLMCV)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cff <br>http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF			F 18  te faire aimé, et ré?pécter deux, qu’il soit avec toi comme  un ami, qu’il méttre en toi toute leur confiance, qu’il te  parle san? gène, et ?an? détour, que te? moralle? soié de même,  cela fait beaucoup plu? d’éffet sur une pér?onne, tu doi?  ?’avoir cela par toi-même, que ce n’est qu’avec douceur que  tu a été élevé, que cela ne ma pa? émpécher d’étre stri-  te lorsque le qu’a l’exgigoit, ain?i fait de même pour  le? tien?, le? fille? comme les garçon?, il ont tout autant be [rature]  soin le? un?, comme le? autre? que l’on véille? à leur ca-  ractère, leur éducation, ainsi qu’a leur con?titution il y  a des énfant? d’un témperamant très délicat, et d’autre trè?  precoce, ceux la ?ont très suget à avoir de? difformité, regarde  ?ouvent leur épaule?, si tu t’apercoit qu’il y en ait un, un  peut plu? gro??e l’une que l’autre, tu doi? faire voir cela de  suite à un bon medecin. Ne lé??e pa? te? fille? apporter de?  corét? jusqu'à ?e qu’elle soié formée, lé??e agire la nature,  n’en fait pa? de? papiér maché, le monde est comme une plan-  te ; prént deux jeune? abri??eaux, lié? un con?tenmént, et voit  la differance de celui que tu aura? lié?, il serat délicat, j’au-  ne bo??ué, petit, laid, et l’autre sera vért droit de toute-  beauté, souvént le témpéramant de? pér?onne?, dépéndent  de la manière de le? élevé?, jéneralemént le? énfant? que l’on  voit élevé délicatement, sont les plu? maladif.  Que la parure de te? énfant? soit décent, simple, et trè? u-  nié, lor?qu’il? seront en pén?ion qu’il ait de? pipitre? pour qu’il  ne se tienne pa? courbé, il? pourrait devenir bo??ué, vois toi-mê-  12 				2008-07-30	2008-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/667	667	668.jpg		/LSU_CFF/image/668.jpg
Page_13										See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collection (LLMCV)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cff <br>http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF			F 18  me voir les pén?ion?, couvent?, ou college?, la ou tu doit placer te?  énfant soie? trè? attentif? sur le choix de? instituteur?, insti-  tutrice?, et gardienne de te? énfant, fait en sorte, d’éngage une  bonne fémme, car les dome?tique? sont les premier? instituteur?  de l’énfance, et pre?que toujours de? in?titrice? dangereux.  Conduit? le? toi-même, et va? les voir aumoin une foi l’an?,  il n’y a pa? d’affaire aux monde qui doit émpéché un père  de faire cela.  Lorsque te? énfant? auron? fini? leur éducation, tu doi?  montré à te? fil? le? mai?on? qu’il? doivent fréquenté, et le?  demoi?elle? ne le? le??e? aller dan? aucun lieux de divérti??e-  mént san? leur mère, ou toi, un jeune homme très aimable,  qui ne te conviendroi? pa?, soié par sa conduite, ses défaut?,  ou sa famille?, peut en voyant ta fille en devenir amou-  reux, et se faire aime d’elle ; mai? l’oeil d’un père, et d’une  mère sont si claire voyant, qu’il saper?oivent de cela, et peu-  ve méttre fin à la cho?e de suite, la femme est une être  si faible, si à plaindre que l’on ne doit pa? le? sacrifiér.  Récommande à te? fille? de ne jamai? recevoir, ni billet, ni  rien autre? cho?e? d’un jeune homme, san? t’en faire  part ainsi qu’a leur mère auparavant, il y a des hom-  me? hardi lor?qu’il? voyent que le père, et la mère s’é-  loigne deux, aiment ta fille chèrche à lui écrire, ou lui  faire parler.  Donne te? fille? qu’a des homme? appartenant à une  bonne famille, que tu soi? bien sure qu’il n’ye pa? de?  13 				2008-07-30	2008-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/668	668	669.jpg		/LSU_CFF/image/669.jpg
Page_14										See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collection (LLMCV)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cff <br>http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF			F 18  défaut?, qu’il ait une bonne conduite, qu’il ne ?oit ni pou?-  seux, ni dépén?ier qu’il ?oit stable dan? un éndroit, tant  qu’aux autre? défaut, je ne t’en dit rien. Prent y garde  les homme? sont trompeur, ils savent parfaitement ?e con-  trefaire, et cacher leur? défaut?, il vaut mieux gardér te? en  fant? près de toi, si il? ne doivent pa? être heureux.  Si un jeune homme fréquénte ta mai?on, avec a??iduité,  n’attant pa? le? dérnier momént, si il ne te convient pour  prandre les moyén? qu’il pui??e sapér?evoir, sans lui faire  aucune gro??ièreté, que se? visite? lui son san? succe?.  Que te? fille? sorte le moin? po??ible san? leur mère  pour le? accompagner, elle ne peuvént être nulle part mieux  qu’avec elle, et les garçon avec toi pour mieux surveiller à leur  conduite, tout le? caractère? ne ?e re?emble pas, il y en a qui ont  be?oin plu? ou moin d’être surveiller.  Eléve tes éfant? comme je t’ai éleve donne leur le? même  con?eille? à tou?, soi? pér?uadé que l’on trouve se? énfant? se-  lon comme l’on l’ai à éleve.  Tant qu’aux bonheur de ta fémme, je n’en  sui? pas inquiet, avec le caractère que je te connoi?, je ?ui?  pérsuadé qu’elle seras heureu?e, ne te lé??e pa? comme il y  a de? mari?, amené par le bout du néz, cela est abomina-  ble, l’on peut aimer une fémme, être complai?ant, avoir de?  égard pour elle, et la rendre heureu?e de toute? le? manière?  mai? non pa? ?e lé??er conduire comme un Valet de caro  l’homme doit être homme, et non une omelette.  14 				2008-07-30	2008-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/669	669	670.jpg		/LSU_CFF/image/670.jpg
Page_15										See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collection (LLMCV)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cff <br>http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF			F 18  Que Dieu veuille que tu fa??e? le choix d’une fémme  télle que je te la dé?ire, elle aura a??ez de jugement, et  d’é?prit, pour faire ton bonheur l’ornemént de ta mai?on,  et le modèle de pérfection de te? énfant?.  Consérve la ?anté de ta chère moitié, la santé est la  cho?e? du monde la plus pre?ieu??e, les femme? ont de? tém-  peramant bien délicate, elle ont be?oin de beaucoup de ?oin,  et ne pa? comméttre aucune inprudance pour ne pa? dé [rature]  ranger leur santé, qui bien souvént ne ?e remét plu?, si ta  fémme vient à faire de? énfant?, ne con?ént pas à prandre  toute se? sage? fémme?, éxcepter que tu te trouvént dan? un  lieu à ne pouvoir pa? faire autremént, prént un bon ac-  coucheur, et une femme capable d’avoir soin de l’enfant  pour que ta fémme soié plus tranquille, ne la lé??e  pa? ?e levé qu’aprè? neuf ou dix jour?, qu’elle ne ?e nour-  rice de bi?cuit du pain, du lait, de la voyaille roti, tout  en petite cantité, ju?qu'à que la fièvre de lait lui soié  passér. Le? troi? car de? fémme? sont ?ouvént malade toute  leur vié, faute de s’avoir ?e conduire, et par des inpru-  dance? qu’elle comméttre. Que la mère nourrice elle- même  ?e? énfant?, si elle est d’un témperamant délicat, elle doit  le? nourir de soupe, peut de lait cela n’est pas forti-  fiant. Point de viandre jusqu'à ?e qu’il? aient toute?  leur dant?, fait bien attén?ion à la nourriture de te?  ènfant?, cela fera beaucoup pour leur témperamant.  Toi mon fil? soie pér?uadé, que la plu? grande  15 				2008-07-30	2008-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/670	670	671.jpg		/LSU_CFF/image/671.jpg
Page_16										See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collection (LLMCV)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cff <br>http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF			16  F 18  partie de? incommodité? de la vielle? ne vient ordinai-  remént que du mauvai? u?age qu’on fait de sa jeune??e.  Que Dieu veuille que tout le bonheur qui  m’a été re?ervé regaili??e sur toi, et ta famille, et que  tu con?érve, et fa??e pro?père le bien que je te le??e  ce ?ont la me? veux ?incère.  Recoié mon cher fil? le? dérnière?  ?entimé? de mon coeur, je t’aime, je te le dit pour  la dernière foi.  Ta sincère mère  Suzette Huppé 				2008-07-30	2008-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/671	671	672.jpg		/LSU_CFF/image/672.jpg
Page_1										See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collection (LLMCV)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cff <br>http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF			F 13  A Monsieur Don martin Duralde  Capitaine de milice, et Commandant civil,  & Militaire des opeloussas  Suzanne moreau veuve de don _____  Donato Bello lieutenant d’infenterie et _____  adjudant major des milices de Ceposte ?e  Présente par devant vous avec tous le respect  qu’il vous est due ; Disent que mon négre  françois qui est mort le 8 de fevrier dernier auroit  acheyté, du mulatre george Bolard ?onparin,  il y a aux environ douze ans une pouliche  Pour des cochons, la quelle depuis ce temps ____  a eu plusieurs [Ecrins/Ecroix ?], les quels portent la  marque a L’enver du dit george ?ure Lépaul,  a la réserve d’une de ?es ?uivantes que le  ?usdit negre a fait marquer de létampe du fils  de marie glaude, vue que la marque de ?onparin  ne ?e trouvoit pas chez lui pour ?’en ?ervire  Comme ils etoient convenues ? est-il vraisemblable  que ?y ?es betes chavalinnes eussent appartenus  a george, comme il veut me le faire croire, qu’il  auroit ?ouffert que mon negre eut fait marquer  Cette Bette a une marque étrangere, sans ____  Venir me porter plainte, ou sans avoir _____  prie des mésures pour faire Contremarquer  Cette animal.  1 				2008-08-01	2008-08-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/674	674	675.jpg		/LSU_CFF/image/675.jpg
Page_2										See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collection (LLMCV)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cff <br>http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF			F 13  ?y ?es zanimaux eussent réellement appartenûs  a george, il n’auroit pas Eu laprécaution de marquer  Cette Pouliche a lórs, et les [Ecrins/Ecroix ?]qui provienne d’elle  de ?a marque a L’enver sur Lépaul, L’ors quils  ?ont les ?euls Bettes chavalines, a cette marque  marqué de cette façon ? george a Busse de la  Confiance qu’a eu ce negre en luy comme étant  ?onparin, et pour ce mettre a la brie des –  ordonnances qui du tems de monsieur le chevalier  Déclouet, de même qu’a présent défendoient _____  Expréssement que les esclaves eussent des propriétés,  La délicatesse de mon Epoux a faitte que ces Bettes  neportent pas mon Etampe.  D’ailleur il est a la connaissance de plusieurs  Personnes que mon negre a vendue il y a deux  ans une [écrinx/écroix ?] de cette jument a un irlandois  nommé Patrik pour un vaire de vin,  et une pièce de nanquin ?ans que le dit george  ?e ?oit oppossé ; en outre monsieur je désirais  que vous fassiez Comparoitre [Bte tisons] ____  a fin qu’il vous déclare ?ous ?erment ?i il est  Bien vrai que mon negre etoit maittre devendre  Les chevaux provenant d’une jument connu ?ous  Le nom de ginigrine ; ?i cela ne ?uffit pas  Pour Convaincre le ?usdit george je luy ____  Prouverez qu’il a lui même acheyté de mon  negre un cheval tordille, [écrinx/écroix ?] de cette ____  jument ?y dessus désigné, pour le prix de  trente piastres, ?ur Les quels il a donné a  2 				2008-08-01	2008-08-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/675	675	676.jpg		/LSU_CFF/image/676.jpg
Page_3										See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collection (LLMCV)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cff <br>http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF			F 13  Mon Negre une culotte de toille crue, et a ____  Répondu a monr du brocar ?ix piastres qu’il  lui devoit ; il me parois que george Loin de  reclamer des Bettes chavalines de mon negre  devroit ?older entre mes mains ce qu’il reste  davoirepour ce cheval.  La ?upliante espere devotre intégrité  Monsieur que vous contraindrez le dit  george Bollard a ramenner chez moy cette  jument ginigrine et trois ?uivants quelle  a avec elle, que le dit mulatre a pris zyere  chez moy, malgré que je luy ay representer  qu’il faisoit mal de ?’en emparer ?ans que  vous en Eussiez ordonné, ce que je puis vous  faire atester par ?on gendre qui etoit avec lui  De même qu’il vous plaisse lui ordonner  de Contremarquer ?es zanimaux a ma  requisition.  Cest l’a grace qu’espere la ?upliante  faisant des voeux pour la conservation de  vos jours. opeloussas Le 12 mars 1795  suzanne moreaux v. Donato Belloz 				2008-08-01	2008-08-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/676	676	677.jpg		/LSU_CFF/image/677.jpg
Page_1										See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collection (LLMCV)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cff <br>http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF			F6  Nelle Orléans 19 février. 63.  Cher enfant, nous avons eu de tes nouvelles  par Mme Paul F…. qui a reçu une lettre  de son mari du 10 de ce mois. Tu es toujours  dit-il chez Eugène. C’est beaucoup de savoir  que tu te portes bien, mais nous aurions bien  voulu en savoir davantage ! As-tu reçu le  paquet que nous t’avons envoyé ? As-tu remis  la lettre qu’Emile t’avait recommandé de porter  à Mr. M….n ? Si tu l’as fait, tâche donc  de nous faire savoir le résultat de votre entrevue.  Toute la famille se porte bien. Nous  vivons il est vrai comme les choux et les navets  vivent, mais enfin nous vivons ! Tout est calme  autour de nous maintenant : mais la misère  commence à peser sur chacun. un voile de  deuil couvre la ville…. On rencontre ça et là  quelques visages ennuyés…. Il n’y a pas eu de  carnaval…. Les salons sont restés fermés !!!  Dieu a permis que nous fussions frappés ; mais  n’oublions pas que si d’un côté de sa balance sa  justice pèse, de l’autre côté le poids de sa misé=  =ricorde l’emporte. Il nous relèvera, gardons  nous d’en désespérer !  1 				2008-08-01	2008-08-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/679	679	680.jpg		/LSU_CFF/image/680.jpg
