Title	Compound	Notes	Date	Photographer	Index Terms	Item Number	Collection Name	Digital Type	Digital Size	Original Type/Size	Rights	Collection Source	Source	Cite As	Contact and Ordering Information	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Canal Bank Building (corner of Baronne and Common Streets)	No	The camera stands at street level looking back toward the Canal Bank Building. In the foreground pedestrians watch construction work taking place at a site across from the bank building.	ca. 1930	unknown	New Orleans (La.)--Buildings, structures, etc.--Photographs<br>Canal Bank Building (New Orleans, La.)--Photographs<br>Architectural photography--Louisiana--New Orleans	17620013p	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/10	10	11.jpg	/NONegExposures/image/11.jpg
City Park Avenue of Palms	No	The camera stands in the middle of the palm lined path turned at an acute angle so that the path runs diagonally through the frame to the horizon.	ca. 1928	unknown	New Orleans (La.)--Photographs<br>Palms--Louisiana--New Orleans--Photographs<br>Outdoor photography--Louisiana--New Orleans--Photographs<br>City Park (New Orleans, La.)--Photographs	17620014p	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/11	11	12.jpg	/NONegExposures/image/12.jpg
Cotton Exchange Building	No	The camera stands on a rooftop diagonally opposite the Cotton Exchange Building looking back toward that building.	ca. 1928	unknown	Architectural photography--Louisiana--New Orleans<br>Cotton Exchange Building (New Orleans, La.)--Photographs<br>New Orleans (La.)--Photographs	17620015p	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/12	12	13.jpg	/NONegExposures/image/13.jpg
Criminal Courts Building	No	See also 176216b. The camera stands across the street looking back toward the Criminal Courts Building. Sunlight streams directly into the lens making this a difficult exposure. Cars have been parked along both curbs.	ca. 1929	unknown	Architectural photography--Louisiana--New Orleans<br>Criminal Courts Building (New Orleans, La.)--Photographs<br>New Orleans (La.)--Photographs	17620016ap	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/13	13	14.jpg	/NONegExposures/image/14.jpg
Criminal Courts Building	No	See also 176216a. The camera stands across the street looking back toward the Criminal Courts Building. Sunlight streams directly into the lens making this a difficult exposure. Cars have been parked along both curbs.	ca. 1929	unknown	New Orleans (La.)--Photographs<br>Architectural photography--Louisiana--New Orleans<br>Criminal Courts Building (New Orleans, La.)--Photographs	17620016bp	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/14	14	15.jpg	/NONegExposures/image/15.jpg
Electrical Supply Company Building	No	The camera stands up in a building, diagonally across the street from and looking back toward the Electrical Supply Company Building.	ca. 1929	unknown	Architectural photography--Louisiana--New Orleans<br>Electrical Suppy Company Building (New Orleans, La.)--Photographs<br>New Orleans (La.)--Photographs	17620017p	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/15	15	16.jpg	/NONegExposures/image/16.jpg
D. H. Holmes Building, Mardi Gras	No	The camera stands at street level across from and at a slight angle to the D. H. Holmes Building. The facade has been decorated with many lights for Madri Gras. The photographer captured this image at night.	ca. 1928	unknown	Architectural photography--Louisiana--New Orleans<br>D. H. Holmes Building (New Orleans, La.)--Photographs<br>New Orleans (La.)--Photographs<br>Night photography--Louisiana--New Orleans--Photographs	17620018p	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/16	16	17.jpg	/NONegExposures/image/17.jpg
Hotel Monteleone (Royal and Iberville Streets)	No	This is a copy image. The phrase "Wogan & Bernard Arch. . ." is inscribed above, "C1928 Teunisson Photo" in the lower left corner. The image presents the Hotel squarely face on.	ca. 1928	unknown	New Orleans (La.)--Photographs<br>Copy prints<br>Architectural photography--Louisiana--New Orleans<br>Hotel Monteleone (New Orleans, La.)--Photographs	17620019p	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/17	17	18.jpg	/NONegExposures/image/18.jpg
Jackson Square showing Pontalba Building	No	The camera stands on the upriver side of Jackson Square looking back toward the statue of Jackson and the lower Pontalba Building.	ca. 1928	unknown	Jackson Square (New Orleans, La.)--Photographs<br>New Orleans (La.)--Photographs<br>Jackson, Andrew, 1767-1845--Statues--Photographs<br>Squares (open spaces)--Photographs<br>Urban landscapes--Louisiana--New Orleans--Photographs<br>Pontalba Building (New Orleans, La.)--Photographs.	17620020p	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/18	18	19.jpg	/NONegExposures/image/19.jpg
Robert E. Lee Monument	No	See also 176221b. The camera stands across the street and facing the statue of Robert E. Lee in Lee Circle which is brightly lit in this night scene.	ca. 1928	unknown	New Orleans (La.)--Photographs<br>Statues--Louisiana--New Orleans--Photographs<br>Lee Circle (New Orleans, La.)--Photographs<br>Night photography--Louisiana--New Orleans<br>Lee, Robert E. (Robert Edward), 1807-1870--Statues--Photographs	17620021ap	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/19	19	20.jpg	/NONegExposures/image/20.jpg
Robert E. Lee Monument	No	See also 176221a. The camera stands further across the street than in 176221a and facing the statue of Robert E. Lee in Lee Circle which is brightly lit in this night scene.	ca. 1928	unknown	New Orleans (La.)--Photographs<br>Statues--Louisiana--New Orleans--Photographs<br>Lee Circle (New Orleans, La.)--Photographs<br>Night photography--Louisiana--New Orleans<br>Lee, Robert E. (Robert Edward), 1807-1870--Statues--Photographs	17620021bp	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/20	20	21.jpg	/NONegExposures/image/21.jpg
Palace Theater, Miss Amos	No	An actress at the Palace Theater sits facing the camera holding a branch of flowering dogwood.	April 1928	unknown	Actressess--Louisiana--New Orleans--Portrait photographs	17620022ap	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/21	21	22.jpg	/NONegExposures/image/22.jpg
Palace Theater, Miss Amos	No	See also 176222a and 176222c. An actress at the Palace Theater sits facing the camera holding a branch of flowering dogwood.	April 1928	unknown	Actressess--Louisiana--New Orleans--Portrait photographs	17620022bp	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/22	22	23.jpg	/NONegExposures/image/23.jpg
Palace Theater, Miss Amos	No	See also 176222a and 176222b. An actress at the Palace Theater stands facing the camera holding a branch of flowering dogwood.	April 1928	unknown	Actressess--Louisiana--New Orleans--Portrait photographs	17620022cp	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/23	23	24.jpg	/NONegExposures/image/24.jpg
Palace Theater, unidentified actress	No	See also 17622e. An actress at the Palace Theater stands facing the camera holding a branch of flowering dogwood.	April 1928	unknown	Actressess--Louisiana--New Orleans--Portrait photographs	17620022dp	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/24	24	25.jpg	/NONegExposures/image/25.jpg
Palace Theater, unidentifed actress	No	See also 17622d. An actress at the Palace Theater stands facing the camera holding a branch of flowering dogwood.	April 1928	unknown	Actressess--Louisiana--New Orleans--Portrait photographs	17620022ep	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/25	25	26.jpg	/NONegExposures/image/26.jpg
Queen and Crescent Building	No	This negative showing signs of decay. The camera stands in a building diagonally across the street from the Queen and Crescent Building looking back toward it. Vehicles have been parked on the streets surrounding the building.	ca. 1928	unknown	Architectural photography--Louisiana--New Orleans<br>New Orleans (La.)--Photographs<br>Urban landscapes--Louisiana--New Orleans--Photographs<br>Queen and Crescent Building (New Orleans, La.)--Photographs	17620023ap	New Orleans Negative Exposures Prints	jpg	640 x 480	Resin-coated paper prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Negative Exposures and Prints, Mss. 173703-07, 176212-176235, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NONegExposures/id/26	26	27.jpg	/NONegExposures/image/27.jpg
