Title	Compound	Notes	Date	Photographer	Index Terms	Item Number	Collection Name	Digital Type	Digital Size	Original Type/Size	Rights	Collection Source	Source	Cite As	Contact and Ordering Information	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Exchange Alley looking towards the St. Louis Hotel	No	View of an empty alley and concrete facades.	ca. 1900	unknown	New Orleans (La.)--Photographs.;Vieux Carre (New Orleans, La.)--Photographs.	21160082	New Orleans French Quarter Scenes	jpg	2560 x 1826	Albumen prints<br>5.00" x 7.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/32	32	33.jpg		/NewOrleans/image/33.jpg
Chartres St. from St. Louis to Conti.	No	Image showing storefronts and balconies, buggies, and pedestrians.	ca. 1900	unknown	New Orleans (La.)--Photographs.;Vieux Carre (New Orleans, La.)--Photographs.	21160083	New Orleans French Quarter Scenes	jpg	2560 x 1827	Albumen prints<br>5.00" x 7.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/33	33	34.jpg		/NewOrleans/image/34.jpg
Stairs and Courtyard	No	Image of spiral staircase and exterior courtyard.	ca. 1900	unknown	New Orleans (La.)--Photographs.;Vieux Carre (New Orleans, La.)--Photographs.;Courtyards--Louisiana--New Orleans--Photographs.	21160084	New Orleans French Quarter Scenes	jpg	2560 x 1829	Albumen prints<br>5.00" x 7.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/34	34	35.jpg		/NewOrleans/image/35.jpg
Courtyard and Balconies	No	Image of courtyard, balconies, and miscellaneous objects stacked against a wall.	ca. 1900	unknown	New Orleans (La.)--Photographs.;Vieux Carre (New Orleans, La.)--Photographs.;Courtyards--Louisiana--New Orleans--Photographs.	21160085	New Orleans French Quarter Scenes	jpg	2560 x 1905	Albumen prints<br>5.00" x 7.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/35	35	36.jpg		/NewOrleans/image/36.jpg
Column Base	No	Close-up of a column and debris on floor.	ca. 1900	unknown	New Orleans (La.)--Photographs.;Vieux Carre (New Orleans, La.)--Photographs.	21160086	New Orleans French Quarter Scenes	jpg	2560 x 1830	Albumen prints<br>5.00" x 7.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/36	36	37.jpg		/NewOrleans/image/37.jpg
Citizen's Bank of Louisiana	No	View of front facade with three individuals on steps.	ca. 1900	unknown	New Orleans (La.)--Photographs.;Citizen's Bank of Louisiana (New Orleans, La.)--Photographs.	21160087	New Orleans French Quarter Scenes	jpg	2560 x 1824	Albumen prints<br>5.00" x 7.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/37	37	38.jpg		/NewOrleans/image/38.jpg
Exchange Alley	No	Looking away from St. Louis Hotel.	ca. 1900	unknown	New Orleans (La.)--Photographs.;Vieux Carre (New Orleans, La.)--Photographs.	21160088	New Orleans French Quarter Scenes	jpg	2560 x 1812	Albumen prints<br>5.00" x 7.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/38	38	39.jpg		/NewOrleans/image/39.jpg
Building Corner	No	Image of three-story building at street corner.	ca. 1900	unknown	New Orleans (La.)--Photographs.;Vieux Carre (New Orleans, La.)--Photographs.	21160089	New Orleans French Quarter Scenes	jpg	2560 x 1808	Albumen prints<br>5.00" x 7.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/39	39	40.jpg		/NewOrleans/image/40.jpg
Welcome Confederate Veterans	No	Image of sign on street corner.	ca. 1900	unknown	New Orleans (La.)--Photographs.;Vieux Carre (New Orleans, La.)--Photographs.	21160090	New Orleans French Quarter Scenes	jpg	2560 x 1833	Albumen prints<br>5.00" x 7.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/40	40	41.jpg		/NewOrleans/image/41.jpg
Cobblestone Street and Cart	No	Image of street, building facades, and a cart resting vertically on the sidewalk.	ca. 1900	unknown	New Orleans (La.)--Photographs.;Vieux Carre (New Orleans, La.)--Photographs.	21160091	New Orleans French Quarter Scenes	jpg	2560 x 1847	Albumen prints<br>5.00" x 7.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/41	41	42.jpg		/NewOrleans/image/42.jpg
The stand where the slaves was sold.  M Barnett R & Roy	No	Interior view.	ca. 1900	unknown	New Orleans (La.)--Photographs.;Vieux Carre (New Orleans, La.)--Photographs.;Slave trade--Louisiana--New Orleans--Photographs.	21160092	New Orleans French Quarter Scenes	jpg	2560 x 1840	Albumen prints<br>5.00" x 7.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/42	42	43.jpg		/NewOrleans/image/43.jpg
Children Playing in Street	No	Image of children, buildings, and balconies.	ca. 1900	unknown	New Orleans (La.)--Photographs.;Vieux Carre (New Orleans, La.)--Photographs.	21160093	New Orleans French Quarter Scenes	jpg	2560 x 1848	Albumen prints<br>5.00" x 7.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans French Quarter Scenes, Mss. 2116, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/43	43	44.jpg		/NewOrleans/image/44.jpg
