Title	Compound	Notes	Date	Photographer	Index Terms	Item Number	Collection Name	Digital Type	Digital Size	Original Type/Size	Rights	Collection Source	Source	Cite As	Contact and Ordering Information	Repository Collection Guide	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
[David F. Boyd]	No	David F. Boyd in Confederate uniform	[ca.1850]	unknown	Ambrotypes<br>Boyd, David French--Portrait photographs<br>Portrait photography	33620011	Wright- Boyd Family Papers	jpg	640 x 480	Ambrotypes<br>1/6 plate - 2-5/8" x 3-1/4"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Wright-Boyd Family Papers, Mss. 3362, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	http://www.lib.lsu.edu/special/findaid/3362.pdf		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/wri-boy/id/66	66	67.jpg	/wri-boy/image/67.jpg
[Ester G. Wright]	No	[inside case] Ester G.  Wright, a schoolgirl at Winden, LA about 1859. Mrs. D. F. Boyd (aged 15)	[ca.1859]	unknown	Ambrotypes<br>Portrait photography--Louisiana--Minden<br>Wright, Ester Gertrude--Portrait photographs	33620012	Wright- Boyd Family Papers	jpg	640 x 480	Ambrotypes<br>1/6 plate - 2-5/8" x 3-1/4"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Wright-Boyd Family Papers, Mss. 3362, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	http://www.lib.lsu.edu/special/findaid/3362.pdf		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/wri-boy/id/67	67	68.jpg	/wri-boy/image/68.jpg
[Joseph Calliham or William Edmund Workman]	No	1.Handwritten note attached to inside of front cover : Joseph Calliham ("cousin Joe") son of  John G. Calliham & Mary Jordan Grimball Calliham (1801-1863), soldier under Stonewall Jackson, killed Battle of Fredericksburg.<br><br>2. Handwritten note on the inside the case behind the image: William Edmund Workman Taken at school. Joined Confederate Army in 1861. Died in hospital at Culpepper, Va. On October 21, 1861. Removed from Culpepper Cemetery to Philadelphia, Pa.	[ca.1850]	unknown	Calliham, Joseph--Portrait photographs<br>Portrait photography<br>Tintypes<br>Workman, Edmund William--Portrait photographs	33620013	Wright- Boyd Family Papers	jpg	640 x 480	Tintypes<br>1/6 plate - 2-5/8" x 3-1/4"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Wright-Boyd Family Papers, Mss. 3362, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	http://www.lib.lsu.edu/special/findaid/3362.pdf		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/wri-boy/id/68	68	69.jpg	/wri-boy/image/69.jpg
[Cousin Joe Calliham or John David Workman]	No	1. Handwritten note on slip of paper in  front of image: Cousin Joe Calliham, son of our Aunt Mary Jandon Grimball & J. Y. Calliham. Cousin Joe was killed at the battle of Fredericksburg, Va. , Civil War.<br>2. Handwritten note on paper behind image: John David Workman. Confederate Army. Killed at Fisher’s Creek, Va. Sept.22,1964 and buried in the field.	[ca.1850]	unknown	Calliham, Joseph--Portrait photographs<br>Portrait photography<br>Tintypes<br>Workman, John David--Portrait photographs	33620014	Wright- Boyd Family Papers	jpg	640 x 480	Tintypes<br>1/6 plate - 2-5/8" x 3-1/4"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Wright-Boyd Family Papers, Mss. 3362, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	http://www.lib.lsu.edu/special/findaid/3362.pdf		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/wri-boy/id/69	69	70.jpg	/wri-boy/image/70.jpg
John David Workman	Done	Two inscriptions on verso, the upper one partially obscured by black photograph album paper. Upper: "J. ... S ... wh ... & went to Va. [unreadable] Co. B. 9th La. Regt." Lower: "later was Major of 9th La. Regt. Killed Fisher's Hill --- John David Workman (1839 - 1864), son of Dr. John C. Workman (1809 - 1861) and Martha A. Cheny (1816 - 1845) after death of his mother, John David & his brother Wm Edward (1840 - 1862) lived with their great uncle [struck through] great aunt, Dr. [struck through] & Mrs. J. D. Wright. David killed Fisher's Hill. Wm died in hospital in 1862.	[ca.1850]	unknown	Cartes de visite<br>Fisher's Hill (Shenandoah County, Va.)<br>Portrait photography--Virginia--Richmond<br>United States--History--Civil War, 1861-1865--Portrait photographs<br>Workman, John David--Portrait photographs<br>Confederate States of America. Arm	33620015r	Wright- Boyd Family Papers	jpg	640 x 480	Salted paper prints<br>2.5" x 4.0"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Wright-Boyd Family Papers, Mss. 3362, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	http://www.lib.lsu.edu/special/findaid/3362.pdf		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/wri-boy/id/70	70	71.jpg	/wri-boy/image/71.jpg
John David Workman	Done	Two inscriptions on verso, the upper one partially obscured by black photograph album paper. Upper: "J. ... S ... wh ... & went to Va. [unreadable] Co. B. 9th La. Regt." Lower: "later was Major of 9th La. Regt. Killed Fisher's Hill --- John David Workman (1839 - 1864), son of Dr. John C. Workman (1809 - 1861) and Martha A. Cheny (1816 - 1845) after death of his mother, John David & his brother Wm Edward (1840 - 1862) lived with their great uncle [struck through] great aunt, Dr. [struck through] & Mrs. J. D. Wright. David killed Fisher's Hill. Wm died in hospital in 1862.	[ca.1850]	unknown	Cartes de visite<br>Fisher's Hill (Shenandoah County, Va.)<br>Portrait photography--Virginia--Richmond<br>United States--History--Civil War, 1861-1865--Portrait photographs<br>Workman, John David--Portrait photographs<br>Confederate States of America. Arm	33620015v	Wright- Boyd Family Papers	jpg	640 x 480	Salted paper prints<br>2.5" x 4.0"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Wright-Boyd Family Papers, Mss. 3362, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	http://www.lib.lsu.edu/special/findaid/3362.pdf		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/wri-boy/id/71	71	72.jpg	/wri-boy/image/72.jpg
[Stony Creek Meadow]	Done	Inscription on verso: "Stony Creek and Moosehead Mts [sic] with Raguettte River and Stony Creek Meadow in foreground."	[ca.1850]	unknown	Gelatin Printing Out Paper<br>Moosehead Mountain (St. Laurence County, N.Y.)<br>Raquette River (St. Laurence County, N.Y.)--Photographs<br>Stony Creek (St. Laurence County, N.Y.)--Photographs	33620016r	Wright- Boyd Family Papers	jpg	640 x 480	Gelatin Printing Out Paper<br>6.75" x 4.75"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Wright-Boyd Family Papers, Mss. 3362, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	http://www.lib.lsu.edu/special/findaid/3362.pdf		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/wri-boy/id/72	72	73.jpg	/wri-boy/image/73.jpg
[Stony Creek Meadow]	Done	Inscription on verso: "Stony Creek and Moosehead Mts [sic] with Raguettte River and Stony Creek Meadow in foreground."	[ca.1850]	unknown	Gelatin Printing Out Paper<br>Moosehead Mountain (St. Laurence County, N.Y.)<br>Raquette River (St. Laurence County, N.Y.)--Photographs<br>Stony Creek (St. Laurence County, N.Y.)--Photographs	33620016v	Wright- Boyd Family Papers	jpg	640 x 480	Gelatin Printing Out Paper<br>6.75" x 4.75"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Wright-Boyd Family Papers, Mss. 3362, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	http://www.lib.lsu.edu/special/findaid/3362.pdf		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/wri-boy/id/73	73	74.jpg	/wri-boy/image/74.jpg
[Stony Creek Meadow]	Done	Inscription on verso: "Stony Creek and Moosehead Mts [sic] with Raguettte River and Stony Creek Meadow in foreground."	[ca.1850]	unknown	Gelatin Printing Out Paper<br>Moosehead Mountain (St. Laurence County, N.Y.)<br>Raquette River (St. Laurence County, N.Y.)--Photographs<br>Stony Creek (St. Laurence County, N.Y.)--Photographs	33620016	Wright- Boyd Family Papers	jpg	640 x 480	Gelatin Printing Out Paper<br>6.75" x 4.75"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Wright-Boyd Family Papers, Mss. 3362, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	http://www.lib.lsu.edu/special/findaid/3362.pdf		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/wri-boy/id/74	74	75.cpd	/wri-boy/image/75.cpd
John David Workman	Done	Two inscriptions on verso, the upper one partially obscured by black photograph album paper. Upper: "J. ... S ... wh ... & went to Va. [unreadable] Co. B. 9th La. Regt." Lower: "later was Major of 9th La. Regt. Killed Fisher's Hill --- John David Workman (1839 - 1864), son of Dr. John C. Workman (1809 - 1861) and Martha A. Cheny (1816 - 1845) after death of his mother, John David & his brother Wm Edward (1840 - 1862) lived with their great uncle [struck through] great aunt, Dr. [struck through] & Mrs. J. D. Wright. David killed Fisher's Hill. Wm died in hospital in 1862.	[ca.1850]	unknown	Cartes de visite<br>Fisher's Hill (Shenandoah County, Va.)<br>Portrait photography--Virginia--Richmond<br>United States--History--Civil War, 1861-1865--Portrait photographs<br>Workman, John David--Portrait photographs<br>Confederate States of America. Arm	33620015	Wright- Boyd Family Papers	jpg	640 x 480	Salted paper prints<br>2.5" x 4.0"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Wright-Boyd Family Papers, Mss. 3362, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	http://www.lib.lsu.edu/special/findaid/3362.pdf		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/wri-boy/id/75	75	76.cpd	/wri-boy/image/76.cpd
