Title	Issue	Author	Volume	Publication Date	Call Number	Subject	Contributor	Publisher	Description	Collection Information	Copyright	Type	Format	Language	Relation	Coverage	Cite As	Repository Collection Guide	File Name	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Sugar Bulletin 1924-02-15	10	American Sugar Cane League	2	1924	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1959	1959	1960.pdf	/p16313coll31/image/1960.pdf
Sugar Bulletin 1924-03-01	11	American Sugar Cane League	2	1924	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1960	1960	1961.pdf	/p16313coll31/image/1961.pdf
Sugar Bulletin 1924-03-15	12	American Sugar Cane League	2	1924	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1961	1961	1962.pdf	/p16313coll31/image/1962.pdf
Sugar Bulletin 1924-04-01	13	American Sugar Cane League	2	1924	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1962	1962	1963.pdf	/p16313coll31/image/1963.pdf
Sugar Bulletin 1924-04-15	14	American Sugar Cane League	2	1924	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1963	1963	1964.pdf	/p16313coll31/image/1964.pdf
Sugar Bulletin 1924-05-01	15	American Sugar Cane League	2	1924	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1964	1964	1965.pdf	/p16313coll31/image/1965.pdf
Sugar Bulletin 1924-05-15	16	American Sugar Cane League	2	1924	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1965	1965	1966.pdf	/p16313coll31/image/1966.pdf
Sugar Bulletin 1924-06-01	17	American Sugar Cane League	2	1924	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1966	1966	1967.pdf	/p16313coll31/image/1967.pdf
Sugar Bulletin 1924-06-15	18	American Sugar Cane League	2	1924	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1967	1967	1968.pdf	/p16313coll31/image/1968.pdf
Sugar Bulletin 1924-07-01	19	American Sugar Cane League	2	1924	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1968	1968	1969.pdf	/p16313coll31/image/1969.pdf
Sugar Bulletin 1927-07-15	20	American Sugar Cane League	2	1924	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1969	1969	1970.pdf	/p16313coll31/image/1970.pdf
Sugar Bulletin 1924-08-01	21	American Sugar Cane League	2	1924	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1970	1970	1971.pdf	/p16313coll31/image/1971.pdf
Sugar Bulletin 1948-10-15	2	American Sugar Cane League	27	1948	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1971	1971	1972.pdf	/p16313coll31/image/1972.pdf
Sugar Bulletin 1924-08-15	22	American Sugar Cane League	2	1924	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1972	1972	1973.pdf	/p16313coll31/image/1973.pdf
Sugar Bulletin 1924-09-01	23	American Sugar Cane League	2	1924	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1973	1973	1974.pdf	/p16313coll31/image/1974.pdf
Sugar Bulletin 1924-09-15	24	American Sugar Cane League	2	1924	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1974	1974	1975.pdf	/p16313coll31/image/1975.pdf
Sugar Bulletin 1924-10-01	1	American Sugar Cane League	3	1924	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1975	1975	1976.pdf	/p16313coll31/image/1976.pdf
Sugar Bulletin 1924-10-15	2	American Sugar Cane League	3	1924	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1976	1976	1977.pdf	/p16313coll31/image/1977.pdf
Sugar Bulletin 1924-11-01	3	American Sugar Cane League	3	1924	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1977	1977	1978.pdf	/p16313coll31/image/1978.pdf
Sugar Bulletin 1924-11-15	4	American Sugar Cane League	3	1924	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1978	1978	1979.pdf	/p16313coll31/image/1979.pdf
Sugar Bulletin 1924-12-01	5	American Sugar Cane League	3	1924	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1979	1979	1980.pdf	/p16313coll31/image/1980.pdf
Sugar Bulletin 1924-12-15	6	American Sugar Cane League	3	1924	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1980	1980	1981.pdf	/p16313coll31/image/1981.pdf
Sugar Bulletin 1925-01-01	7	American Sugar Cane League	3	1925	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1981	1981	1982.pdf	/p16313coll31/image/1982.pdf
Sugar Bulletin 1948-11-01	3	American Sugar Cane League	27	1948	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1982	1982	1983.pdf	/p16313coll31/image/1983.pdf
Sugar Bulletin 1925-01-15	8	American Sugar Cane League	3	1925	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1983	1983	1984.pdf	/p16313coll31/image/1984.pdf
Sugar Bulletin 1925-02-01	9	American Sugar Cane League	3	1925	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1984	1984	1985.pdf	/p16313coll31/image/1985.pdf
Sugar Bulletin 1925-02-15	10	American Sugar Cane League	3	1925	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1985	1985	1986.pdf	/p16313coll31/image/1986.pdf
Sugar Bulletin 1925-03-01	11	American Sugar Cane League	3	1925	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1986	1986	1987.pdf	/p16313coll31/image/1987.pdf
Sugar Bulletin 1925-03-15	12	American Sugar Cane League	3	1925	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1987	1987	1988.pdf	/p16313coll31/image/1988.pdf
Sugar Bulletin 1925-04-01	13	American Sugar Cane League	3	1925	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1988	1988	1989.pdf	/p16313coll31/image/1989.pdf
Sugar Bulletin 1925-04-15	14	American Sugar Cane League	3	1925	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1989	1989	1990.pdf	/p16313coll31/image/1990.pdf
Sugar Bulletin 1925-05-01	15	American Sugar Cane League	3	1925	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1990	1990	1991.pdf	/p16313coll31/image/1991.pdf
Sugar Bulletin 1925-05-15	16	American Sugar Cane League	3	1925	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1991	1991	1992.pdf	/p16313coll31/image/1992.pdf
Sugar Bulletin 1926-06-01	17	American Sugar Cane League	3	1925	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1992	1992	1993.pdf	/p16313coll31/image/1993.pdf
Sugar Bulletin 1925-06-15	18	American Sugar Cane League	3	1925	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1993	1993	1994.pdf	/p16313coll31/image/1994.pdf
Sugar Bulletin 1925-07-01	19	American Sugar Cane League	3	1925	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1994	1994	1995.pdf	/p16313coll31/image/1995.pdf
Sugar Bulletin 1925-07-15	20	American Sugar Cane League	3	1925	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1995	1995	1996.pdf	/p16313coll31/image/1996.pdf
Sugar Bulletin 1925-08-01	21	American Sugar Cane League	3	1925	SB215 .S89	Sugar trade--United States--Periodicals.; Sugarcane industry--United States--Periodicals.; Sugar growing--Periodicals		American Sugar Cane League, New Orleans, La.	The Sugar Bulletin is the official organ of the American Sugar Cane League of the U.S.A., Inc. The monthly publication is  a communication tool to keep American Sugar Cane League members up to date on the on goings of the industry.		This item is in the public domain.										2013-01-31	2013-01-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll31/id/1996	1996	1997.pdf	/p16313coll31/image/1997.pdf
