Title	Author	Date	Biographical note	Summary	Physical Description	Language	Publisher	Type	Geographic Focus	Subject	Notes	Repository	Repository collection	Repository collection guide	Location of originals	Cite as	Restrictions	Contact and Ordering Information	Item number	Item URL	Collection URL	Format	Relation	Coverage-Temporal	Cataloger	Cataloged Date	Image Resolution (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	Transcription	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 12												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/12	12	13.jp2	/p120701coll12/image/13.jp2
Page 13												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/13	13	14.jp2	/p120701coll12/image/14.jp2
Page 14												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/14	14	15.jp2	/p120701coll12/image/15.jp2
Page 15												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/15	15	16.jp2	/p120701coll12/image/16.jp2
Page 16												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/16	16	17.jp2	/p120701coll12/image/17.jp2
Page 16a												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/17	17	18.jp2	/p120701coll12/image/18.jp2
Page 17												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/18	18	19.jp2	/p120701coll12/image/19.jp2
Page 18												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/19	19	20.jp2	/p120701coll12/image/20.jp2
Page 18a												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/20	20	21.jp2	/p120701coll12/image/21.jp2
Page 18b												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/21	21	22.jp2	/p120701coll12/image/22.jp2
Page 19												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/22	22	23.jp2	/p120701coll12/image/23.jp2
Page 20												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/23	23	24.jp2	/p120701coll12/image/24.jp2
Page 21												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/24	24	25.jp2	/p120701coll12/image/25.jp2
Page 22												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/25	25	26.jp2	/p120701coll12/image/26.jp2
Page 23												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/26	26	27.jp2	/p120701coll12/image/27.jp2
Page 24												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/27	27	28.jp2	/p120701coll12/image/28.jp2
Page 24a												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/28	28	29.jp2	/p120701coll12/image/29.jp2
Page 25												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/29	29	30.jp2	/p120701coll12/image/30.jp2
Page 26												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/30	30	31.jp2	/p120701coll12/image/31.jp2
Page 27												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/31	31	32.jp2	/p120701coll12/image/32.jp2
Page 28												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/32	32	33.jp2	/p120701coll12/image/33.jp2
Page 29												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/33	33	34.jp2	/p120701coll12/image/34.jp2
Page 30												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/34	34	35.jp2	/p120701coll12/image/35.jp2
Page 31												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/35	35	36.jp2	/p120701coll12/image/36.jp2
Page 32												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/36	36	37.jp2	/p120701coll12/image/37.jp2
Page 33												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/37	37	38.jp2	/p120701coll12/image/38.jp2
Page 34												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/38	38	39.jp2	/p120701coll12/image/39.jp2
Page 35												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/39	39	40.jp2	/p120701coll12/image/40.jp2
Page 36												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/40	40	41.jp2	/p120701coll12/image/41.jp2
Page 37												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/41	41	42.jp2	/p120701coll12/image/42.jp2
Page 38												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/42	42	43.jp2	/p120701coll12/image/43.jp2
Back cover												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-24	2009-08-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/43	43	44.jp2	/p120701coll12/image/44.jp2
M.M.B. Conner, her book : the white man's burden and other things.	Conner, Mary Macrery Britton, 1863-1936.	1894-1918			38 p. : ill. ; 31 cm.	en		image	Mississippi	African Americans--History--1877-1964.; African Americans--Mississippi--Religion--Photographs.; African Americans--Mississippi--Social conditions--Photographs.; Baptism--Photographs.; Freedmen--Mississippi--Photographs.; Nannies--Mississippi--Photographs.; Natchez (Miss.)--Photographs.	The scrapbook kept by Mary Macrery Britton Conner of Natchez, Miss., contains photographs, newspaper clippings, and other items on former family slaves and their descendants, African-American baptisms, and African-American social conditions and culture, primarily in Mississippi. Mary Macrery Britton, daughter of Audley C. Britton (1822-1894) of Britton & Koontz Bank and Eliza Macrery (d. 1907), married the prominent attorney, Lemuel P. Conner Jr., in 1888.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special ).				Lemuel Parker Conner and Family Papers, Mss. 1403, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p120701coll12.php?CISOROOT=/p120701coll12												2009-08-24	2011-06-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/44	44	45.cpd	/p120701coll12/image/45.cpd
176236p												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-26	2009-08-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/45	45	46.jp2	/p120701coll12/image/46.jp2
176237p												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-26	2009-08-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/46	46	47.jp2	/p120701coll12/image/47.jp2
176238p												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-26	2009-08-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/47	47	48.jp2	/p120701coll12/image/48.jp2
176239p												 Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).					Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		See 'reference url' on the navigation bars.													2009-08-26	2009-08-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll12/id/48	48	49.jp2	/p120701coll12/image/49.jp2
