Series	Title	Interviewee	Date(s) of Interview	Interviewer	Summary	Abstract 	Biographical Note	Subjects	Physical Description	Repository	Cite As	Copyright (Terms of use / reprodcution) (all updated as of 5/5/2015)	Contact and Ordering Information 
Gillis Long Oral History Project	"Harry Connick Sr. oral history interview, 1986"	"Connick, Harry, -1926"	1986	"Huey, Gary, -1946"	"Connick discusses his work as Gillis Long's New Orleans campaign manager during his gubernatorial campaign in 1971; Long's populist political positions, especially on civil rights; Louisiana politicians, especially Edwin Edwards; and Gillis Long's political fund raising and networking skills."	http://lib.lsu.edu/services/oralhistory/abstracts/gillis/Connick_Harry_Sr.pdf	"Harry Connick Sr. was district attorney for Orleans Parish, La. from 1974 to 2003.  He served in the Navy during World War II and received his law degree from Tulane University in 1961.  He was Gillis Long's New Orleans campaign manager during his gubernatorial campaign in 1971.  Gillis Long (1923-1985) was representative for the 8th U.S. Congressional District of Louisiana in 1963-1965 and 1973-1985.  He ran unsuccessfully for governor of Louisiana in 1964 and 1971."	"Connick, Harry, 1926---Interviews.; Long, Gillis William, 1923-1985.; Edwards, Edwin W.; Campaign management--Louisiana--New Orleans.; Campaign funds--Louisiana.; African Americans--Civil rights--Louisiana.; Louisiana--Politics and government--1951-; Louisiana--Race relations--Political aspects--History--20th century."	1 sound cassette (1 hour); Transcript (42 leaves)	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"Harry Connick Sr. Oral History Interview, Mss. 4700.1188, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by Louisiana State University in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
Gillis Long Oral History Project	"Robert Bookman oral history interview, 1986"	"Bookman, Robert, "	1986	"Huey, Gary, -1946"	"Bookman discusses his relationship with Gillis and Cathy Long, Gillis Long's support for civil rights, Cathy Long's decision not to run for office after her husband's death, Gillis Long's health, Bookman's assisting Long with constituents' requests, Long's religiosity, and Bookman's various occupations over his lifetime."	http://lib.lsu.edu/services/oralhistory/abstracts/gillis/Bookman_Robert.pdf	Robert Bookman was Gillis and Cathy Long's gardener.  Gillis Long (1923-1985) was representative for the 8th U.S. Congressional District of Louisiana in 1963-1965 and 1973-1985.  He ran unsuccessfully for governor of Louisiana in 1964 and 1971.	"Bookman, Robert--Interviews.; Long, Gillis William, 1923-1985.; Long, Catherine Small, 1924-; United States.--Congress.--House--Constituent communication.; African Americans--Civil rights--Louisiana.; Louisiana--Politics and government--1951-; Louisiana--Race relations--Political aspects--History--20th century."	1 sound cassette (1 hour); Transcript (35 leaves)	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"Robert Bookman Oral History Interview, Mss. 4700.1189, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by Louisiana State University in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
Gillis Long Oral History Project	"William Wright Jr. oral history interview, 1987"	"Wright, William, "	1987	"Huey, Gary, -1946"	"Wright discusses Gillis Long's gubernatorial and Congressional campaigns, numerous Louisiana politicians of the time, civil rights as a political issue, Long's political talents and methods, and issues within the national Democratic Party."	http://lib.lsu.edu/services/oralhistory/abstracts/gillis/Wright_William.pdf	William Wright Jr. was Gillis Long's cousin.  Gillis Long (1923-1985) was representative for the 8th U.S. Congressional District of Louisiana in 1963-1965 and 1973-1985.  He ran unsuccessfully for governor of Louisiana in 1964 and 1971.	"Wright, William--Interviews.; Long, Gillis William, 1923-1985.; United States.--Congress.--House--Elections.; Democratic Party (U.S.); African Americans--Civil rights--Louisiana.; Louisiana--Politics and government--1951-; Louisiana--Race relations--Political aspects--History--20th century."	1 sound cassette (1 hour); Transcript (38 leaves)	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"William Wright Jr. Oral History Interview, Mss. 4700.1190, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by Louisiana State University in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
Gillis Long Oral History Project	"J.W. ""Cotton"" Merchant oral history interview, 1987"	"Merchant, J. W., "	1987	"Huey, Gary, -1946"	"Merchant discusses civil rights and its influence on Louisiana politics, he and his father's support of civil rights, Gillis Long's gubernatorial and Congressional campaigns, Long's relationship with several Louisiana politicians, redistricting of the 8th U.S. Congressional District of Louisiana, political infighting in the Long family, Gillis Long's political positions, his health, and his service to his constituents."	http://lib.lsu.edu/services/oralhistory/abstracts/gillis/Merchant_JW.pdf	"J.W. ""Cotton"" Merchant worked with Gillis Long in the early 1960s when Long was a Congressman.  Gillis Long (1923-1985) was representative for the 8th U.S. Congressional District of Louisiana in 1963-1965 and 1973-1985.  He ran unsuccessfully for governor of Louisiana in 1964 and 1971."	"Merchant, J. W.--Interviews.; Long, Gillis William, 1923-1985.; Long family.; United States.--Congress.--House--Elections.; United States.--Congress.--House--Election districts.; African Americans--Civil rights--Louisiana.; Apportionment (Election law)--Louisiana.; Louisiana--Politics and government--1951-; Louisiana--Race relations--Political aspects--History--20th century."	2 sound cassettes (2 hours); Transcript (54 leaves)	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"J.W. ""Cotton"" Merchant Oral History Interview, Mss. 4700.1192, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by Louisiana State University in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
Gillis Long Oral History Project	"Leanita Shelby oral history interview, 1989"	"Shelby, Leanita, "	1989	"Huey, Gary, -1946"	"Shelby discusses Gillis Long's work as a Congressman, including issues he advocated, his work on the Rules Committee, civil rights legislation, and Congressmen with whom he collaborated."	http://lib.lsu.edu/services/oralhistory/abstracts/gillis/Shelby_Leanita.pdf	Leanita Shelby was a legislative assistant to Gillis Long between 1973 and 1985.  Gillis Long (1923-1985) was representative for the 8th U.S. Congressional District of Louisiana in 1963-1965 and 1973-1985.  He ran unsuccessfully for governor of Louisiana in 1964 and 1971.	"Shelby, Leanita--Interviews.; Long, Gillis William, 1923-1985.; United States.--Congress.--House.--Committee on Rules.; African Americans--Civil rights.; United States--Race relations--Political aspects--History--20th century."	2 sound cassettes (2 hours); Transcript (38 leaves)	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"Leanita Shelby Oral History Interview, Mss. 4700.1193, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by Louisiana State University in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
Gillis Long Oral History Project	"Patti Tyson oral history interview, 1987"	"Tyson, Patti, "	1987	"Huey, Gary, -1946"	"Tyson discusses Gillis Long's work as a Congressman, including issues he advocated."	http://lib.lsu.edu/services/oralhistory/abstracts/gillis/Tyson_Patti.pdf	"Patti Tyson was Gillis Long's administrative assistant between 1975 and 1976.  She graduated from law school in 1976, then took a position on the staff of the House Rules Committee.  Gillis Long (1923-1985) was representative for the 8th U.S. Congressional District of Louisiana in 1963-1965 and 1973-1985.  He ran unsuccessfully for governor of Louisiana in 1964 and 1971."	"Tyson, Patti--Interviews.; Long, Gillis William, 1923-1985.; United States.--Congress.--House.--Committee on Rules.; United States--Politics and government--1974-1977."	1 sound cassette (1 hour); Transcript (5 leaves)	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"Patti Tyson Oral History Interview, Mss. 4700.1194, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by the interviewer and interviewee and/or their heirs in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
Gillis Long Oral History Project	"Leah Schroeder oral history interview, 1987"	"Schroeder, Leah, "	1987	"Huey, Gary, -1946"	"Schroeder discusses her work for Gillis Long, Long's work as a Congressman, Louisiana politicians, Gillis Long's gubernatorial and Congressional campaigns, his staff, and his work on the House Rules Committee."	http://lib.lsu.edu/services/oralhistory/abstracts/gillis/Schroeder_Leah.pdf	Leah Schroeder worked as Gillis Long's aide assisting with his campaigns.  Gillis Long (1923-1985) was representative for the 8th U.S. Congressional District of Louisiana in 1963-1965 and 1973-1985.  He ran unsuccessfully for governor of Louisiana in 1964 and 1971.	"Schroeder, Leah--Interviews.; Long, Gillis William, 1923-1985.; Long, Speedy O.--(Speedy Oteria), 1928-2006.; United States.--Congress.--House.--Committee on Rules.; United States.--Congress.--House--Elections.; United States.--Congress.--House--Officials and employees.; Louisiana--Politics and government--1951-"	2 sound cassettes (2 hours); Transcript (44 leaves)	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"Leah Schroeder Oral History Interview, Mss. 4700.1195, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by the interviewer and interviewee and/or their heirs in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
Gillis Long Oral History Project	"Wayne Thevenot oral history interview, 1987"	"Thevenot, Wayne, "	1987	"Huey, Gary, -1946"	"Thevenot discusses Gillis Long's influence in the House of Representatives, his place on the House Rules Committee, his Congressional campaigns, his campaign style, his political ideas and contributions, and his relationships with politicians, especially Russell Long and Dick Bolling."	http://lib.lsu.edu/services/oralhistory/abstracts/gillis/Thevenot_Wayne.pdf	Wayne Thevenot worked with Gillis Long during the 1980s and was his campaign manager at one time.  Gillis Long (1923-1985) was representative for the 8th U.S. Congressional District of Louisiana in 1963-1965 and 1973-1985.  He ran unsuccessfully for governor of Louisiana in 1964 and 1971.	"Thevenot, Wayne--Interviews.; Long, Gillis William, 1923-1985.; Long, Russell B.; Bolling, Richard, 1916-1991.; United States.--Congress.--House.--Committee on Rules.; United States.--Congress.--House--Elections.; Political candidates--Louisiana."	2 sound cassettes (2 hours); Transcript (40 leaves)	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"Wayne Thevenot Oral History Interview, Mss. 4700.1196, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by Louisiana State University in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
Gillis Long Oral History Project	"J.J. Pickle oral history interview, 1987"	"Pickle, J. J. "	1987	"Huey, Gary, -1946"	"Pickle discusses his friendship with Gillis Long, Long's stature in the House of Representatives, and Long's progressive political positions."	http://lib.lsu.edu/services/oralhistory/abstracts/gillis/Pickle_JJ.pdf	J.J. Pickle (1913-2005) was representative for the 10th U.S. Congressional District of Texas for 1963-1995.  Gillis Long (1923-1985) was representative for the 8th U.S. Congressional District of Louisiana in 1963-1965 and 1973-1985.  He ran unsuccessfully for governor of Louisiana in 1964 and 1971.	"Pickle, J. J.--Interviews.; Long, Gillis William, 1923-1985.; United States.--Congress.--House.; Louisiana--Politics and government--1951-"	1 sound cassette (1 hour); Transcript (10 leaves)	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"J.J. Pickle Oral History Interview, Mss. 4700.1197, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by Louisiana State University in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
Gillis Long Oral History Project	"Bob Livingston oral history interview, 1987"	"Livingston, Robert L., -1943"	1987	"Huey, Gary, -1946"	"Livingston discusses his relationship with Gillis Long, Long's confrontational attitude toward Republican representatives, his fund raising methods, and the detrimental effect of his liberal policies on his success in Louisiana."	http://lib.lsu.edu/services/oralhistory/abstracts/gillis/Livingston_Bob.pdf	Bob Livingston was representative for the 1st U.S. Congressional District of Louisiana for 1977-1999.  Gillis Long (1923-1985) was representative for the 8th U.S. Congressional District of Louisiana in 1963-1965 and 1973-1985.  He ran unsuccessfully for governor of Louisiana in 1964 and 1971.	"Livingston, Robert L., 1943---Interviews.; Long, Gillis William, 1923-1985.; United States.--Congress.--House.; Campaign funds--Louisiana.; Louisiana--Politics and government--1951-"	1 sound cassette (1 hour); Transcript (12 leaves)	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"Bob Livingston Oral History Interview, Mss. 4700.1198, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by Louisiana State University in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
Gillis Long Oral History Project	"Al From oral history interview, 1987"	"From, Al, -1943"	1987	"Huey, Gary, -1946"	"Al From discusses Gillis Long's work within the Democratic Party and with the Committee on Party Effectiveness; his relationships with other Congressmen, especially Dick Gephardt; his skills as a politician; his health; and his reliance on black voters."	http://lib.lsu.edu/services/oralhistory/abstracts/gillis/From_Al.pdf	"Al From was executive director of the House Democratic Caucus from 1981 to 1985, chaired by Representative Gillis Long (D-LA).  He later was the primary founder of the Democratic Leadership Council.  Gillis Long (1923-1985) was representative for the 8th U.S. Congressional District of Louisiana in 1963-1965 and 1973-1985.  He ran unsuccessfully for governor of Louisiana in 1964 and 1971."	"From, Al, 1943---Interviews.; Long, Gillis William, 1923-1985.; Gephardt, Richard A.--(Richard Andrew), 1941-; Democratic Party (U.S.); Democratic Party (U.S.).--Committee on Party Effectiveness.; African Americans--Civil rights--Louisiana.; Louisiana--Race relations--Political aspects--History--20th century."	2 sound cassettes (2 hours); Transcript (29 leaves)	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"Al From Oral History Interview, Mss. 4700.1199, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by Louisiana State University in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
Gillis Long Oral History Project	"Sargent Shriver oral history interview, 1987"	"Shriver, Sargent, 1915-2011"	1987	"Huey, Gary, -1946"	"Shriver discusses Gillis Long's political skills, his support for civil rights and its influence on his success in Louisiana politics, his work within the Democratic Party and on the House Rules Committee, his relationships with other representatives, especially Richard Bolling, and Long's voting patterns."	http://lib.lsu.edu/services/oralhistory/abstracts/gillis/Shriver_Sargent.pdf	"Sargent Shriver organized and directed the Peace Corps between 1948 and 1961, served as U.S. Ambassador to France between 1968 and 1970, and was candidate for Vice President of the United States in 1972.  He married Eunice Mary Kennedy, daughter of Joseph and Rose Fitzgerald Kennedy, in 1953.  Gillis Long (1923-1985) was representative for the 8th U.S. Congressional District of Louisiana in 1963-1965 and 1973-1985.  He ran unsuccessfully for governor of Louisiana in 1964 and 1971."	"Shriver, Sargent, 1915-2011--Interviews.; Long, Gillis William, 1923-1985.; Bolling, Richard, 1916-1991.; United States.--Congress.--House.--Committee on Rules.; Democratic Party (U.S.); African Americans--Civil rights--Louisiana.; Louisiana--Politics and government--1951-; Louisiana--Race relations--Political aspects--History--20th century."	1 sound cassette (1 hour); Transcript (19 leaves)	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"Sargent Shriver Oral History Interview, Mss. 4700.1200, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by the interviewer and interviewee and/or their heirs in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
Gillis Long Oral History Project	"John Camp oral history interview, 1987"	"Camp, John A., "	1987	"Huey, Gary, -1946"	"Camp discusses Gillis Long's two gubernatorial campaigns; Long's positions on civil rights, education, and business; his work in Congress; Camp's attending international economic conferences with Long; American foreign relations with Libya; Long's work in Congress on issues of energy, oil, and gas; and Camp's ten year friendship with Gillis Long."	http://lib.lsu.edu/services/oralhistory/abstracts/gillis/Camp_John.pdf	John Camp was a Louisiana politician who worked on Gillis Long's two gubernatorial campaigns.  Gillis Long (1923-1985) was representative for the 8th U.S. Congressional District of Louisiana in 1963-1965 and 1973-1985.  He ran unsuccessfully for governor of Louisiana in 1964 and 1971.	"Camp, John A.--Interviews.; Long, Gillis William, 1923-1985.; African Americans--Civil rights--Louisiana.; Energy policy--Political aspects--United States.; Louisiana--Politics and government--1951-; Louisiana--Race relations--Political aspects--History--20th century.; United States--Foreign economic relations--History--20th century.; United States--Foreign relations--Libya--History--20th century."	2 sound cassettes (2 hours); Transcript (34 leaves)	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"John Camp Oral History Interview, Mss. 4700.1202, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by the interviewer in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
Gillis Long Oral History Project	"Leo Coco and Gene Smith oral history interview, 1987"	"Coco, Leo, "	1987	"Smith, Gene; Huey, Gary, -1946"	"Leo Coco and Gene Smith discuss working on Gillis Long's Congressional staff, individual staffers, Long's relationship with the mass media, Long's personality, his work within the Democratic Party, his political habits and abilities, and his health."	http://lib.lsu.edu/services/oralhistory/abstracts/gillis/Coco_&_Smith.pdf	Leo Coco and Gene Smith were members of Gillis Long's staff beginning in the late 1970s.  Gillis Long (1923-1985) was representative for the 8th U.S. Congressional District of Louisiana in 1963-1965 and 1973-1985.  He ran unsuccessfully for governor of Louisiana in 1964 and 1971.	"Coco, Leo--Interviews.; Smith, Gene--Interviews.; Long, Gillis William, 1923-1985.; United States.--Congress.--House--Officials and employees.; Democratic Party (U.S.); Louisiana--Politics and government--1951-"	2 sound cassettes (2 hours); Transcript (48 leaves)	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"Leo Coco and Gene Smith Oral History Interview, Mss. 4700.1203, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by the interviewees and interviewer and/or their heirs in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
Hurricane Betsy Survivors Oral History Project	"Dolores D. Parker oral history interview, 2003"	"Parker, Dolores D., -1937"	2003	"Parker, Raymond, -1958; Mwendo, Nilima,"	"Parker describes her childhood in various cities in Louisiana, attending her segregated African-American high school in New Orleans in the 1950s, her positions at various schools in New Orleans in the 1960s through 1991, raising four children on her own after she divorced her husband, the Lower Ninth Ward neighborhood before and after Hurricane Betsy, her family's experiences during the hurricane, and their rebuilding process."	http://lib.lsu.edu/services/oralhistory/abstracts/hurricanebetsy/Parker_Dolores_T3342.abs.pdf	"Dolores D. Parker was born in Bayou Goula, La.  The daughter of a minister, she grew up moving around the state.  She graduated from Clark High School in New Orleans then earned a B.A. degree in elementary education from Dillard.  She taught in New Orleans public schools for 32 years and taught reading in an adult education program.  She is the mother of four children: Raymond, Raynelle, Raynette, and Raynard.  Raymond, who also contributes to this interview, is her oldest child."	"Parker, Dolores D., 1937---Interviews.; Parker, Raymond, 1958---Interviews.; African American neighborhoods--Louisiana--New Orleans.; African American teachers--Louisiana--New Orleans.; African Americans--Louisiana--New Orleans--Social life and customs.; Disaster relief--Louisiana--New Orleans.; Disaster victims--Louisiana--New Orleans.; Evacuation of civilians--Louisiana--New Orleans.; Hurricane Betsy, 1965.; Hurricanes--Louisiana--New Orleans.; Levees--Louisiana--New Orleans.; Public schools--Louisiana--New Orleans.; Ninth Ward (New Orleans, La.)"	"1 sound cassette (1 hour, 34 minutes); Abstract (3 leaves); Transcript (91 leaves)"	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"Dolores D. Parker Oral History Interview, Mss. 4700.1688, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by interviewer and Louisiana State University in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
Hurricane Betsy Survivors Oral History Project	"Dorothy Mackey Prevost oral history interview, 2003"	"Prevost, Dorothy Mackey, -1931"	2003	"Mwendo, Nilima,"	Prevost discusses her childhood in the Lower Ninth Ward where the neighbors grew and exchanged food with each other.  She talks about the schools she attended and segregated schooling and activities in New Orleans in the 1930s and 1940s.  She primarily discusses her experience during Hurricane Betsy and the refurbishing of her home after the storm.  She talks about changes in the Ninth Ward after Hurricane Betsy and the decline of the neighborhood in recent years.	http://lib.lsu.edu/services/oralhistory/abstracts/hurricanebetsy/Prevost%20_Dorothy_T3339.abs.pdf	"Dorothy Mackey Prevost is a New Orleans native and survivor of Hurricane Betsy.  She lived in the Lower Ninth Ward her entire life, attended McCarty Elementary School and Booker T. Washington High School, and worked as a seamstress.  She married Charles Prevost in 1953 and had two daughters, Tessie and Tory.  Tessie was one of the first African-American students to integrate McDonogh 19 School in the 1960s."	"Prevost, Dorothy Mackey, 1931---Interviews.; Schiro, Victor H.--(Victor Hugo), 1904-1992.; United States.--Small Business Administration.; African American neighborhoods--Louisiana--New Orleans.; African Americans--Louisiana--New Orleans--Social life and customs.; African Americans--Segregation--Louisiana--New Orleans.; Disaster relief--Louisiana--New Orleans.; Disaster victims--Louisiana--New Orleans.; Evacuation of civilians--Louisiana--New Orleans.; Hurricane Betsy, 1965.; Hurricanes--Louisiana--New Orleans.; Levees--Louisiana--New Orleans.; Ninth Ward (New Orleans, La.)"	"1 sound cassette (1 hour, 30 minutes); Abstract (3 leaves); Transcript (72 leaves)"	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"Dorothy Mackey Prevost Oral History Interview, Mss. 4700.1686, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by interviewer and Louisiana State University in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
Hurricane Betsy Survivors Oral History Project	"Ida Belle Joshua oral history interview, 2003"	"Joshua, Ida Belle, -1927"	2003	"Mwendo, Nilima,"	"Ida Belle Joshua tells of arriving in the Ninth Ward neighborhood in 1949 and watching it develop as a community.  She described the community as African Americans working in civil service positions with dreams and hopes for the future.  Joshua provides details of Hurricane Betsy's devastation, rescue efforts, federal assistance, and community activism.  She gives her opinion on what should have been done differently following Hurricane Betsy and discusses the recent deterioration of the community because of the lack of activism and community effort."	http://lib.lsu.edu/services/oralhistory/abstracts/hurricanebetsy/Joshua_IdaBelle_T3336.abs.pdf	"Ida Belle Joshua is a native of New Orleans, La., and survivor of Hurricane Betsy.  She moved to the Ninth Ward in 1949 with her husband, Isaac Joshua Sr.  They have three children.  Before Hurricane Betsy, she worked as a hair dresser.  After the storm, she attended the University of New Orleans, Atlanta University (now Clark Atlanta University), and Tulane University and worked as a teacher's aide, social worker, and adjunct professor at Xavier University.  She is a former president of the Lower Ninth Ward Neighborhood Council and Area Beautification Committee and has been an advocate for improvement of the Ninth Ward community.  After Hurricane Katrina in 2005, she temporarily relocated to Lafayette, La.  She intended to return to her home and had begun having it repaired before it was demolished.  She and several other residents sued the city of New Orleans and achieved their goal of preventing the city from demolishing homes without proper notification and hearings for homeowners."	"Joshua, Ida Belle, 1927---Interviews.; Copeland, Sherman.; Alfred Lawless Elementary School (New Orleans, La.); African American neighborhoods--Louisiana--New Orleans.; African Americans--Louisiana--New Orleans--Social conditions.; Community activists--Louisiana--New Orleans.; Disaster relief--Louisiana--New Orleans.; Disaster victims--Louisiana--New Orleans.; Grants-in-aid--Louisiana--New Orleans.; Hurricane Betsy, 1965.; Hurricanes--Louisiana--New Orleans.; Political participation--Louisiana--New Orleans.; Urban renewal--Louisiana--New Orleans.; Ninth Ward (New Orleans, La.)"	"1 sound cassettes (1 hour, 34 minutes); Abstract (2 leaves); Transcript (57 leaves)"	Louisiana State University Libraries Special Collections (http://www.lib.lsu.edu/special)	"Ida Belle Joshua Oral History Interview, Mss. 4700.1684, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La."	Physical rights are retained by the LSU Libraries. Copyright is retained by interviewer and Louisiana State University in accordance with U.S. copyright laws.	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html Mention the ""Item number"" or ""Item URL"" in your request. "
