SortOrder	Title	Compound	Date	Photographer	Subjects	Notes	Original Format/Size	Digital Format	Repository	Repository Collection	Repository Collection Guide	Restrictions	Collection Source	Cite As	Relation	Contact and Ordering Information	Item URL	Item Number	Collection URL	Type	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
11	Levee scene-Melville  c. Ewing Inc M-121  7-18-27	No	1927 July 18	J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Mississippi River--Floods--Photographs; Ewing, Inc.; Melville (La.)--Photographs; Levees--Louisiana--Melville--Photographs	none	Gelatin silver prints; 5.00" x 7.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730007b	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/440	440	441.jpg	/LSU_MRF/image/441.jpg
12	Near Geismar-Wall built to strengthen old levee where slide occurred. May 18, 1927	No	1927 May 25	J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Mississippi River--Floods--Photographs; Ewing, Inc.; Geismar (La.)--Photographs; Levees--Louisiana--Geismar--Photographs	G-66-9 Ewing Inc., Baton Rouge, May 25, 1927	Gelatin silver prints; 8.00" x 10.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730009	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/441	441	442.jpg	/LSU_MRF/image/442.jpg
13	O.S.T.	No	1926 Dec. 2	J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Mississippi River--Floods--Photographs; Ewing, Inc.	Ewing Inc L. H. 172 12-2-26 View of unpaved road leading to a bridge.  Taken before flood.	Gelatin silver prints; 8.00" x 10.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730010	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/442	442	443.jpg	/LSU_MRF/image/443.jpg
14	Hauling dirt off highway Melville, La.	No	1927 Sept. 8	J. G. Ewing	Mississippi River--Floods--Photographs; Floods--Louisiana--History--20th century--Photographs; Ewing, Inc.; Melville (La.)--Photographs	&#169; M-147 Ewing Inc., Baton Rouge, September 8, 1927	Gelatin silver prints; 5.00" x 7.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730011a	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/443	443	444.jpg	/LSU_MRF/image/444.jpg
15	Catholic church-Melville, La. Note water marks	No	1927 Sept. 8	J. G. Ewing	Mississippi River--Floods--Photographs; Floods--Louisiana--History--20th century--Photographs; Melville (La.)--Photographs; Church buildings--Flood damage--Photographs	&#169; M-148 Ewing Inc., Baton Rouge, September 8, 1927. Interior of damaged church	Gelatin silver prints; 5.00" x 7.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730011b	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/444	444	445.jpg	/LSU_MRF/image/445.jpg
16	Crevasse-Melville, La.	No	ca. 1927	Ascribed to J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Melville (La.)--Photographs; Crevasses--Louisiana--Melville--Photographs; Mississippi River--Floods--Photographs	M-30 Enlargement of 4373003c	Gelatin silver prints; 9.50" x 14.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730013	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/445	445	446.jpg	/LSU_MRF/image/446.jpg
17	In front of Belle Helene Plantation	No	1927 Apr. 25	J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Belle Helene Plantation (La.)--Photographs; Levees--Louisiana--Photographs; Ewing, Inc.; Mississippi River--Floods--Photographs	66-5 Ewing Inc., Baton Rouge, April 25, 1927. Photo of workers, some on barges, rebuilding levee	Gelatin silver prints; 8.00" x 10.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730015	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/446	446	447.jpg	/LSU_MRF/image/447.jpg
18	Lone Star Route. Monroe-Alexandria Highway. Replaced north span on Ouachita River Bridge, Columbia, Caldwell Parish.	No	1925 Apr. 1	J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Bridges--Louisiana--Photographs; Mississippi River--Floods--Photographs; Ewing, Inc.	11518-40 Ewing Inc. 4-1-25 View of bridge span taken before flood. Cut order	Gelatin silver prints; 8.00" x 10.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730016	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2008-01-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/447	447	448.jpg	/LSU_MRF/image/448.jpg
19	Jefferson highway Red Cross, La.	No	1927 Sept. 8	J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Ewing, Inc.; Mississippi River--Floods--Photographs; Railroads--Louisiana--Flood damage--Photographs; Red Cross (La.)--Photographs; Jefferson Highway (Red Cross, La.)--Photographs	&#169; M-157 Ewing Inc., Baton Rouge, September 8, 1927. View of washed-out area beneath railroad track	Gelatin silver prints; 5.00" x 7.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730017a	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/448	448	449.jpg	/LSU_MRF/image/449.jpg
20	Rebuilding levee Melville, La.	No	1927 Sept. 8	J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Levees--Louisiana--Photographs; Melville (La.)--Photographs; Ewing, Inc.; Mississippi River--Floods--Photographs	&#169; M-158 Ewing Inc., Baton Rouge, September 8, 1927.	Gelatin silver prints; 5.00" x 7.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730017b	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/449	449	450.jpg	/LSU_MRF/image/450.jpg
