Title	Author	Century	Date	Origin	Contents	Illustration	Scripts	Scribe/artists	Current location	Description	Bibliographical references	Publications about	Associated names	Alternative title(s)	Language	Genres	Facsimile Publisher	Extent	Call Number	Contributors	Publisher	Type	Digital Format	Repository	Coverage-Spatial	Coverage-Temporal	Cataloger	Cataloged Date	Object File Name	Viewer Information	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	Restrictions	Contact and Ordering Information	Item URL	Collection URL	Dates	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 173v																																									E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF			2008-10-14	2008-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/342	342	343.jpg	/MMF/image/343.jpg
Page 175v																																									E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF			2008-10-14	2008-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/343	343	344.jpg	/MMF/image/344.jpg
Il Codice Squarcialupi		15th century	1410-1415	Florence, Italy	Anthology of sacred and secular music	Several full-page illuminations with extensive use of gold; decorative capitals throughout	Gothic	Scriptorium of Santa Maria degli Angeli	Biblioteca Laurenziana di Firenze, Ms. Mediceo Palatino 87 (http://www.bml.firenze.sbn.it/index_ing.htm )	The Squarcialupi Codex is one of the most notable fifteenth-century Italian music anthologies. Its 300 pieces represent nearly all of the most renowned composers of the fourteenth century.    The codex is richly illuminated with gold and pigment. The miniatures and illuminations originated in the Florentine scriptorium of Santa Maria degli Angeli between 1410 and 1415. An inscription states that the codex once belonged to the Florentine organist Antonio Squarcialupi (1417-1480). It was later owned by Giuliano de’ Medici and subsequently passed to the Palatine Library; at the end of the eighteenth century it was transferred together with other volumes to the Laurentian Library.					Italian; Latin		Firenze: Giunti Barbera, 1992	1 v.  Introduction; The Squarcialupi Codex: An Edition of Trecento Songs; Inventory of the Squarcialupi Codex; The Biographies; The Squarcialupi Codex Master; The Miniatures; The Music; The Poetic Texts; The Laude Set to the Music of the Squarcialupi Codex; The Musical Notation; Bibliography	Rare M2 .S72 1992 FLAT			Text		Louisiana State University Libraries, Special Collections, (http://www.lib.lsu.edu/special)					mm00010											Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF	1405, 1406, 1407, 1408, 1409, 1410, 1411, 1412, 1413, 1414, 1415, 1416, 1417, 1418, 1419, 1420		2015-02-11	2015-02-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/344	344	345.cpd	/MMF/image/345.cpd
Page 008v																																									E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF			2008-10-14	2008-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/345	345	346.jpg	/MMF/image/346.jpg
Page 041r																																									E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF			2008-10-14	2008-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/346	346	347.jpg	/MMF/image/347.jpg
Vergilius Vaticanus		5th century	ca. 400	Rome	Virgil’s Aeneid and Georgics	50 illustrations	Rustic capitals	Scribe unknown; at least three different unidentified artists	Biblioteca Apostolica, Vatican, Cod. Vat. Lat. 3225 (https://www.vatlib.it/home.php )	The Vergilius Vaticanus is the best preserved example of a book illustrated in the Greco-Roman tradition and constitutes one of the oldest sources of Virgil’s Aeneid.  Produced in Rome around 400 A.D., it is also the oldest of the three surviving classical manuscripts containing illustrations of classical literature (the others being the Vergilius Romanus and the Ambrosian Iliad).     The text is interspersed with 50 miniatures, the color illustrations of which exhibit parallels to Greek-influenced wall paintings at Pompeii. Only 76 leaves of the manuscript survive, containing fragments of Virgil’s Georgics in addition to the Aeneid.    If it contained all of Virgil’s works, the manuscript originally would have had about 440 leaves and 280 illustrations. The text was written by a single scribe in rustic capitals with no separation between words. The illustrations are bordered by ornate golden frames and include landscapes and architectural details.     The manuscript was probably made for a pagan noble. Annotations indicate it was in Italy until the 7th century and in Tours in the second quarter of the 9th century. A French scribe made further notes around 1400.					Latin		Graz: Akademische Druck- u. Verlagsanstalt, 1980	1 v.	Rare PA6804 .A73 1980			Text		Louisiana State University Libraries, Special Collections, (http://www.lib.lsu.edu/special)					mm00011											Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF	395, 396, 397, 398, 399, 400, 401, 402, 403, 404, 405		2015-02-11	2015-02-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/348	348	349.cpd	/MMF/image/349.cpd
Page 001-1r																																									E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF			2008-10-14	2008-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/349	349	350.jpg	/MMF/image/350.jpg
Page 002-2r																																									E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF			2008-10-14	2008-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/350	350	351.jpg	/MMF/image/351.jpg
Page 011-1r																																									E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF			2008-10-14	2008-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/351	351	352.jpg	/MMF/image/352.jpg
Page 029-8v																																									E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF			2008-10-14	2008-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/352	352	353.jpg	/MMF/image/353.jpg
The Canterbury Tales: The New Ellesmere Chaucer Facsimile		15th century	ca. 1400	England	Fictional account of a pilgrimage to Canterbury, in prose and verse	Floriated borders; miniature portraits of storytellers	Bastard secretary	Unknown	Huntington Library, San Marino, California (http://www.huntington.org/ )	This manuscript, known as the Ellesmere Chaucer, was probably produced soon after 1400. It contains 240 parchment leaves, 232 of which are the text of the Canterbury Tales. The remaining eight leaves were originally blank, lined pages that now contain early miscellaneous notes. The text was written by one scribe in an English cursive script.     Probably made and bound in London, the manuscript measures 16 by 11 inches and is elegantly decorated. Seventy-one pages contain floriated borders, and most pages bear gold leaf.  Portraits of storytellers are also of interest.  The best known decorative feature of the Ellesmere manuscript is a set of twenty-three equestrian portraits of the storytellers (including Chaucer) who tell their tales during a sixty-mile pilgrimage from London to the Shrine of St. Thomas à Becket in Canterbury Cathedral.     Although it is not certain who commissioned the manuscript, Chaucer’s son Thomas may have been responsible. Some time after completion, it passed into the hands of Thomas de Vere, twelfth earl of Oxford, and eventually to Sir Thomas Egerton, who, under James I, became Baron Ellesmere.    Rebound in 1802, the manuscript was first made available to scholars in 1846, although it remained at Bridgewater House, the Edgerton family estate.  Henry E. Huntington				The Ellesmere Chaucer			Tokyo: Yushudo Co.; San Marino, California: Huntington Library Press, 1995	1 portfolio	Rare PR1866 .W76 1995 FLAT			Text		Louisiana State University Libraries, Special Collections, (http://www.lib.lsu.edu/special)					mm00012											Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF	1395, 1396, 1397, 1398, 1399, 1400, 1401, 1402, 1403, 1404, 1405		2015-02-11	2015-02-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/353	353	354.cpd	/MMF/image/354.cpd
Codex Aureus		8th century	ca. 750-800	Southern England, possibly Canterbury	New Testament Gospels	Originally contained four portraits of the evangelists (only Matthew and John survive); illuminated capitals; Canon Tables contain numerous roundels with religious figures.	Uncial	Unknown	Royal Library, Stockholm, Sweden (http://www.kb.se/english/ )	The portrait pages exhibit both Byzantine/Italian and Celtics styles, while the Canon Tables are primarily Celtic in design.  Overall, the manuscript’s styles is similar to that of the Vespasian Psalter, although its use of gold, unusual in other British manuscripts of this period, makes it stand out.  Half of the pages have been dyed purple, with text in gold, silver and white; on the plain vellum pages, the text is in black, red and gold.  Other colors found are red, blue, yellow, green and brown.      The Codex Aureus has travelled widely. In the ninth century it was stolen by the Vikings and ransomed by Ealdorman Aelfred, who then donated it to Christ Church, Canterbury. In the sixteenth and seventeenth centuries it was in Spain, and in 1690 it was bought for the Swedish royal collection in Stockholm and returned to Scandinavia.				Codex Aureus (Gospels)	Latin		Copenhagen: Rosenkilde and Bagger, 2001-2002	V. 1, Introduction (Quiring Diagrams; Date and origin; The Text; Dimensions, Format and Fabric; Structure and Preparation; The Script and the Writing; The Artwork and the Artists; The History of the Manuscript; Notes; Bibliography); Illustrations; V. 2, facsimile	Rare BS2552 .C64 G36 2001 FLAT, v. 1-2	Scribe/artists:  Unknown	Copenhagen: Rosenkilde and Bagger, 2001-2002.	Text		Louisiana State University Libraries, Special Collections, (http://www.lib.lsu.edu/special)					mm00013											Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF	745, 746, 747, 748, 749, 750, 752, 753, 754, 755, 756, 757, 758, 759, 760, 761, 762, 763, 764, 765, 766, 767, 768, 769, 770, 771, 772, 773, 774, 775, 776, 777, 778, 779, 780, 781, 782, 783, 784, 785, 786, 787, 788, 789, 790, 791, 792, 793, 794, 795, 796, 797, 798, 799, 800, 801, 802, 803, 804, 805		2015-02-11	2015-02-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/358	358	359.cpd	/MMF/image/359.cpd
Page 114r																																									E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF			2008-10-14	2008-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/359	359	360.jp2	/MMF/image/360.jp2
Page 138r																																									E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF			2008-10-14	2008-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/360	360	361.jpg	/MMF/image/361.jpg
Page 141r																																									E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF			2008-10-14	2008-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/361	361	362.jpg	/MMF/image/362.jpg
Page 163r																																									E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF			2008-10-14	2008-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/362	362	363.jpg	/MMF/image/363.jpg
Libro de los medicamentos simples		15th century	ca. 1470	France	Text of De medicinis simplicibus	386 full-page illustrations	French bastarde; scolia in italic	Robinet Testard?	National Library of Russia (ms. Fr. F.v.vi.1) (http://www.nlr.ru/eng/ )	Mattheus Platearius’s well-known and lavishly decorated medical treatise is made up of 328 pages, containing 118 whole-page miniatures and 2 quarter-page miniatures. The work, originally written in the mid 12th century, is a compendium of classical knowledge related to the use of animal, vegetable and mineral substances to cure or relieve disease.     The text is divided into five parts: herbs and flowers, trees and their gums and resins, metals and minerals, animal products, and other materials.  It is followed by 386 full-page illustrations. In addition to the core text, in French, are chapters from works of later periods, during which knowledge of medicine increased.     Of interest are annotations by 16th-century physicians, voicing their distaste for some of the vernacular terms in the codex, and replacing them with Greek and Latin words.  The manuscript is also interesting for its depiction of plants in diagrammatic (typical of the Middle Ages) as well as realistic styles (foreshadowing the Renaissance).					French		Barcelona: M. Moleiro Editor, S.A., 2000	Facsimile only	Rare RS81 .P614 2000 FLAT			Text		Louisiana State University Libraries, Special Collections, (http://www.lib.lsu.edu/special)					mm00014											Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF	1465, 1466, 1467, 1468, 1469, 1470, 1471, 1472, 1473, 1474, 1475		2015-02-11	2015-02-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/363	363	364.cpd	/MMF/image/364.cpd
Page 015r																																									E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF			2008-10-14	2008-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/364	364	365.jpg	/MMF/image/365.jpg
Page 092r																																									E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF			2008-10-14	2008-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/365	365	366.jpg	/MMF/image/366.jpg
Beato de San Millán		10th/11th century	ca. 1000	Rioja, Spain	Commentary on the Apocalypse	48 miniatures	Uncial	Scriptorium of Rioja monastery	Library of the Royal Academy of History, Madrid, Spain (http://www.rah.es/ )	The codex was written in two phases.  The first hand can be dated late 10th or early 11th century, and, along with the quality of the parchment, is evidence of a lack of material resources resulting from Al Mansur’s campaigns against Rioja at the time of the manuscript’s production; one of his last raids destroyed San Millán Monastery.  The manuscript was completed in the second half of the 11th century, when the great Riojan monastery was enjoying economic prosperity; this was done by a number of hands, less skillful than the first, and showing clear Carolingian influence.  The blank spaces left by the first copyist were filled with 48 miniatures, exhibiting two different techniques:  Mozarabic (to folio 92) and Romanesque.  The portion written in the late 11th century contains only one miniature.     According to a note on folio 58, the codex was copied by Albinus in the time of Benitus, the eighth abbot of the monastery, in the year 670; it is now known, however, that this is a 17th-c					Latin		Madrid: Testimonio Compañía Editorial, 2002	1 v.	Rare ND3361 .R52 B43 2002 FLAT			Text		Louisiana State University Libraries, Special Collections, (http://www.lib.lsu.edu/special)					mm00015											Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF	995, 996, 997, 998, 999, 1000, 1001, 1002, 1003, 1004, 1005		2015-02-11	2015-02-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/366	366	367.cpd	/MMF/image/367.cpd
Page 005																																									E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		http://louisdl.louislibraries.org/cdm4/index_MMF.php?CISOROOT=%2FMMF			2008-10-15	2008-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MMF/id/373	373	374.jpg	/MMF/image/374.jpg
