Title	Creator	Contributors	Subject(s)	Description	Notes	Publisher	Date	Type	Series	Digital Reproduction Information	Item URL	Repository	Language	Relation	Coverage-Spatial	Coverage-Temporal	Restrictions	Cataloger	Cataloged Date	Object File Name	Contact and Ordering Information	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	Collection URL	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 9										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-03-16	2009-03-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/37	37	38.jpg	/p120701coll24/image/38.jpg
Page 10										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-03-16	2009-03-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/38	38	39.jpg	/p120701coll24/image/39.jpg
Page 11										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-03-16	2009-03-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/39	39	40.jpg	/p120701coll24/image/40.jpg
Page 12										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-03-16	2009-03-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/40	40	41.jpg	/p120701coll24/image/41.jpg
Page 13										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-03-16	2009-03-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/41	41	42.jpg	/p120701coll24/image/42.jpg
Page 14										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-03-16	2009-03-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/42	42	43.jpg	/p120701coll24/image/43.jpg
Page 15										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-03-16	2009-03-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/43	43	44.jpg	/p120701coll24/image/44.jpg
Page 16										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-03-16	2009-03-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/44	44	45.jpg	/p120701coll24/image/45.jpg
Page 17										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-03-16	2009-03-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/45	45	46.jpg	/p120701coll24/image/46.jpg
Page 18										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-03-16	2009-03-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/46	46	47.jpg	/p120701coll24/image/47.jpg
Page 19										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-03-16	2009-03-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/47	47	48.jpg	/p120701coll24/image/48.jpg
Page 20										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-03-16	2009-03-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/48	48	49.jpg	/p120701coll24/image/49.jpg
Page 21										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-03-16	2009-03-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/49	49	50.jpg	/p120701coll24/image/50.jpg
Page 22										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-03-16	2009-03-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/50	50	51.jpg	/p120701coll24/image/51.jpg
Page 23										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-03-16	2009-03-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/51	51	52.jpg	/p120701coll24/image/52.jpg
Page 24										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-03-16	2009-03-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/52	52	53.jpg	/p120701coll24/image/53.jpg
Page 25										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-03-16	2009-03-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/53	53	54.jpg	/p120701coll24/image/54.jpg
Page 26										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-03-16	2009-03-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/54	54	55.jpg	/p120701coll24/image/55.jpg
Page 27										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-03-16	2009-03-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/55	55	56.jpg	/p120701coll24/image/56.jpg
Page 28										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-03-16	2009-03-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/56	56	57.jpg	/p120701coll24/image/57.jpg
Page 29										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-03-16	2009-03-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/57	57	58.jpg	/p120701coll24/image/58.jpg
Dedication exercises of the new campus and buildings : Louisiana State University and Agricultural and Mechanical College, April 30 to May 2, 1926.			Louisiana State University Campus (Baton Rouge, La. : 1926- ); Louisiana State University and Agricultural and Mechanical College--Buildings.	Program for the dedication exercises of the present LSU campus with illustrations of central campus buildings.			1926	image	Programs	Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF. Enhanced with PhotoShop 6.0. Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections	en				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-03-16	2009-08-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/58	58	59.cpd	/p120701coll24/image/59.cpd
A bicentennial convocation observing the 50th anniversary of the dedication of the present campus, Louisiana State University, April 30th, 1976.	Louisiana State University (Baton Rouge, La.)		Louisiana State University (Baton Rouge, La.)--Anniversaries, etc.; Louisiana State University Campus (Baton Rouge, La. : 1926- )	Program for the convocation observing the 50th anniversary of the dedication of the present campus of Louisiana State University on April 30, 1976.			1976	image	Programs	Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF. Enhanced with PhotoShop 6.0. Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections	en				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-03-17	2009-09-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/70	70	71.cpd	/p120701coll24/image/71.cpd
Centennial celebration : Louisiana State University College of Education symposium.	Louisiana State University and Agricultural and Mechanical College. College of Education.		Public schools--Louisiana--Congresses.; Louisiana State University and Agricultural and Mechanical College--Centennial celebrations, etc.	A program for a symposium on the past, present, and future of public education in Louisiana held on April 8, 1960.	Cover title.		1960	text	Programs		See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections	en				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-03-17	2009-08-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/74	74	75.cpd	/p120701coll24/image/75.cpd
