Title	Date	Summary	Author	Index Terms	Author's Biographical Information	Addressee's Biographical Information	Finding Aid	Cite as	Repository	Transcriptions/Translations Note	Restrictions	Donor Information	Contact and Ordering Information	Item URL	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
duplantierf01012e_Translation																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/10	10	11.pdf	/p16313coll34/image/11.pdf
Concitoyen Desvignes Cousin to Monsieur Pascal, 1792 Nov. 02	1792-11-02	Concitoyen Desvignes Cousin, Lyon, France, provides Monsieur Pascal, Voiron, France, an excerpt from Jacques [Tournier? Tourine?]’s July 18, 1792, letter from New Orleans describing Claude Trénonay's death.  The quote states that the victim was supping with his manager, his surgeon, and his business manager when one of his male slaves, spying through a window, shot Trénonay dead without saying a word.  The account relates that the slave escaped but returned to his cabin the following night and hung himself.  The statement records that the presence of accomplices is not known.  The value of Trénonay's estate is given and reference is made to the deceased’s brother in Paris (who was 'trésorier du Receveur des Finances') and 'another [brother] in Dauphiné with a sister.'  Below the writer's signature appears 'ancien hôtel d’artois #8.'	Cousin, Desvignes.	Trénonay, Jean Claude, d. 1792--Death and burial.; Murder--Louisiana--Pointe Coupee Parish.; Slaveholders--Violence against--Louisiana--Pointe Coupee Parish.; Slaves--Louisiana--Pointe Coupee Parish.			http://www.lib.lsu.edu/special/findaid/5060.pdf	Armand Duplantier Family Letters, Mss. 5060, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special ).	The transcriptions and translations remain true to the nonstandard grammar, punctuation, and spelling of the original documents, with only minimal corrections made in isolated instances for the sake of clarity.	Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	The Armand Duplantier Family Letters were given by the descendants of Guy Antoine Allard Duplantier, elder brother of Armand Duplantier, to their Louisiana cousins, and subsequently donated to the LSU Libraries.	See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request. E-mail lsudiglib@lsu.edu with questions or comments.			2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/11	11	12.cpd	/p16313coll34/image/12.cpd
Page 1																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/12	12	13.jp2	/p16313coll34/image/13.jp2
Page 2																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/13	13	14.jp2	/p16313coll34/image/14.jp2
Page 3																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/14	14	15.jp2	/p16313coll34/image/15.jp2
Page 4																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/15	15	16.jp2	/p16313coll34/image/16.jp2
duplantierf01003e_Transcription																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/16	16	17.pdf	/p16313coll34/image/17.pdf
duplantierf01003f_Translation																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/17	17	18.pdf	/p16313coll34/image/18.pdf
Marc Antoine le Vaillant du Chastelet to _____, 1780 Oct. 01	1780-10-01	Marc Antoine le Vaillant du Chastelet, Kingstown, St. Vincent, informs _________ of Antoine de Trénonay's expiration, attaching the extract concerning the September 10, 1780, death.  The author states that he had been sick with the same illness that killed Trénonay and that he and the deceased had been close comrades for 24 years.  He claims that he is still too weak to give a full account of Trénonay's affairs but briefly gives some indication of them.  On the back appears in another hand, 'Papers on the death of Monferra.'	Du Chastelet, Marc Antoine le Vaillant.	Trénonay, Antoine de, d. 1780--Death and burial.			http://www.lib.lsu.edu/special/findaid/5060.pdf	Armand Duplantier Family Letters, Mss. 5060, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special ).	The transcriptions and translations remain true to the nonstandard grammar, punctuation, and spelling of the original documents, with only minimal corrections made in isolated instances for the sake of clarity.	Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	The Armand Duplantier Family Letters were given by the descendants of Guy Antoine Allard Duplantier, elder brother of Armand Duplantier, to their Louisiana cousins, and subsequently donated to the LSU Libraries.	See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request. E-mail lsudiglib@lsu.edu with questions or comments.			2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/18	18	19.cpd	/p16313coll34/image/19.cpd
Page 1																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/19	19	20.jp2	/p16313coll34/image/20.jp2
Page 2																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/20	20	21.jp2	/p16313coll34/image/21.jp2
Page 3																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/21	21	22.jp2	/p16313coll34/image/22.jp2
Page 4																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/22	22	23.jp2	/p16313coll34/image/23.jp2
duplantierf02019e_Transcription																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/23	23	24.pdf	/p16313coll34/image/24.pdf
duplantierf02019f_Translation																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/24	24	25.pdf	/p16313coll34/image/25.pdf
Armand Allard Duplantier to Eduvige Allard Duplantier, 1799 July 27	1799-07-27	Armand Allard Duplantier, New Orleans, writes his sister, Eduvige Allard Duplantier, Voiron, France, in a duplicate letter containing 'éduvige allard' in the address on the back.  He announces the birth of a daughter and recounts plans to swap children between his siblings in France.  In expressing concerns for his children's future, the writer describes himself as gray-haired, without much energy, and the same height as two of his sons, who still have not had a good education.  Duplantier considers his sons fit only for the plantations, which slavery especially renders troublesome.  He also brings up other hardships of fatherhood and marriage.	Duplantier, Armand, 1753-1827.	Duplantier, Armand, 1753-1827--Family.; French--Family relationships--Louisiana.; Colonists--Family relationships--Louisiana.; Boys--Louisiana--Social conditions.	Born in Voiron, France, on June 28, 1753, to Joseph Guy Allard du Plantier (1721-1801) and Jeanne Gabrielle Trénonay Allard du Plantier (ca. 1724-1797), Armand Gabriel Allard Duplantier ('Armand, Sr.') came to the Americas in 1778, attached to the Foix Regiment sent to support the American Revolution. He served as an aide-de-camp to General Lafayette. Mustered out of the service in 1780, he attempted to find a commission in the American forces under George Washington but was refused. At the invitation of his uncle Jean-Claude Trénonay, Armand traveled to Louisiana. He first intended to make the trip by sea, but was turned back by the events surrounding the siege of Charleston. He then made the voyage overland, starting in Fort Pitt (now Pittsburgh) and descending the Ohio River. His first expedition down the Ohio turned back under threat of capture by the Shawnee, allies of the British. The second attempt reached Vincennes safely, and from there, Armand gained the Mississippi River, arriving in Pointe Coupee Parish in March 1781. Armand married Augustine Gérard, his uncle's stepdaughter, in July 1781. She bore him seven children, only four of whom survived: Fergus Augustin Duplantier (1783-1844), Armand Allard Duplantier (1785-1862), Guy Allard Duplantier (1791-1835), and Augustine Eulalie Duplantier (1799-1864), wife of Louis Favrot (1788-1876).  Augustine Gérard Duplantier died in 1799 during an outbreak of yellow fever, shortly after giving birth to their surviving daughter.  Three years later, in 1802, Armand married Constance Rochon (d. 1840), widow of John Joyce (d. 1798), and through her gained possession of Magnolia Mound Plantation in Baton Rouge.  Constance bore him five more children: Euphémie Amelia Duplantier (1804-1826), wife of Anthony F. Peniston, Sr. (1796-1826), Augustin Duplantier (1805-1860), Didier Duplantier (1806-1835), Alberic Nicholas Duplantier (1808-1891), and Alfred Joseph Duplantier (1813-1892).  Beginning with the death of his uncle Jean-Claude Trénonay in 1792 and the complications in settling the estate, Armand was involved in continual legal and financial difficulties for the remainder of his life.  He dabbled in land speculation to augment the income from his plantation, but none of his schemes appears to have been successful. In addition, the United States government refused to recognize Spanish land grants in Louisiana, making it impossible for Armand to sell what land he owned before the Louisiana Purchase. With his debts mounting, his wife petitioned the courts for a separation of property in 1814. When Armand died in 1827, he was deeply in debt. His funeral procession included an honor guard from the local garrison in Baton Rouge, in recognition of his service in the American Revolution. Armand is buried in Highland Cemetery in Baton Rouge.		http://www.lib.lsu.edu/special/findaid/5060.pdf	Armand Duplantier Family Letters, Mss. 5060, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special ).	The transcriptions and translations remain true to the nonstandard grammar, punctuation, and spelling of the original documents, with only minimal corrections made in isolated instances for the sake of clarity.	Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	The Armand Duplantier Family Letters were given by the descendants of Guy Antoine Allard Duplantier, elder brother of Armand Duplantier, to their Louisiana cousins, and subsequently donated to the LSU Libraries.	See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request. E-mail lsudiglib@lsu.edu with questions or comments.			2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/25	25	26.cpd	/p16313coll34/image/26.cpd
Page 1																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/26	26	27.jp2	/p16313coll34/image/27.jp2
Page 2																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/27	27	28.jp2	/p16313coll34/image/28.jp2
Page 3																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/28	28	29.jp2	/p16313coll34/image/29.jp2
Page 4																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/29	29	30.jp2	/p16313coll34/image/30.jp2
duplantierf03024e_Transcription																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/30	30	31.pdf	/p16313coll34/image/31.pdf
duplantierf03024f_Translation																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/31	31	32.pdf	/p16313coll34/image/32.pdf
Armand Allard Duplantier to Eduvige Allard Duplantier, 1802 Jan. 28	1802-01-28	Armand Allard Duplantier, Baton Rouge, consoles his sister, Eduvige Allard Duplantier, Voiron, France, following their father's death, reassuring her that he intends to return to France with his children.  He briefly discusses property at Falque and La Rochette, France.  Duplantier defends his intentions of remarrying, speaking at length and favorably of both his late wife and his current female interest, a Mobile Creole.  The writer alludes to bad news concerning 'the dear little girl' ('la chère petite') and to Gariot's reporting that she was well.  The addresser tells the addressee of his daughter, 'I think you will have much trouble keeping her for your little Joseph.  Creole girls born in a hot country are precocious, and I fear she is becoming impatient.  That will be your affair!'  Duplantier mentions the 'Pennaillon' [sic.] and his Aunt Allard in the postscript.	Duplantier, Armand, 1753-1827.	Duplantier, Armand, 1753-1827--Family.; Duplantier, Constance Joyce.; French--Family relationships--Louisiana.; Colonists--Family relationships--Louisiana.; Remarriage--Louisiana.; Girls--Louisiana--Social life and customs.	Born in Voiron, France, on June 28, 1753, to Joseph Guy Allard du Plantier (1721-1801) and Jeanne Gabrielle Trénonay Allard du Plantier (ca. 1724-1797), Armand Gabriel Allard Duplantier ('Armand, Sr.') came to the Americas in 1778, attached to the Foix Regiment sent to support the American Revolution. He served as an aide-de-camp to General Lafayette. Mustered out of the service in 1780, he attempted to find a commission in the American forces under George Washington but was refused. At the invitation of his uncle Jean-Claude Trénonay, Armand traveled to Louisiana. He first intended to make the trip by sea, but was turned back by the events surrounding the siege of Charleston. He then made the voyage overland, starting in Fort Pitt (now Pittsburgh) and descending the Ohio River. His first expedition down the Ohio turned back under threat of capture by the Shawnee, allies of the British. The second attempt reached Vincennes safely, and from there, Armand gained the Mississippi River, arriving in Pointe Coupee Parish in March 1781. Armand married Augustine Gérard, his uncle's stepdaughter, in July 1781. She bore him seven children, only four of whom survived: Fergus Augustin Duplantier (1783-1844), Armand Allard Duplantier (1785-1862), Guy Allard Duplantier (1791-1835), and Augustine Eulalie Duplantier (1799-1864), wife of Louis Favrot (1788-1876).  Augustine Gérard Duplantier died in 1799 during an outbreak of yellow fever, shortly after giving birth to their surviving daughter.  Three years later, in 1802, Armand married Constance Rochon (d. 1840), widow of John Joyce (d. 1798), and through her gained possession of Magnolia Mound Plantation in Baton Rouge.  Constance bore him five more children: Euphémie Amelia Duplantier (1804-1826), wife of Anthony F. Peniston, Sr. (1796-1826), Augustin Duplantier (1805-1860), Didier Duplantier (1806-1835), Alberic Nicholas Duplantier (1808-1891), and Alfred Joseph Duplantier (1813-1892).  Beginning with the death of his uncle Jean-Claude Trénonay in 1792 and the complications in settling the estate, Armand was involved in continual legal and financial difficulties for the remainder of his life.  He dabbled in land speculation to augment the income from his plantation, but none of his schemes appears to have been successful. In addition, the United States government refused to recognize Spanish land grants in Louisiana, making it impossible for Armand to sell what land he owned before the Louisiana Purchase. With his debts mounting, his wife petitioned the courts for a separation of property in 1814. When Armand died in 1827, he was deeply in debt. His funeral procession included an honor guard from the local garrison in Baton Rouge, in recognition of his service in the American Revolution. Armand is buried in Highland Cemetery in Baton Rouge.		http://www.lib.lsu.edu/special/findaid/5060.pdf	Armand Duplantier Family Letters, Mss. 5060, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special ).	The transcriptions and translations remain true to the nonstandard grammar, punctuation, and spelling of the original documents, with only minimal corrections made in isolated instances for the sake of clarity.	Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	The Armand Duplantier Family Letters were given by the descendants of Guy Antoine Allard Duplantier, elder brother of Armand Duplantier, to their Louisiana cousins, and subsequently donated to the LSU Libraries.	See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request. E-mail lsudiglib@lsu.edu with questions or comments.			2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/32	32	33.cpd	/p16313coll34/image/33.cpd
Page 1																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/33	33	34.jp2	/p16313coll34/image/34.jp2
Page 2																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/34	34	35.jp2	/p16313coll34/image/35.jp2
Page 3																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/35	35	36.jp2	/p16313coll34/image/36.jp2
Page 4																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/36	36	37.jp2	/p16313coll34/image/37.jp2
duplantierf03028e_Transcription																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/37	37	38.pdf	/p16313coll34/image/38.pdf
duplantierf03028f_Translation																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/38	38	39.pdf	/p16313coll34/image/39.pdf
Armand Allard Duplantier to Eduvige Allard Duplantier, 1802 May 31	1802-05-31	Armand Allard Duplantier, announces to his sister, Eduvige Allard Duplantier, Voiron, France, that he is sending his sons Armand (age 17) and Guy to France with Dr. Giovellina.  He states that he has inoculated Guy as well as his daughter against smallpox.  Duplantier repeatedly refers to his brother, Guy, as 'Allard.'  He relates the effect that the uncertainty of the colony's future governance is having on Louisiana.  The addresser states that he is still undecided about remarrying.  In a postscript, he sends his regards to the 'Penaillon,' inquiring about the latter and asking, 'Is he still lazy like a monk?'	Duplantier, Armand, 1753-1827.	Duplantier, Armand, 1753-1827--Family.; French--Family relationships--Louisiana.; Colonists--Family relationships--Louisiana.; Remarriage--Louisiana.; Louisiana--Politics and government--To 1803.; Vaccination--Louisiana.	Born in Voiron, France, on June 28, 1753, to Joseph Guy Allard du Plantier (1721-1801) and Jeanne Gabrielle Trénonay Allard du Plantier (ca. 1724-1797), Armand Gabriel Allard Duplantier ('Armand, Sr.') came to the Americas in 1778, attached to the Foix Regiment sent to support the American Revolution. He served as an aide-de-camp to General Lafayette. Mustered out of the service in 1780, he attempted to find a commission in the American forces under George Washington but was refused. At the invitation of his uncle Jean-Claude Trénonay, Armand traveled to Louisiana. He first intended to make the trip by sea, but was turned back by the events surrounding the siege of Charleston. He then made the voyage overland, starting in Fort Pitt (now Pittsburgh) and descending the Ohio River. His first expedition down the Ohio turned back under threat of capture by the Shawnee, allies of the British. The second attempt reached Vincennes safely, and from there, Armand gained the Mississippi River, arriving in Pointe Coupee Parish in March 1781. Armand married Augustine Gérard, his uncle's stepdaughter, in July 1781. She bore him seven children, only four of whom survived: Fergus Augustin Duplantier (1783-1844), Armand Allard Duplantier (1785-1862), Guy Allard Duplantier (1791-1835), and Augustine Eulalie Duplantier (1799-1864), wife of Louis Favrot (1788-1876).  Augustine Gérard Duplantier died in 1799 during an outbreak of yellow fever, shortly after giving birth to their surviving daughter.  Three years later, in 1802, Armand married Constance Rochon (d. 1840), widow of John Joyce (d. 1798), and through her gained possession of Magnolia Mound Plantation in Baton Rouge.  Constance bore him five more children: Euphémie Amelia Duplantier (1804-1826), wife of Anthony F. Peniston, Sr. (1796-1826), Augustin Duplantier (1805-1860), Didier Duplantier (1806-1835), Alberic Nicholas Duplantier (1808-1891), and Alfred Joseph Duplantier (1813-1892).  Beginning with the death of his uncle Jean-Claude Trénonay in 1792 and the complications in settling the estate, Armand was involved in continual legal and financial difficulties for the remainder of his life.  He dabbled in land speculation to augment the income from his plantation, but none of his schemes appears to have been successful. In addition, the United States government refused to recognize Spanish land grants in Louisiana, making it impossible for Armand to sell what land he owned before the Louisiana Purchase. With his debts mounting, his wife petitioned the courts for a separation of property in 1814. When Armand died in 1827, he was deeply in debt. His funeral procession included an honor guard from the local garrison in Baton Rouge, in recognition of his service in the American Revolution. Armand is buried in Highland Cemetery in Baton Rouge.		http://www.lib.lsu.edu/special/findaid/5060.pdf	Armand Duplantier Family Letters, Mss. 5060, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special ).	The transcriptions and translations remain true to the nonstandard grammar, punctuation, and spelling of the original documents, with only minimal corrections made in isolated instances for the sake of clarity.	Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	The Armand Duplantier Family Letters were given by the descendants of Guy Antoine Allard Duplantier, elder brother of Armand Duplantier, to their Louisiana cousins, and subsequently donated to the LSU Libraries.	See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request. E-mail lsudiglib@lsu.edu with questions or comments.			2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/39	39	40.cpd	/p16313coll34/image/40.cpd
Page 1																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/40	40	41.jp2	/p16313coll34/image/41.jp2
Page 2																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/41	41	42.jp2	/p16313coll34/image/42.jp2
Page 3																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/42	42	43.jp2	/p16313coll34/image/43.jp2
Page 4																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/43	43	44.jp2	/p16313coll34/image/44.jp2
duplantierf03032e_Transcription																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/44	44	45.pdf	/p16313coll34/image/45.pdf
duplantierf03032f_Translation																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/45	45	46.pdf	/p16313coll34/image/46.pdf
