Title	Creator	Contributors	Date	Publisher	Subjects	Geographic term	Biographical Note	Description	Notes	Original Format	Format	Language	Repository	Coverage	Restrictions	Cite As	Contact and Ordering Information	Cataloger	Catalog Date	Object File Name	Item URL	Collection URL	Type	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
The United States of North America : with the British territories and those of Spain, according to the treaty of 1784	Faden, William, 1749-1836		1796	Charing Cross: Published as the Act directs . . . by Willm. Faden, Geographer to the King		Canada--Maps--To 1800;Louisiana--Maps--To 1800;Maps--To 1800;North America--Maps--To 1800;		1 map : hand col.  51 x 60 cm.;  Scale [ca. 1:6,450,000] (W 97p0s30'00”--W 60p0s00'00”/N 51p0s30'00”--N 22p0s50'00”)	Relief shown pictorially. Prime meridian: London. Colored outlines. Includes descriptive text on St. Croix River.	Maps		fr	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.			lm000011	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LMP.php?CISOROOT=/LMP;   List of Images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LMP	Maps	Image		2004-08-13	2010-02-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/10	10	93735181862003_lm000011.jpg	/LMP/image/93735181862003_lm000011.jpg
Carte de L'Isle de Saint Domingue dressee en 1722 pour l'usage du Roy sur les memoires de Mr. Frezier, ingenieur de S.M. et autres, assujelis aux observations astronomiques, par G. Delisle.	L'Isle, Guillaume de, 1675-1726		1722;1745	Paris, Buache	Maps--To 1800--Hispaniola	Hispaniola--Maps--To 1800.		46 x 61 cm.;Scale ca. 1:1,350,000.	Detached from unidentified source. Relief shown pictorially. Reprint. Originally published: Paris: Chez l'auteur, 1725. "Lieues marines Francoises de 20 au degre. Lieues communes de France de 25 au degre. Lieues Espagnoles de 17 1/2 au degre."	Maps		fr	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.			lm000012	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LMP.php?CISOROOT=/LMP;   List of Images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LMP	Maps	Image		2004-08-13	2010-02-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/11	11	3037181862003_lm000012.jpg	/LMP/image/3037181862003_lm000012.jpg
Carte reduite des costes de la Louisiane et de la Floride	Bellin, Jacques Nicolas, 1703-1772	France. Dépôt des cartes et plans de la marine.	1764	Paris : s,n,	Coasts--Louisiana--Maps--To 1800;Gulf States--Maps;Coasts--Gulf States--Maps--To 1800;Louisiana--Maps;	Gulf Coast (Fla.)--Maps		1 map : col.; 54 x 82 cm.; Scale [ca. 1:2,500,000] W 97*p0*s19'46"--W 77*p0*s59'46"/N 33*p0*s30'00"--N 22*p0*s00'00"	Prime meridian: Paris. Relief shown pictorially. Depths shown by soundings. Inset: Carte des embouchures du fleuve St. Louis.	Maps		fr	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	G3862 .C6 1764 B42 MCAGE	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.			lm000013	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LMP.php?CISOROOT=/LMP;   List of Images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LMP	Maps	Image		2004-08-13	2010-02-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/12	12	1538181862003_lm000013.jpg	/LMP/image/1538181862003_lm000013.jpg
Carte reduite des costes de la Louisiane et de la Floride	Bellin, Jacques Nicolas, 1703-1772		1764;1764	Paris	Coasts--Louisiana--Maps--To 1800;Gulf States--Maps;Coasts--Gulf States--Maps--To 1800;Louisiana--Maps;	Gulf Coast (Fla.)--Maps		map 54 x 82 cm.	Longitude occidentale du meridien de Paris. Depths shown by soundings. No. 66. Inset: Carte des embouchures du fleuve St. Louis.	Maps		fr	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	G3862 .C6 1764 B4	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.			lm000014	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LMP.php?CISOROOT=/LMP;   List of Images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LMP	Maps	Image		2004-08-13	2010-02-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/13	13	98438181862003_lm000014.jpg	/LMP/image/98438181862003_lm000014.jpg
Carte du Canada et de la Louisiane qui forment la Nouvelle France et des colonies angloises ou sont representez les pays contestez.	Nolin, Jean Baptiste, 1686-1762	Daumont	1756;1756	Paris, Chez Daumont,	Maps--North America; British--America--Maps--To 1800	Canada--Maps--To 1800; Louisiana--Maps--to 1800; New France--Maps--To 1800;North America--Maps--To 1800		51 x 71 cm.;Scale ca. 1:5,000,000. Hand colored.	Relief shown pictorially and by hachures. Includes text.	Maps		fr	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.			lm000015	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LMP.php?CISOROOT=/LMP;   List of Images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LMP	Maps	Image		2004-08-13	2010-02-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/14	14	99939181862003_lm000015.jpg	/LMP/image/99939181862003_lm000015.jpg
Carte de la Floride, de la Louisiane, et pays voisins : pour servir a l'Histoire generale des voyages	Bellin, Jacques Nicolas, 1703-1772	La Harpe, Jean-Fran¹cois de, 1739-1803	1757;1780	Paris : J. F. La Harpe		Florida--Maps--To 1800;Louisiana--Maps--To 1800 ;Maps--North America;North America--Maps--To 1800;		1 map ; 20 x 29 cm. ; Scale ca. 1:10,000,000.	Relief shown pictorially.;  "Tom XIV, in 4o, no. 12. Tome 14, in 8o, page 1ere." ; From Jean Françoise de la Harpe's Abrégé de l'histoire générale des voyages ... atlas, 1780.	Maps		fr	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.			lm000016	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LMP.php?CISOROOT=/LMP;   List of Images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LMP	Maps	Image		2004-08-13	2010-02-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/15	15	48440181862003_lm000016.jpg	/LMP/image/48440181862003_lm000016.jpg
Embouchures du fleuve St. Louis ou Mississipi	Bellin, Jacques Nicolas, 1703-1772		1763	Paris		Maps--Mississippi River;Mississippi River--Maps--To 1800;		map 22 x 17 cm.; Scale ca. 1:13,200.	Oriented with north toward the upper left. Depths shown by soundings. "Tome I. No. 44." From the author's Le petit atlas maritime.	Maps		fr	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	G4040 1763 .B45 FLAT	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.			lm000017	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LMP.php?CISOROOT=/LMP;   List of Images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LMP	Maps	Image		2004-08-13	2010-02-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/16	16	67140181862003_lm000017.jpg	/LMP/image/67140181862003_lm000017.jpg
Suite du cours du fleuve St. Louis depuis la rivière d'Iberville jusq'à celle des Yasous, et les parties connues de la Rivière Rouge et la Rivière Noire	Bellin, Jacques Nicolas, 1703-1772		1764	Paris, Chez Daumont,	Maps;Mississippi River--Maps--Early works to 1800;	Mississippi River--Maps--Early works to 1800.;    Red River (Tex.-La.)--Maps--Early works to 1800.		map 22 x 35 cm.; Scale ca. 1:830,000.	From the author's Le petit atlas maritime. 1764.; Includes "Remarques sur la Rivière Rouge" and inset "Carte de l'establissement françois sur la Rivière Rouge."	Maps		fr	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	G4040 1764A .B45 MCAGE	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.			lm000018	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LMP.php?CISOROOT=/LMP;   List of Images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LMP	Maps	Image		2004-08-13	2010-02-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/17	17	93740181862003_lm000018.jpg	/LMP/image/93740181862003_lm000018.jpg
Plan de la Nouvelle Orleans ...	Bellin, Jacques Nicolas, 1703-1772		1764	Paris		Maps; New Orleans (La.)--Maps		map 21 x 30 cm.; Scale 2 1/4 in. to 900 ft.	This map is no. 45, from Bellin, J.N. Le petit atlas maritime, v. 1.	Maps		fr	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	G4014 .N5 1764 B45 MCAGE	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.			lm000019	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LMP.php?CISOROOT=/LMP;   List of Images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LMP	Maps	Image		2004-08-13	2010-02-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/18	18	20241181862003_lm000019.jpg	/LMP/image/20241181862003_lm000019.jpg
"Louisiane" from Histoire de la Louisiane, contenant la decouverte de ce vaste pays...	Le Page du Pratz, d. 1775		1757	Paris, De Bure	Louisiana--Description and travel ;Maps--North America;Louisiana--History--To 1803.;	Louisiana--Maps--Early works to 1800.; Mississippi River Valley--Maps--Early works to 1800.		Map :17 x 22 cm.	Relief shown pictorially and by hachures.	Maps		fr	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	G4010 1757 .L39 MCAGE	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.			lm000020	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LMP.php?CISOROOT=/LMP;   List of Images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LMP	Maps	Image		2004-08-13	2010-02-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/19	19	45241181862003_lm000020.jpg	/LMP/image/45241181862003_lm000020.jpg
Battle of Baton Rouge fought on the 5th of August 1862, circa 1870-1940.					Baton Rouge, Battle of, Baton Rouge, La., 1862.; Breckinridge, John C. (John Cabell), 1821-1875.; Williams, Thomas, 1815-1862.	Baton Rouge (La.)--History--Civil War, 1861-1865.; Baton Rouge (La.)--History--Siege, 1862.; Louisiana--History--Civil War, 1861-1865--Campaigns.	The Battle of Baton Rouge occurred on August 5, 1862, and it was an attempt by the Confederate Army to regain control of the state of Louisiana and to recapture the state capital. Maj. Gen. John C. Breckinridge, who planned a combined land/water expedition with his corps and CSS Ram Arkansas, led the Confederates. Brig. Gen. Thomas Williams, who occupied the town, the Union Army on the defensive. The Confederates failed to recapture the city.	1 map : hand col., linen ; 120 x 94 cm.	This hand-colored, hand-drawn, linen map of the Battle of Baton Rouge provides information relevant to the immediate battle area comprising downtown Baton Rouge and nearby areas. The map contains developed areas lying within the confines of the Mississippi River, Florida Blvd to the north, Bayou Sarah Rd. to the east, and Government St. to the south; areas surrounding these streets are marked according to their function or indicate the position of troops. Among the downtown structures labeled are: the old state capitol on North St., the Asylum for the Deaf, Dumb, and Blind, Penitanciary [sic] Grounds, Tunnard's Emporium, and the Harney House. The U.S. Garrison and Arsenal Grounds as well as "property burnt for the defenses" lie within the city. Military positions regarding various camps, brigades, picket stations, and batteries are written in, as well as a line of demarcation where "General William's Line of Defenses" stood. The creation date of this piece is unknown.				Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Battle of Baton Rouge Fought on the 5th of August 1862, Mss. 4873, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-07-20	2011-08-12	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/20	20	1.jp2	/LMP/image/1.jp2
Cover																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/21	21	2.jp2	/LMP/image/2.jp2
Map 01																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/22	22	3.jp2	/LMP/image/3.jp2
Map 02																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/23	23	4.jp2	/LMP/image/4.jp2
