Title	Compound	Notes	Date	Photographer	Index Terms	Item Number	Collection Name	Digital Type	Digital Size	Original Type/Size	Rights	Collection Source	Repository Collection Guide	Source	Cite As	Contact and Ordering Information	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Ivory-billed woodpecker pair changing at nest, April 1935. Enlargement.		Singer Tract, Madison Parish, LA. [This is a digital enlargement of a section of 4171008p.]	April 1935	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Ivory-billed woodpecker--Photographs	4171008de	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	1999 ppi x 2560 ppi	Digital photographs<br>1251 ppi X 1602 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-17	2005-10-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/10	10	11.jpg	/Tensas/image/11.jpg
Ivory-billed woodpecker pair changing at nest, April 1935.		Singer Tract, Madison Parish, LA.	April 1935	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Ivory-billed woodpecker--Photographs;Ivory-billed woodpecker--Nests--Photographs	4171008p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1878 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-17	2005-10-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/11	11	12.jpg	/Tensas/image/12.jpg
Sharkey Road, April 1937		Singer Tract, Madison Parish, LA.	April 1937	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Forests--Louisiana--Madison Parish--Photographs	4171009p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1881 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/12	12	13.jpg	/Tensas/image/13.jpg
James T. Tanner standing next to a large sweet gum, May 1937		Singer Tract, Madison Parish, LA.	May 1937	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Tanner, James T. (James Taylor)--Photographs;Sweetgum--Photographs	4171010p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	1851 ppi x 2560 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/13	13	14.jpg	/Tensas/image/14.jpg
James T. Tanner standing next to a big honey locust near Methiglum Bayou, May 1937		Singer Tract, Madison Parish, LA.	May 1937	James T. Tanner	Tanner, James T. (James Taylor)--Photographs;Honey locust--Photographs;Tensas River National Wildlife Refuge (La.)--Photographs	4171011p	Tensas River National WIldlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	1819 ppi x 2560 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/14	14	15.jpg	/Tensas/image/15.jpg
Rainey Lake, Greenlea[f] Bend, May 1937		Singer Tract, Madison Parish, LA.	May 1937	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Lakes--Photographs	4171012p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1867 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/15	15	16.jpg	/Tensas/image/16.jpg
Cypress on Rainey Lake, May 1937		Singer Tract, Madison Parish, LA.	May 1937	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Cypress--Photographs	4171014p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	1855 ppi x 2560 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/16	16	17.jpg	/Tensas/image/17.jpg
Dead-top gum with ivory-billed woodpecker feeding sign, May 1937		Singer Tract, Madison Parish, LA. [This image shows a different view than that in 4171020, q.v.]	May 1937	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Forests--Louisiana--Madison Parish--Photographs;Sweetgum--Photographs	4171018p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	1851 ppi x 2560 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/17	17	18.jpg	/Tensas/image/18.jpg
Dead-top gum with ivory-billed woodpecker feeding sign, May 1937		Singer Tract, Madison Parish, LA. [This image shows a different view than that in 4171021, q.v.]	May 1937	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Forests--Louisiana--Madison Parish--Photographs;Sweetgum--Photographs	4171019p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	1858 ppi x 2560 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/18	18	19.jpg	/Tensas/image/19.jpg
Tensas River near Dishroom Bend, June 1937		Singer Tract, Madison Parish, LA.	June 1937	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Tensas River (La.)--Photographs	4171022p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1862 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/19	19	20.jpg	/Tensas/image/20.jpg
Little Bear Lake, June 1937		Singer Tract, Madison Parish, LA. [This image shows a different view than that in 4171037, q.v.]	June 1937	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Little Bear Lake (La.)--Photographs	4171023p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1845 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/20	20	21.jpg	/Tensas/image/21.jpg
Dead top sweetgum, June 1937		Singer Tract, Madison Parish, LA.	June 1937	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Sweetgum--Photographs	4171028p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	1850 ppi x 2560 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/21	21	22.jpg	/Tensas/image/22.jpg
Old field in Frisby Bend, June 1937		Singer Tract, Madison Parish, LA.	June 1937	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Forests--Louisiana--Madison Parish--Photographs	4171029p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1853 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/22	22	23.jpg	/Tensas/image/23.jpg
Woods on ridge, June 1937		Singer Tract, Madison Parish, LA.	June 1937	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Forests--Louisiana--Madison Parish--Photographs	4171032p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	1838 ppi x 2560 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/23	23	24.jpg	/Tensas/image/24.jpg
