Title	Date	Caption/Description	Notes	Physical description	Cite as	Creator	Subject Headings	Category	Sub-category	Publisher	Restrictions	Repository	Contact and Ordering Information	File Name(s)	File Name	Identifier	Language	Relation	Coverage-Spatial	Coverage-Temporal	Cataloger	Cataloged Date	Viewer Information	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	Object File Name	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Oysters at canning factory	1931	Unloading oysters at canning factory.		photograph	Louisiana Conservation Review 2 (1931): 15		Canning and preserving--Louisiana; Oyster industry--Louisiana	Fishing-commercial	Oysters	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/309	309	310.jp2	/p15140coll21/image/310.jp2
Live oak stand, East Coast Blanche Bay, St. Mary Parish	1931	Live oak stand one mile from Tidewater, East Cote Blanche Bay, St. Mary Parish, Louisiana.		photograph	Louisiana Conservation Review 2 (1931)		Oak--Louisiana--Saint Mary Parish	Flora		Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/310	310	311.jp2	/p15140coll21/image/311.jp2
Resident keeper's camp, Red Fish Point, State Wildlife Refuge	1930	Resident keeper's camp, Red Fish Point, State Wildlife Refuge.		photograph	Louisiana Conservation Review 1 (1930): 136		Camp sites; facilities; etc--Louisiana; Wildlife refuges--Louisiana--Vermilion Parish	Government	Wildlife refuges	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/311	311	312.jp2	/p15140coll21/image/312.jp2
Quong Sun Company Dried Shrimp	1931	Quong Sun Company, Inc. Dried Shrimp and Fish Packer advertisement.		photograph	Louisiana Conservation Review 2 (1931): 44		Advertising--Food service--Louisiana	Fishing-commercial	Shrimp	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/312	312	313.jp2	/p15140coll21/image/313.jp2
J.F. Landry & Company Raw Furs and Alligator Skins	1931	J.F. Landry & Company Raw Furs and Alligator Skins advertisement.		photograph	Louisiana Conservation Review 2 (1931): 44		Advertising--Louisiana; Hides and skins--Louisiana	Trapping	Hides and Skins	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/313	313	314.jp2	/p15140coll21/image/314.jp2
Cypress logs on train	1931	Butt log and second log containing 632 feet Doyle scale.		photograph	Louisiana Conservation Review 2 (1931): 24		Logging--Louisiana	Logging	Railroad-based	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/314	314	315.jp2	/p15140coll21/image/315.jp2
Cypress logs on log cars	1931	Eighty feet of giant cypress on 3 log cars, total six logs containing 14,162 feet Doyle scale.		photograph	Louisiana Conservation Review 2 (1931): 24		Logging--Louisiana	Logging	Railroad-based	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/315	315	316.jp2	/p15140coll21/image/316.jp2
Alligator hunting in 1924	1931	Over 21,000 alligators  were taken for their hides during the 1924 season and, as it has been outlawed in the coastal parishes, its numbers have been alarmingly decreased.		photograph	Louisiana Conservation Review 2 (1931): 5		Alligator hunting--Louisiana; Alligators--Louisiana	Trapping	Alligator	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/316	316	317.jp2	/p15140coll21/image/317.jp2
Alligator hunters	1931	Gator hunters demonstrating the capacity of the mouth of the big fellow they have just secured.		photograph	Louisiana Conservation Review 2 (1931): 4		Alligator hunting--Louisiana; Alligators--Louisiana	Trapping	Alligator	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/317	317	318.jp2	/p15140coll21/image/318.jp2
Shucking oysters	1930	Shucking oysters at the canning factory.		photograph	Louisiana Conservation Review 1 (1930): 138		Oyster industry--Louisiana; Oysters--Shucking--Louisiana	Fishing-commercial	Oysters	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/318	318	319.jp2	/p15140coll21/image/319.jp2
Alligator hide hunters	1931	Alligator hide hunters and one night's take.  While this characteristic inhabitant of the Louisiana has been charged with being the muskrat industry's worst enemy, field investigations to date have not proved the charge.		photograph	Louisiana Conservation Review 2 (1931): 6		Alligator hunting--Louisiana; Alligator products industry--Louisiana	Trapping	Alligator	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/319	319	320.jp2	/p15140coll21/image/320.jp2
Oysters for transport	1932	Steam car filled with oysters.		photograph	Louisiana Conservationist 3 (1932): 6		Oyster industry--Louisiana	Fishing-commercial	Oysters	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/320	320	321.jp2	/p15140coll21/image/321.jp2
Shrimp trawl	1932	Hositing shrimp after a trawl.		photograph	Louisiana Conservationist 3 (1932): 6		Shrimp fisheries--Louisiana; Trawls and trawling--Louisiana	Fishing-commercial	Shrimp	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/321	321	322.jp2	/p15140coll21/image/322.jp2
Oyster tonging	1932	Tonging oysters.		photograph	Louisiana Conservationist 3 (1932): 7		Oyster industry--Louisiana	Fishing-commercial	Oysters	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/322	322	323.jp2	/p15140coll21/image/323.jp2
Oyster processing tank	1932	Processing tank for oyster industry.		photograph	Louisiana Conservationist 3 (1932): 7		Oyster industry--Louisiana--Equipment and Supplies	Fishing-commercial	Oysters	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/323	323	324.jp2	/p15140coll21/image/324.jp2
Tarpon fishing in Calcasieu River	1932	Tarpon caught in the Calcasieu River at the Twin Reefs, 2 miles north of Cameron, in September 1931, by parties from Memphis and Shreveport.		photograph	Louisiana Conservationist 3 (1932): 9		Tarpon fishing--Louisiana--Cameron Parish	Fishing-recreational	Other	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/324	324	325.jp2	/p15140coll21/image/325.jp2
Tarpon fishing in Calcasieu River	1932	Tarpon caught by B. W. Marston of Shreveport, Louisiana, in the Calcasieu River, 2 miles north of Cameron, in September 1931.		photograph	Louisiana Conservationist 3 (1932): 9		Tarpon fishing--Louisiana--Cameron Parish	Fishing-recreational	Other	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/325	325	326.jp2	/p15140coll21/image/326.jp2
Tarpon fishing	1932	To the devotee of his game fishing Louisiana offers unexcelled sport.  This Silver King, as the Tarpon is known to anglers, measured over seven feet in length and was caught within the city limits of New Orleans.		photograph	Louisiana Conservationist 3 (1932)		Tarpon fishing--Louisiana	Fishing-recreational	Other	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/326	326	327.jp2	/p15140coll21/image/327.jp2
Gooch and Segura advertisement	1932	G. Gooch Bill Segura Get Super Service Station advertisement.		photograph	Louisiana Conservationist 3 (1932): 24		Advertising--Petroleum industry and trade--Louisiana	Mineral extraction	Oil and natural gas	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/327	327	328.jp2	/p15140coll21/image/328.jp2
Paul Goubon Fish and Oyster Company	1932	Paul Bougon Fish & Oyster Co. Incorporated.		photograph	Louisiana Conservationist 3 (1932): 24		Advertising--Food service--Louisiana	Fishing-commercial	Oysters	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/328	328	329.jp2	/p15140coll21/image/329.jp2
William E. Voelkel & Son advertisement	1932	Wm. E. Voelkel & Son Co. Inc. Raw Furs advertisement.		photograph	Louisiana Conservationist 3 (1932): 24		Advertising--Louisiana; Hides and skins--Louisiana	Trapping	Hides and Skins	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/329	329	330.jp2	/p15140coll21/image/330.jp2
Manta ray	1932	Nineteen foot Manta captured by Captain Jay Gould.  The photograph was taken a moment before the weight of the animal stripped the gears of three one-ton chains.  This photograph has been kindly provided by Captain Gould.		photograph	Louisiana Conservationist 3 (1932): 5		Fishing--Louisiana; Manta birostris--Louisiana	Fishing-recreational	Other	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/330	330	331.jp2	/p15140coll21/image/331.jp2
Manta ray, great	1932	The same specimen of the Great Manta, viewed from below.  Note the wide conspicuous gill slits which appear on each side of and above the sign fastened to the animal.  The cephalic lobes or "feelers" are curled back on each side.  The size of this great fish can be scaled from the figure of the man standing at the left.  This striking illustration was provided through the courtesy of Captain Gould.		photograph	Louisiana Conservationist 3 (1932): 5		Fishing--Louisiana; Manta birostris--Louisiana	Fishing-recreational	Other	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/331	331	332.jp2	/p15140coll21/image/332.jp2
Oyster camp	1932	Typical oyster camp including lugger and skiffs.		photograph	Louisiana Conservationist 3 (1932): 14		Housing--Louisiana; Oyster industry--Louisiana; Skiffs--Louisiana	Buildings, Fishing-commercial	Houses, Oysters	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/332	332	333.jp2	/p15140coll21/image/333.jp2
Dredging oysters	1930	Dredging oysters on the natural reefs of Louisiana.		photograph	Louisiana Conservation Review 1 (1930): 140		Oyster fisheries--Louisiana	Fishing-commercial	Oysters	Louisiana. Dept. of Wildlife and Fisheries	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.																						2010-05-28	2010-05-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/333	333	334.jp2	/p15140coll21/image/334.jp2
