Title	Description	Size	Date	Time period	Subject	Provenance continent	Provenance country	Provenance state or other	Associated artifacts	Storage location	File Name	Creator	Contributors	Publisher	Type	Format	Identifier	Language	Relation	Rights	Cataloger	Cataloged Date	Viewer Information	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	Contact and Ordering Information	Repository	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/31	31	32.jp2	/p16313coll9/image/32.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/32	32	33.jp2	/p16313coll9/image/33.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/33	33	34.jp2	/p16313coll9/image/34.jp2
Wooden doll	Female adult, papier-mache, shoulder head on wood-chip filled cloth body, wooden arms and lower limbs, remains little hair, periwinkle blue painted eyes, closed painted mouth, lace trimmed white underwear, dark mustard color long dress trimmed with red-brown velvet tape, wide brim hat with same materials, doll's body made by hand, dress is partially made by machine. Accompanying information describes that Jane Bell (1700-1770) wooden dolls were made in England in the early seventeen hundreds. This doll was found on a street in London after a mansion had been destroyed during the Second World War.""	46 cm		1700-1770	Dolls	Europe	England			Box 18																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/34	34	35.cpd	/p16313coll9/image/35.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/35	35	36.jp2	/p16313coll9/image/36.jp2
Detail																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/36	36	37.jp2	/p16313coll9/image/37.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/37	37	38.jp2	/p16313coll9/image/38.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/38	38	39.jp2	/p16313coll9/image/39.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/39	39	40.jp2	/p16313coll9/image/40.jp2
Japanese doll	Female, composition socket head on body, lower arms, lower limbs, cloth upper arms and upper limbs, black human hair, straight short wig has bang on front, glass eyes, closed mouth, no shoes, crane printed red kimono with red  brocaded obi, red tie-dyed silk underneath the kimono sleeves, barefoot, doll, body, and dress are made by hand, broken neck. For thousands of years, a doll festival has been held on the third day of March. The festival lasts for three days. To the people of Japan, the doll festivals are expressionsof the ideal of Japanese womanhood--to be a good and true wife, a wise and loving mother. It was a happy inspiration on the part of the Federal Council of Churches of Christ in America to organize a movement to send American dolls as representatives to the doll festival of Japan in 1927. Eleven hundred dolls sailed from San Francisco to Japan. Forty-eight dolls were sent to the Imperial Museum representing the forty-eight states. Because of the arrival of the friendship dolls the Japanese Children's Friendship Association was organized. After receiving the many dolls sent to them by the united States, the Japanese Children's Friendship Association sent one thousand dolls to the children of the United States. This doll was one of these dolls. (Ref. 3)""	48 cm	1927	1920s	Dolls	Asia	Japan			Box 10																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/40	40	41.cpd	/p16313coll9/image/41.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/41	41	42.jp2	/p16313coll9/image/42.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/42	42	43.jp2	/p16313coll9/image/43.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/43	43	44.jp2	/p16313coll9/image/44.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/44	44	45.jp2	/p16313coll9/image/45.jp2
Kewpi doll	Baby girl, all-composition doll, molded and painted features and hair, jointed at shoulders, blue molded and painted wings at rear, red heart shaped decal, 'KEWPIE//DES. & COPYRIGHT//by//ROSE O'NEILL.', white pinafore, doll is manufactured, dress is machine made, Kewpi is designed by Rose O'Neill, probably Cameo Doll Company, New York City, c.1922. Rose O'Neill wrote 'Year by year as the world gets less and less funny, the laugh got clearer in my mind, as the Kewpie smile went all around the world.' (Ref. 1)""	29 cm	1922	1920s	Dolls	North America	USA			Box 16																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/45	45	46.cpd	/p16313coll9/image/46.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/46	46	47.jp2	/p16313coll9/image/47.jp2
Detail																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/47	47	48.jp2	/p16313coll9/image/48.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/48	48	49.jp2	/p16313coll9/image/49.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/49	49	50.jp2	/p16313coll9/image/50.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/50	50	51.jp2	/p16313coll9/image/51.jp2
Shirly Temple	Female child, all-composition doll, open mouth with six upper teeth, deep green sleeping eyes with lashes, curly wig, swivel neck, jointed at shoulders and hips, no shoes, embossed on back of head, 'Shirly Temple', embossed on back, 'Shirley Temple 13', white underwear with lace trimming, medium mauve sailor style dress with white stripe decorated collar, box pleats skirt, three mother pearl buttons on waist band, machine-made. Designed by Bernard Lipfert, Ideal Novelty & Toy Co. New York city, c. (Ref. 2) Accompanying information describes that Mr. Lipfert, a German doll designer, came to this country in 1912. He designed the Shirley Temple doll, a replica of the little motion-picture star.""	34 cm	1935, 1936	1930s	Dolls	North America	USA			Box 16																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/51	51	52.cpd	/p16313coll9/image/52.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/52	52	53.jp2	/p16313coll9/image/53.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/53	53	54.jp2	/p16313coll9/image/54.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/54	54	55.jp2	/p16313coll9/image/55.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/55	55	56.jp2	/p16313coll9/image/56.jp2
Elizabeth Todd	Female adult, bonnet doll, bisque shoulder head with feather bonnet, molded and painted features and blonde hair, cloth body with bisque lower arms and limbs, black painted ribbon at back of the bonnet, black painted shoes, linen underwear trimmed with lace, lace under-skirt, ivory (it was pink but faded) dress with pink waist ribbon, lace sleeves, 5 small flowers decorated left shoulder, handmade, Accompanying information describes that the doll dressed in pink (it looks ivory now) belonged to Elizabeth Todd, sister of Mary Todd Lincoln and the doll dressed in blue belonged to Elizabeth Todd Thompson, niece of Mary Todd Lincoln. Mrs. Elizabeth Todd Thompson wrote in 1935 the doll dressed in blue was 44 years old and the doll dressed in pink was 74 years old. The letter of Mrs.Thompson is in the doll scrapbook. Left hand and left foot are missing.""	15 cm	1861	1860s	Dolls	North America	USA		Elizabeth Todd Thompson	Box 8																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/56	56	57.cpd	/p16313coll9/image/57.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/57	57	58.jp2	/p16313coll9/image/58.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/58	58	59.jp2	/p16313coll9/image/59.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/59	59	60.jp2	/p16313coll9/image/60.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/60	60	61.jp2	/p16313coll9/image/61.jp2
Elizabeth Todd Thompson	Female adult, bonnet doll, bisque shoulder head with blue bonnet, molded and painted features and blonde hair, cloth body with bisque lower arms and limbs, brown painted shoes, molded bodice with glazed gold blouse collar and ribbon, white underwear with lace trimming, pink ribbon at back, hand-made, for additional information see Elizabeth Todd.	19 cm	1891	1890s	Dolls	North America	USA			Box 8																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/61	61	62.cpd	/p16313coll9/image/62.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/62	62	63.jp2	/p16313coll9/image/63.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/63	63	64.jp2	/p16313coll9/image/64.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/64	64	65.jp2	/p16313coll9/image/65.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/65	65	66.jp2	/p16313coll9/image/66.jp2
Modern English doll	Female baby, modern English doll, plastic head and all body, brown curly wig, blue sleeping eyes, molded and painted mouth, swivel neck, jointed at shoulders and hips, white bonnet with string, same fabric underwear, lace trimmed dress, gathered at high waist and sleeves, white plastic shoes with socks, embossed on bottom of shoes, 'CINDERELLA No 0 British made'. Accompanying information describes that this doll was brought to the united States from London in 1958, doll, manufactured, dress is machine made, arms are separated from body, need to be mended.""	30 cm		1950s	Dolls	Europe	England			Box 6																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/66	66	67.cpd	/p16313coll9/image/67.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/67	67	68.jp2	/p16313coll9/image/68.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/68	68	69.jp2	/p16313coll9/image/69.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/69	69	70.jp2	/p16313coll9/image/70.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/70	70	71.jp2	/p16313coll9/image/71.jp2
Raggedy Ann	Female, rag doll, Raggedy Ann, cloth head and all body, jointed at shoulders and hips, outline stitched and painted face, dark brown yarn hair with ribbon decoration, pinafore underwear with white dotted swiss, blue floral cotton dress with lace trimming at neck. Accompanying information describes John B. Gruelle(1917-1918) was an artist fore an Indianapolis newspaper. Quite by accident, discovered a rag doll in a barrel in his mother's attic. His mother played with the doll when she was a little girl. She loved the heart with 'I Love You' that is embroidered on every doll. John began writing books about the doll and soon became very wealthy. He died in 1938. Books and dolls still sold. Trademark registered in 1915 John B. Gruelle. Doll is hand and machine-made. Dress is machine-made.""	40 cm		1910s	Dolls	North America	USA			Box 5																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/71	71	72.cpd	/p16313coll9/image/72.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/72	72	73.jp2	/p16313coll9/image/73.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/73	73	74.jp2	/p16313coll9/image/74.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/74	74	75.jp2	/p16313coll9/image/75.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/75	75	76.jp2	/p16313coll9/image/76.jp2
Raggedy Andy	Male, rag doll, Raggedy Andy, cloth head and all body, jointed at shoulders and hips, outline stitched and painted face, dark brown yarn hair, small blue polka dot shirt is attached to solid blue pants, three buttons on front, ribbon decoration on big collar, doll is machine and hand-made, dress is machine-made, for more information see Raggedy Ann.""	42 cm		1910s	Dolls	North America	USA			Box 5																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/76	76	77.cpd	/p16313coll9/image/77.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/77	77	78.jp2	/p16313coll9/image/78.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/78	78	79.jp2	/p16313coll9/image/79.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/79	79	80.jp2	/p16313coll9/image/80.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/80	80	81.jp2	/p16313coll9/image/81.jp2
Kathe Kruse	Female, girl, Kruse, Kathe doll, composition head on cloth body, painted and molded features, blonde wig, jointed at shoulders and hips, white cotton underwear with lace trimming, white dress with lace trimmed collar, big ribbon tied at back, flat soled shoes with socks, stamped on bottom of shoes, '5' on one label, 'Original Kathe Kruse PUPPE', on second label, 'Original Kathe Kruse Stuffpuppe, handgeknupft'. Accompanying information describes that the doll was placed on marked in 1914. Doll is made by hand. Dress is made by hand, and stuffed with cotton, during the war Kathe Kruse fell under the displeasure of Adolf Hitler because the face of the dolls showed too much sorrow. Kathe Kruse lost her young son during the war and showed so much sorrow in her own face, Hitler closed the factory and forbade Kathe to make any more dolls. She outlived the war and is making dolls still in 1968. Kathe Kruse's early dolls were first shown in America in 1911. (Ref. 1)""	37 cm		1930s	Dolls	Europe	Germany			Box 6																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/81	81	82.cpd	/p16313coll9/image/82.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/82	82	83.jp2	/p16313coll9/image/83.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/83	83	84.jp2	/p16313coll9/image/84.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/84	84	85.jp2	/p16313coll9/image/85.jp2
Nut doll from the Mountains (man)	Male adult, nut head with covered wire body, bean hands and feet, painted features, black felt hat and white hair, red check cotton shirt, red solid scarp, grey check cotton pants with one side suspender, holding long wooden gun, stands on green round wooden-plate, hand-made, typed and mounted on the side of the wooden-plate 'WEE MOUNTAIN FOLKS'. Accompanying information describes that dolls have been made from every conceivable material. Climate has much  to do with the stuff from which a doll is fashioned, in ancient days there were dolls made of wood, bone, ivory, leather, linen, papyrus, wax, leaves, shells, seeds, sponge, beads, fur, egg shells, beeswax, nuts, and corn-husk. The dolls are being made in the mountains of the Carolinas, Kentucky, and Missouri. These two nut dolls were made in the mountains.""	13 cm			Dolls	North America	USA		Nut doll from the Mountains (woman)	Box 13																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/85	85	86.cpd	/p16313coll9/image/86.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/86	86	87.jp2	/p16313coll9/image/87.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/87	87	88.jp2	/p16313coll9/image/88.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/88	88	89.jp2	/p16313coll9/image/89.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/89	89	90.jp2	/p16313coll9/image/90.jp2
Nut doll from the Mountains (woman)	Female adult, nut head with covered wire body, bean hands and feet, painted features, red bonnet-like hair covering tied with ribbon, white hair, blue wool scarp, white underwear with lace trimming, yellow floral dress, red pin-dot apron, carrying baby in acorn-head basket on her right arm. Stands on green round wooden-plate, handmade, typed and mounted on side of the wooden-plate, 'WEE MOUNTAIN FOLKS', for more information see Nut doll from the Mountains (man).	13 cm			Dolls	North America	USA		Nut doll from the Mountains (man)	Box 13																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/90	90	91.cpd	/p16313coll9/image/91.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/91	91	92.jp2	/p16313coll9/image/92.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/92	92	93.jp2	/p16313coll9/image/93.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/93	93	94.jp2	/p16313coll9/image/94.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/94	94	95.jp2	/p16313coll9/image/95.jp2
