Title	Photographer	Date	Subject	Description	Type	Original Format	Original Size	Collection Number	Digital Collection	Repository Collection	Repository	Digital Reproduction Information	Restrictions	Cite As	Contact and Ordering Information	Item URL	Collection URL	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
St. Louis Cathedral and Jackson Square	Donn Young	unknown	New Orleans (La.)--Photographs;Jackson Square (New Orleans, La.)--Photographs;St. Louis Cathedral (New Orleans, La.)--Photographs;	View of St. Louis Cathedral from Jackson Square.	Image	Polyester color transparencies	35 mm	494407c014b	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Scanned with a Microtek ScanMaker 1000XL	Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/10	10	11.jpg	Volume11\494407c014b.tif	/LSU_DYP/image/11.jpg
Jackson Square	Donn Young	unknown	New Orleans (La.)--Photographs;Jackson Square (New Orleans, La.)--Photographs;Candlelight vigils--Louisiana--New Orleans--Photographs;St. Louis Cathedral (New Orleans, La.)--Photographs;	Night Scene featuring Jackson Square, candlelight vigil in front of St. Louis Cathedral.	Image	Polyester color transparencies	35 mm	494407c014c	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Scanned with a Microtek ScanMaker 1000XL	Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/11	11	12.jpg	Volume11\494407c014c.tif	/LSU_DYP/image/12.jpg
New Orleans Architecture	Donn Young	unknown	New Orleans (La.)--Photographs;Architecture--Louisiana--New Orleans--Photographs;Streets--Louisiana--New Orleans--Photographs;Balconies--Louisiana--New Orleans--Photographs;	Houses along a New Orleans street.	Image	Polyester color transparencies	35 mm	494407c021e	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Scanned with a Microtek ScanMaker 1000XL	Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/12	12	13.jpg	Volume11\494407c021e.tif	/LSU_DYP/image/13.jpg
New Orleans Cemetery	Donn Young	unknown	New Orleans (La.)--Photographs;Tombs & sepulchral monuments--Louisiana--New Orleans--Photographs;Cemeteries--Louisiana--New Orleans--Photographs;	View of tombs in unknown New Orleans cemetery.	Image	Polyester color transparencies	35 mm	494407c022b	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Scanned with a Microtek ScanMaker 1000XL	Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/13	13	14.jpg	Volume11\494407c022b.tif	/LSU_DYP/image/14.jpg
Pedestrian Mall	Donn Young	unknown	New Orleans (La.)--Photographs;Jackson Square (New Orleans, La.)--Photographs;Pedestrian malls--Louisiana--New Orleans--Photographs;	People walking along a  pedestrian mall near Jackson Square.	Image	Polyester color transparencies	35 mm	494407c024c	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Scanned with a Microtek ScanMaker 1000XL	Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/14	14	15.jpg	Volume12\494407c024c.tif	/LSU_DYP/image/15.jpg
Storyville Jazz Hall	Donn Young	unknown	New Orleans (La.)--Photographs;Jazz--Louisiana--New Orleans--Photographs;Nightclubs--Louisiana--New Orleans--Photographs;Music halls--Louisiana--New Orleans--Photographs;	Exterior architecture of Storyville Jazz Hall in New Orleans.	Image	Polyester color transparencies	35 mm	494407c024d	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Scanned with a Microtek ScanMaker 1000XL	Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/15	15	16.jpg	Volume12\494407c024d.tif	/LSU_DYP/image/16.jpg
Worker in a Produce Market	Donn Young	1988	New Orleans (La.)--Photographs;Produce trade--Louisiana--New Orleans--Photographs;African American men--Photographs;	African American man wearing a hard hat and reclining against crates of apples.	Image	Polyester color transparencies	35 mm	494407c032d	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Scanned with a Microtek ScanMaker 1000XL	Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/16	16	17.jpg	Volume12\494407c032d.tif	/LSU_DYP/image/17.jpg
Jazz Musician and Statue	Donn Young	unknown	New Orleans (La.)--Photographs.	Man playing a saxophone outdoors, in front of a female statue.	Image	Polyester color transparencies(slide)	35 mm	494407d013e	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/17	17	18.jpg	Volume12\494407d013e.tif	/LSU_DYP/image/18.jpg
Frozen Fountain	Donn Young	unknown	New Orleans (La.)--Photographs;Jackson Square (New Orleans, La.)--Photographs;Fountains--Photographs;	Fountain in Jackson Square frozen.	Image	Polyester color transparencies	35 mm	494407d0430	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Scanned with a Microtek ScanMaker 1000XL	Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/18	18	19.jpg	Volume12\494407d0430.tif	/LSU_DYP/image/19.jpg
Mardi Gras Clown	Donn Young	unknown	;New Orleans (La.)--Photographs;Carnival--Louisiana--New Orleans--Photographs;Louisiana--Social life and customs--Photographs;Clowns--Photographs;Carnival costume--Photographs;	Person in pink clown costume at Mardi Gras in New Orleans.	Image	Polyester color transparencies	35 mm	494409a022b	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Scanned with a Microtek ScanMaker 1000XL	Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/19	19	20.jpg	Volume12\494409a022b.tif	/LSU_DYP/image/20.jpg
Krewe of Endymion Float	Donn Young	unknown	New Orleans (La.)--Photographs;Carnival--Louisiana--New Orleans--Photographs;Louisiana--Social life and customs--Photographs;Floats (Parades)--Louisiana--New Orleans--Photographs;Krewe of Endymion (Organization)--Photographs;Color photo	Members of Krewe of Endymion on float throwing beads to Mardi Gras crowd.	Image	Polyester color transparencies	35 mm	494409a022c	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/20	20	21.jpg	Volume12\494409a022c.tif	/LSU_DYP/image/21.jpg
Mardi Gras Indian	Donn Young	unknown	New Orleans (La.)--Photographs;Carnival--Louisiana--New Orleans--Photographs;Louisiana--Social life and customs--Photographs;Indians--Louisiana--New Orleans--Costume--Photographs;African American--Louisiana--New Orleans--Costume--Photograp	Unknown man in Mardi Gras Indian Costume.	Image	Polyester color transparencies	35 mm	494409a022d	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Scanned with a Microtek ScanMaker 1000XL	Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/21	21	22.jpg	Volume12\494409a022d.tif	/LSU_DYP/image/22.jpg
Mardi Gras Crowd	Donn Young	unknown	New Orleans (La.)--Photographs;Carnival--Louisiana--New Orleans--Photographs;Louisiana--Social life and customs--Photographs;Tourism--Louisiana--New Orleans--Photographs;	Mardi Gras revelers crowded onto New Orleans streets.	Image	Polyester color transparencies	35 mm	494409a023e	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/22	22	23.jpg	Volume12\494409a023e.tif	/LSU_DYP/image/23.jpg
