Title	Creator	Contributors	Date	Subjects	Description	Original Format/Size	Publisher	Language	Format	Repository	Coverage	Restrictions	Cite as	Cataloger	Catalog Date	Object File Name	Contact and Ordering Information	Item URL	Collection URL	Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
David Boyd Hall and Thomas Boyd Hall heating drawing, sheet 3	Link, Theodore C.		1922;1924	Architectural drawing;Baton Rouge, La.;Louisiana State University (Baton Rouge, La.);Louisiana;Architecture;Buildings--Designs and plans;		Architectural drawings;lcsh;34.5x22.92"		eng		Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana State University Architectural Drawings by Theodore Link, LOUISiana Digital Library, Baton Rouge, La.			tl000011	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_TLD.php?CISOROOT=%2FTLD			2003-06-30	2003-06-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/TLD/id/10	10	21619193062003_tl000011.jpg	/TLD/image/21619193062003_tl000011.jpg
David Boyd Hall and Thomas Boyd Hall architectural drawing, sheet 5	Link, Theodore C.		1922;1924	Architectural drawing;Baton Rouge, La.;Louisiana State University (Baton Rouge, La.);Louisiana;Architecture;Buildings--Designs and plans;		Architectural drawings;lcsh;34.5x22.92"		eng		Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana State University Architectural Drawings by Theodore Link, LOUISiana Digital Library, Baton Rouge, La.			tl000012	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_TLD.php?CISOROOT=%2FTLD			2003-06-30	2003-06-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/TLD/id/11	11	40319193062003_tl000012.jpg	/TLD/image/40319193062003_tl000012.jpg
David Boyd Hall and Thomas Boyd Hall architectural drawing, sheet 6	Link, Theodore C.		1922;1924	Architectural drawing;Baton Rouge, La.;Louisiana State University (Baton Rouge, La.);Louisiana;Architecture;Buildings--Designs and plans;		Architectural drawings;lcsh;34.5x22.92"		eng		Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana State University Architectural Drawings by Theodore Link, LOUISiana Digital Library, Baton Rouge, La.			tl000013	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_TLD.php?CISOROOT=%2FTLD			2003-06-30	2003-06-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/TLD/id/12	12	60619193062003_tl000013.jpg	/TLD/image/60619193062003_tl000013.jpg
David Boyd Hall and Thomas Boyd Hall architectural drawing, sheet 10	Link, Theodore C.		1922;1924	Architectural drawing;Baton Rouge, La.;Louisiana State University (Baton Rouge, La.);Louisiana;Architecture;Buildings--Designs and plans;		Architectural drawings;lcsh;34.27x22.7"		eng		Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana State University Architectural Drawings by Theodore Link, LOUISiana Digital Library, Baton Rouge, La.			tl000014	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_TLD.php?CISOROOT=%2FTLD			2003-06-30	2003-06-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/TLD/id/13	13	79419193062003_tl000014.jpg	/TLD/image/79419193062003_tl000014.jpg
David Boyd Hall and Thomas Boyd Hall architectural drawing, sheet 12	Link, Theodore C.		1922;1924	Architectural drawing;Baton Rouge, La.;Louisiana State University (Baton Rouge, La.);Louisiana;Architecture;Buildings--Designs and plans;		Architectural drawings;lcsh;35.27x27.22"		eng		Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana State University Architectural Drawings by Theodore Link, LOUISiana Digital Library, Baton Rouge, La.			tl000015	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_TLD.php?CISOROOT=%2FTLD			2003-06-30	2003-06-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/TLD/id/14	14	1320193062003_tl000015.jpg	/TLD/image/1320193062003_tl000015.jpg
Atkinson Hall architectural drawing, sheet 1	Link, Theodore C.		1922;1924	Architectural drawing;Baton Rouge, La.;Louisiana State University (Baton Rouge, La.);Louisiana;Architecture;Buildings--Designs and plans;		Architectural drawings;lcsh;34.19x24.00"		eng		Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana State University Architectural Drawings by Theodore Link, LOUISiana Digital Library, Baton Rouge, La.			tl000016	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_TLD.php?CISOROOT=%2FTLD			2003-06-30	2003-06-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/TLD/id/15	15	21620193062003_tl000016.jpg	/TLD/image/21620193062003_tl000016.jpg
Atkinson Hall architectural drawing, sheet 2	Link, Theodore C.		1922;1924	Architectural drawing;Baton Rouge, La.;Louisiana State University (Baton Rouge, La.);Louisiana;Architecture;Buildings--Designs and plans;		Architectural drawings;lcsh;34.40x24.00"		eng		Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana State University Architectural Drawings by Theodore Link, LOUISiana Digital Library, Baton Rouge, La.			tl000017	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_TLD.php?CISOROOT=%2FTLD			2003-06-30	2003-06-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/TLD/id/16	16	40320193062003_tl000017.jpg	/TLD/image/40320193062003_tl000017.jpg
Atkinson Hall architectural drawing, sheet 3	Link, Theodore C.		1922;1924	Architectural drawing;Baton Rouge, La.;Louisiana State University (Baton Rouge, La.);Louisiana;Architecture;Buildings--Designs and plans;		Architectural drawings;lcsh;34.58x24.00"		eng		Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana State University Architectural Drawings by Theodore Link, LOUISiana Digital Library, Baton Rouge, La.			tl000018	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_TLD.php?CISOROOT=%2FTLD			2003-06-30	2003-06-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/TLD/id/17	17	59120193062003_tl000018.jpg	/TLD/image/59120193062003_tl000018.jpg
Atkinson Hall architectural drawing, sheet 4	Link, Theodore C.		1922;1924	Architectural drawing;Baton Rouge, La.;Louisiana State University (Baton Rouge, La.);Louisiana;Architecture;Buildings--Designs and plans;		Architectural drawings;lcsh;35.25x24.23"		eng		Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana State University Architectural Drawings by Theodore Link, LOUISiana Digital Library, Baton Rouge, La.			tl000019	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_TLD.php?CISOROOT=%2FTLD			2003-06-30	2003-06-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/TLD/id/18	18	81020193062003_tl000019.jpg	/TLD/image/81020193062003_tl000019.jpg
Atkinson Hall architectural drawing, sheet 5	Link, Theodore C.		1922;1924	Architectural drawing;Baton Rouge, La.;Louisiana State University (Baton Rouge, La.);Louisiana;Architecture;Buildings--Designs and plans;		Architectural drawings;lcsh;35.30x23.50"		eng		Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana State University Architectural Drawings by Theodore Link, LOUISiana Digital Library, Baton Rouge, La.			tl000020	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_TLD.php?CISOROOT=%2FTLD			2003-06-30	2003-06-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/TLD/id/19	19	2821193062003_tl000020.jpg	/TLD/image/2821193062003_tl000020.jpg
Atkinson Hall architectural drawing, sheet 6	Link, Theodore C.		1922;1924	Architectural drawing;Baton Rouge, La.;Louisiana State University (Baton Rouge, La.);Louisiana;Architecture;Buildings--Designs and plans;		Architectural drawings;lcsh;34.39x24"		eng		Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana State University Architectural Drawings by Theodore Link, LOUISiana Digital Library, Baton Rouge, La.			tl000021	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_TLD.php?CISOROOT=%2FTLD			2003-06-30	2003-06-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/TLD/id/20	20	23121193062003_tl000021.jpg	/TLD/image/23121193062003_tl000021.jpg
Atkinson Hall architectural drawing, sheet 7	Link, Theodore C.		1922;1924	Architectural drawing;Baton Rouge, La.;Louisiana State University (Baton Rouge, La.);Louisiana;Architecture;Buildings--Designs and plans;		Architectural drawings;lcsh;34.72x24.00"		eng		Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana State University Architectural Drawings by Theodore Link, LOUISiana Digital Library, Baton Rouge, La.			tl000022	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_TLD.php?CISOROOT=%2FTLD			2003-06-30	2003-06-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/TLD/id/21	21	45021193062003_tl000022.jpg	/TLD/image/45021193062003_tl000022.jpg
Atkinson Hall architectural drawing, sheet 8	Link, Theodore C.		1922;1924	Architectural drawing;Baton Rouge, La.;Louisiana State University (Baton Rouge, La.);Louisiana;Architecture;Buildings--Designs and plans;		Architectural drawings;lcsh;34.75x24.02"		eng		Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana State University Architectural Drawings by Theodore Link, LOUISiana Digital Library, Baton Rouge, La.			tl000023	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_TLD.php?CISOROOT=%2FTLD			2003-06-30	2003-06-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/TLD/id/22	22	65321193062003_tl000023.jpg	/TLD/image/65321193062003_tl000023.jpg
Atkinson Hall electrical drawing, sheet 1E	Link, Theodore C.		1922;1924	Architectural drawing;Baton Rouge, La.;Louisiana State University (Baton Rouge, La.);Louisiana;Architecture;Buildings--Designs and plans;		Architectural drawings;lcsh;34.84x24.00"		eng		Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana State University Architectural Drawings by Theodore Link, LOUISiana Digital Library, Baton Rouge, La.			tl000024	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_TLD.php?CISOROOT=%2FTLD			2003-06-30	2003-06-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/TLD/id/23	23	85621193062003_tl000024.jpg	/TLD/image/85621193062003_tl000024.jpg
Atkinson Hall electrical drawing, sheet 2E	Link, Theodore C.		1922;1924	Architectural drawing;Baton Rouge, La.;Louisiana State University (Baton Rouge, La.);Louisiana;Architecture;Buildings--Designs and plans;		Architectural drawings;lcsh;34.19x24.00"		eng		Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana State University Architectural Drawings by Theodore Link, LOUISiana Digital Library, Baton Rouge, La.			tl000025	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_TLD.php?CISOROOT=%2FTLD			2003-06-30	2003-06-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/TLD/id/24	24	6022193062003_tl000025.jpg	/TLD/image/6022193062003_tl000025.jpg
