Common name (Title of work)	Scientific name (Species)	Family name (English)	Family name (Latin)	Habitat	Related drawings	Artist	Date(s) collected	Coverage-Temporal	Publisher	Place collected	Name(s) of collector(s)	Description	Notes	Language	Original Format	Original Size	Digital Format	Repository	Cataloger	Restrictions	Cite As	Cataloged Date	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	Contact and Ordering Information	Item URL	Object File Name	Collection URL	Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
False Liatris	Carphephorus pseudo-liatris Cass.	Sunflower Family	ASTERACEAE			Stones, Margaret	September 17, 1981	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	St. Tammany Parish	Barker, Nancy; Givens, Florence M.; Pruski, John	"As suggested by the scientific and common names, this plant resembles species in the related genus Liatris, the blazing stars.  Both kinds of plants have lavender flowers clustered together in heads, a typical formation for members of the sunflower family.  The heads of false liatris form rather compact, flat-topped clusters, whereas the heads of blazing star generally form cylindrical clusters.  The basal leaves of false liatris are long and narrow.  The numerous stem leaves are also narrow and become progressively shorter toward the top of the stem.  False liatris grows in wet pine savannas of the Gulf Coastal Plain and flowers in late summer and autumn."  -- Lowell Urbatsch, in The Flora of Louisiana (Baton Rouge: LSU Press, 1991), p.9		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	ajb	Image copyright Louisiana State University.  'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press,	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-05-02	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.5 MB	Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	ANH	2006-03-31	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000034	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-05-04	2006-07-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/46	46	46.jp2	Volume15\ms000034.tif	/MSW/image/46.jp2
Indian Paint Brush	Castilleja indivisa Engelm.	Figwort Family	SCROPHULARIACEAE			Stones, Margaret	April 8, 1987	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	Evangeline Parish	Dupre, David	"Although Indian paint brush carpets vast areas of southeastern Texas with its bright red floral displays, it is rather uncommon in Louisiana.  The few reports of this plant come from scattered areas in the western part of Louisiana and may represent accidental introductions from Texas.  Indian paint brush is an annual that may grow in dense colonies.  Individual plants are about one foot in height and have numerous narrow leaves.  The most colorful part of the flowering spikes are structures called bracts that are yellow with brilliant red tips, giving the appearance of having been dipped in paint.  The flower petals are pale yellow and contribute little color to the plant.  Castilleja, named in honor of the Spanish botanist Domingo Castillejo, is primarily a genus of the western United States, where some 250 species exhibit a perplexing degree of variability."  -- Lowell Urbatsch, in The Flora of Louisiana (Baton Rouge: LSU Press, 1991), p.202		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	ajb	Image copyright Louisiana State University.  'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press,	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-05-02	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.3 MB	Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	ANH	2006-03-31	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000035	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-05-04	2006-07-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/47	47	47.jp2	Volume15\ms000035.tif	/MSW/image/47.jp2
Southern Catalpa	Catalpa bignonioides Walt.	Catalpa Family	BIGNONIACEAE			Stones, Margaret	April 6, 1982	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	East Baton Rouge Parish	Pope, Tom	"Catalpa is one of the few medium-sized trees with large, showy flowers native to Louisiana.  For a couple of weeks during springtime, this species stands out from the other vegetation along the edges of woodlands and streams.  Each broad, pyramidal flower cluster is about one foot in length.  The numerous bell-shaped flowers are one to two inches long with purple spotted, white corollas, which have two interior yellow stripes and ruffled margins.  Clusters of pods, which individually reach eighteen inches long, subsequently develop and remain on the trees for some time.  Also unique to this species are its opposite to whorled, large, heart-shaped leaves.  Southern catalpa is sometimes cultivated for its ornamental value, and the tree is well known to fishermen, who claim the catalpa worms (caterpillars) are irresistible to fish."  -- Lowell Urbatsch, in The Flora of Louisiana (Baton Rouge: LSU Press, 1991), p.38		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	ajb	Image copyright Louisiana State University.  'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press,	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-05-02	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.4 MB	Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	ANH	2006-03-31	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000036	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-05-04	2006-07-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/48	48	48.jp2	Volume15\ms000036.tif	/MSW/image/48.jp2
Redbud	Cercis canadensis L.	Legume Family	FABACEAE			Stones, Margaret	March, 1979 (flowers); September, 1979 (fruit); May, 1979 (leaves)	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	East Baton Rouge Parish	Stones, Margaret	"Winter buds on naked twigs burst into magenta blooms with the first warming of spring.  Subsequent to flowering, heart-shaped leaves and clusters of reddish brown pods adorn the branches of redbud.  The flowers, which exhibit showy banner, wing, and keel petals, and the beanlike pods are unmistakably leguminous.  Redbud is a popular ornamental, and numerous horticultural selections are available.  The flower buds may be eaten and make an unusual and colorful garnish for salads.  Cercis canadensis, which grows as an understory tree in hardwood forests of the eastern United States, is one of a handful of redbud species known from North America, Europe, and Asia."  -- Lowell Urbatsch, in The Flora of Louisiana (Baton Rouge: LSU Press, 1991), p.59		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	ajb	Image copyright Louisiana State University.  'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press,	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-05-02	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.4 MB	Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	ANH	2006-03-31	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000038	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-05-04	2006-07-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/50	50	50.jp2	Volume15\ms000038.tif	/MSW/image/50.jp2
Fairy Wand or Devil's Bit	Chamaelirium luteum (L.) Gray	Lily Family	LILIACEAE			Stones, Margaret	April 22, 1985	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	St. Tammany Parish	Smith, Latimore	"Although fairy wand occurs widely throughout the eastern United States, it is quite rare in Louisiana, where only a few plants have been found on a few rich, wooded hillsides.  This member of the lily family develops a basal rosette of leaves and, at flowering, produces elongated flowering stalks with reduced leaves.  Each of the numerous flowers is composed of six petal-like perianth parts.  Pollen- and seed-producing flowers grow on separate plants.  Pollen plants appear every year, while seed-producing ones may flower every two or three years.  The name devil's bit seems inappropriate for this elegant woodland wildflower.  Apparently, the name was familiar to English immigrants, who applied it to a vaguely similar plant in their new land." --Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 106		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-07-20	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.2 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-07-18	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000039	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-07-26	2006-07-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/52	52	52.jp2		/MSW/image/52.jp2
Sunbonnets	Chaptalia tomentosa Vent.	Sunflower Family	ASTERACEAE			Stones, Margaret	April 8, 1978	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	Washington Parish	Urbatsch, Lowell E.	"This unusual, early flowering, little bog-plant with its rosette of leaves and solitary heads of flowers has a form somewhat like that of the common dandelion.  However, in detail the two are quite different.  Sunbonnets' leaves have a dense, felty mat of white hairs beneath, and their margins are sooth or possess small teeth.  Sunbonnets' heads are composed of disk and ray flowers that are unequally lobed.  Chaptalia is related to a primarily tropical group of sunflowers and is not close kin to the dandelion.  Like many other members of the sunflower family, sunbonnets have heads that respond to light.  At night and on cloudy days, the ray flowers form a brim around the nodding head, giving them a bonnetlike appearance.  On sunny days, the heads are erect and track the movement of the sun." --Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 9		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-07-17	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.0 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-07-17	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000040	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-07-26	2006-07-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/53	53	53.jp2		/MSW/image/53.jp2
Fringe Tree	Chionanthus virginicus L.	Olive Family	OLEACEAE			Stones, Margaret	April 15, 1978 (flowers); September 20, 1978 (fruit)	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	Natchitoches Parish (flowers); Tangipahoa Parish (fruit)	Landry, Garry; Urbatsch, Lowell E.	"The intricate and delicate, lacy appearance achieved in this drawing of the fringe tree in flower exemplifies the exquisite talents of Stones.  Note that each flower of the large cluster has four long, white petals and two stamens.  Black, olivelike fruit mature by the middle of summer.  Fringe tree leaves are opposite and simple with purple leaf stalks.  This attractive, small, deciduous tree of the olive family is a popular ornamental and is often the showpiece of the garden.  In the wild, fringe tree grows throughout the upland forests of Louisiana and the eastern United States."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p.138		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-07-20	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.2 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-07-17	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000041	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-07-26	2006-07-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/54	54	54.jp2		/MSW/image/54.jp2
Spiny Thistle	Cirsium horridulum Michx.	Sunflower Family	ASTERACEAE			Stones, Margaret	April 3, 1980	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	East Baton Rouge Parish	Urbatsch, Lowell E.	"The intricate color and structure of the spiny thistle, a plant common to the roadsides and pastures of Louisiana, can be appreciated more fully by observing this drawing.  This member of the sunflower family is typical in having small flowers arranged in heads that themselves have the appearance of individual flowers.  This plant is also called yellow thistle because the flowers are often pale yellow.  Flowers in this genus typically are purple.  Many parts of this thistle are spiny, including the many smaller leaves surrounding the heads and the tips of the lobes of the numerous stem leaves.  Spiny thistle is a biennial.  It produces great rosettes of long spiny leaves during the winter months and flowering stalks that bolt upward in the springtime.  Young stems of this species are edible and possess a texture and flavor similar to celery.  Thistles and their kin are closely related to the artichoke."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p.24		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-07-20	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	20.8 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-07-17	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000042	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-07-26	2006-07-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/55	55	55.jp2		/MSW/image/55.jp2
Spring Beauty	Claytonia virginica L.	Purslane Family	PORTULACACEAE			Stones, Margaret	March 5, 1984	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	Lincoln Parish	Thomas, R. Dale	"Spring beauty is a tufted, perennial herb that grows from an underground corm.  Its linear leaves, like those of most members of the purslane family, are somewhat succulent.  The raceme on each stem produces about a dozen delicate flowers, which are individually composed of two sepals and five petals.  Typically pink, the petals may vary from white to rose with purple veins.  The purplish stamens number the same as the petals and are attached to them.  Spring beauty grows in lawns, fields, and rich sandy woodlands throughout the eastern states and may be grown in the native plant garden for its decorative flowers."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p.192		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-07-20	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.1 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-07-17	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000043	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-07-26	2006-07-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/56	56	56.jp2		/MSW/image/56.jp2
Spreading Pogonia	Cleistes divaricata (L.) Ames	Orchid Family	ORCHIDACEAE			Stones, Margaret	April 25, 1981	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	St. Tammany Parish	Urbatsch, Lowell E.	"Spreading pogonia is a rare beauty found in wet meadows and bogs, where it grows among pitcher plants and sundews.  From one to three flowers sit atop a stem bearing a solitary leaf.  The central, tubular part of the flower consists of the lip, or lower petal, and the upper two petals, which close over the top of the lip, completely concealing the column contained within.  In contrast to the pink, connivent, upper petals and crimson-veined lip, the deeply reddish purple sepals spread boldly upward and outward.  Known in only a few localities in Louisiana, this orchid's rarity may be due to its specialized habitat requirements.  More frequent appearances after the sites have been burned suggest that, as with many bog plants, its existence may depend on fire."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p.149		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-07-20	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.0 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-07-17	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000044	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-07-26	2006-07-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/57	57	57.jp2		/MSW/image/57.jp2
Blue Jasmine or Blue Leather Flower	Clematis crispa L.	Buttercup Family	RANUNCULACEAE			Stones, Margaret	April 30, 1977	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	East Baton Rouge Parish	Hawkins, Julia	"Bell-shaped, cerulean blue flowers adorn the branches of this vine found in the rich, moist soils of marshes and woodland borders.  Although the flowers lack petals, they are nevertheless attractive because of the four rather fleshy, petal-like sepals, which have attenuate, upturned tips.  Within the calyces are numerous stamens and pistils, which form rather long-tailed fruits.  Blue jasmine has opposite, pinnately compound leaves with three to five leaflets.  This perennial herbaceous vine is worthy of cultivation for its attractive, unusual flowers.  A number of other interesting and colorful leather flowers grow in Louisiana and adjacent states.  For example, C. texensis of central Texas is a species with scarlet flowers.  The more commonly cultivated species of Clematis, with the large, disk-shaped flowers, are imports mostly native to China."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p.193	Common name as a[[ears on drawing is Leather-flower.  Collector name as appears on drawing is Mrs. Murray Hawkins.	en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-07-20	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.1 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-07-17	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000045	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-07-26	2006-07-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/58	58	58.jp2		/MSW/image/58.jp2
Sweet Pepperbush or White Alder	Clethra alnifolia L. [Clethra alnifolia  L. var. tomentosa (Lam.) Michx.]	White Alder Family	CLETHRACEAE			Stones, Margaret	September 23, 1977	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	Royal Botanic Gardens, Kew, England	Stones, Margaret	"Sweetly fragrant, white racemes of flowers are one of the attractions of this shrub that grows in wet pine savannas, baygalls, and bogs.  The flowers, five-merous and radially symmetric, have a rather simple structure.  The shrub's undivided leaves are alternate and resemble those of Alnus (alder), as suggested by the specific epithet for this species.  Sweet pepperbush generally forms thickets as new shoots arise form spreading rhizomes.  The many-branched, upright stems may attain twelve feet in height and are covered by a thin, reddish bark.  Clethra grows readily under various conditions that may be a major garden attraction through out the seasons.  This handsome shrub attracted the attention of early collectors who came to North America.  The plant was first illustrated in Leonard Plukenet's Phytographi…, published in London in 1691, and it was included by Mark Catesby in his two-volume work The Nature History of Carolina, Florida, and the Bahama Islands, Volume One, Part Four, published in 1731."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p.62 	Common name as appears on the drawing is Hairy Pepperbush.  The drawing also notes: "First introduced to England by MN Drummond of New Orleans.  Illustrated "Curtiss Botanical Magazine", T3743, Vol 66, 1840."	en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-07-20	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.0 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-07-17	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000046	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-07-26	2006-07-31	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/59	59	59.jp2		/MSW/image/59.jp2
Black Titi or Buckwheat Tree	Cliftonia monophylla (Lam.) Britt. Ex Sarg.	Cyrilla Family	CYRILLACEAE			Stones, Margaret	March 25, 1987 (flowers); October, 1981 (fruit)	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	Washington Parish	Pope, Tom	"Black titi is a rather common shrub of the acid bogs and wet woodlands of the southeastern coastal plain, but only recently were about fifty plants discovered in St. Tammany Parish in Louisiana.  Black titi often forms dense stands.  Its rounded form is created by many-branched twigs that bear numerous dark green, leathery, shiny, mostly evergreen leaves.  One to several racemes of flowers appear in the late spring from near the branch tips that were formed in the previous season.  Petal color may vary from white, which is the most common, to pink.  Subsequent to flowering, this plant develops small, dry, two-to five-winged fruits that resemble those of the unrelated buckwheat, thus accounting for this plant's being called the buckwheat tree."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p.53	The drawing's dates could be read 1981 or 1987.	en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2005-07-20	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	20.1 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-07-18	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000047	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-07-26	2006-07-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/60	60	60.jp2		/MSW/image/60.jp2
