Title	Compound	Photographer	Date	Dates	Subjects	Notes	Original Format/Size	Digital Format	Digital Collection	Repository	Repository Collection	Repository Collection Guide	Restrictions	Cite As	Physical Description	Contact and Ordering Information	Item URL	Item Number	Collection URL	Type	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Veterans veto protest parade.		Unknown	ca. 1930		Long, Huey Pierce, 1893-1935--Photographs.;Veterans--Louisiana--New Orleans--Photographs.	Huey P. Long with among participants and banners at veterans' protest parade, New Orleans, La., ca. 1930.	Gelatin silver prints;3.25" x 4.00"	jpg	Huey P. Long Photograph Album.	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Huey P. Long Photograph Album (Mss. 4495).		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Huey P. Long Photograph Album (Mss. 4495), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	44950011	http://louisdl.louislibraries.org/cdm4/index_LSU_HPL.php?CISOROOT=/LSU_HPL	Photographs	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_HPL/id/10	10	11.jpg	/LSU_HPL/image/11.jpg
Veterans protest parade participants.		Unknown	ca. 1930		Long, Huey Pierce, 1893-1935--Photographs.;Veterans--Louisiana--New Orleans--Photographs.	Huey P. Long with participants of veterans' protest prade, New Orleans, La., ca. 1930.	Gelatin silver prints;3.00" x 4.75"	jpg	Huey P. Long Photograph Album.	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Huey P. Long Photograph Album (Mss. 4495).		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Huey P. Long Photograph Album (Mss. 4495), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	44950012	http://louisdl.louislibraries.org/cdm4/index_LSU_HPL.php?CISOROOT=/LSU_HPL	Photographs	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_HPL/id/11	11	12.jpg	/LSU_HPL/image/12.jpg
Seated at a table.		Unknown	ca. 1930		Long, Huey Pierce, 1893-1935--Photographs.	Huey P. Long and unidentified man seated at a table, ca. 1930.  Long examining unidentified object in his hand.	Gelatin silver prints;3.75" x 4.75"	jpg	Huey P. Long Photograph Album.	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Huey P. Long Photograph Album (Mss. 4495).		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Huey P. Long Photograph Album (Mss. 4495), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	44950013	http://louisdl.louislibraries.org/cdm4/index_LSU_HPL.php?CISOROOT=/LSU_HPL	Photographs	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_HPL/id/12	12	13.jpg	/LSU_HPL/image/13.jpg
Unidentified group of men.		Unknown	ca. 1930		Long, Huey Pierce, 1893-1935--Photographs.	Huey P. Long standing with a group of unidentified men, ca. 1930.	Gelatin silver prints;3.25" x 4.50"	jpg	Huey P. Long Photograph Album.	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Huey P. Long Photograph Album (Mss. 4495).		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Huey P. Long Photograph Album (Mss. 4495), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	44950014	http://louisdl.louislibraries.org/cdm4/index_LSU_HPL.php?CISOROOT=/LSU_HPL	Photographs	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_HPL/id/13	13	14.jpg	/LSU_HPL/image/14.jpg
Mrs. Long with umbrella.		Unknown	ca. 1930		Long, Huey Pierce, 1893-1935--Photographs.;Long, Rose McConnell, 1892-1970--Photographs..	Huey P. Long standing with several unidentified men, one of whom is assisting Mrs. Rose Long with an umbrella.  Possibly after voting in New Orleans, La., ca. 1930.	Gelatin silver prints;3.50" x 5.00"	jpg	Huey P. Long Photograph Album.	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Huey P. Long Photograph Album (Mss. 4495).		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Huey P. Long Photograph Album (Mss. 4495), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	44950015	http://louisdl.louislibraries.org/cdm4/index_LSU_HPL.php?CISOROOT=/LSU_HPL	Photographs	Image		2005-10-25	2008-07-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_HPL/id/14	14	15.jpg	/LSU_HPL/image/15.jpg
Leaving a voting booth.		Unknown	ca. 1930		Long, Huey Pierce, 1893-1935--Photographs.	Huey P. Long exiting a voting booth, New Orleans, La., ca. 1930.	Gelatin silver prints;3.00" x 4.75"	jpg	Huey P. Long Photograph Album.	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Huey P. Long Photograph Album (Mss. 4495).		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Huey P. Long Photograph Album (Mss. 4495), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	44950016	http://louisdl.louislibraries.org/cdm4/index_LSU_HPL.php?CISOROOT=/LSU_HPL	Photographs	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_HPL/id/15	15	16.jpg	/LSU_HPL/image/16.jpg
In Washington, D. C.		Unknown	ca. 1932		Long, Huey Pierce, 1893-1935--Photographs.;Long, Rose McConnell, 1892-1970--Photographs.	Huey P. Long and Mrs. Rose Long, Washington, D. C., ca. 1932.	Gelatin silver prints;3.00" x 4.75"	jpg	Huey P. Long Photograph Album.	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Huey P. Long Photograph Album (Mss. 4495).		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Huey P. Long Photograph Album (Mss. 4495), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	44950017	http://louisdl.louislibraries.org/cdm4/index_LSU_HPL.php?CISOROOT=/LSU_HPL	Photographs	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_HPL/id/16	16	17.jpg	/LSU_HPL/image/17.jpg
With Russell Long.		Unknown	ca. 1932		Long, Huey Pierce, 1893-1935--Photographs.;Long. Russell B., 1918-2003--Photographs.	Huey P. Long and son Russell Long, Washington, D. C., ca. 1932.	Gelatin silver prints;3.25" x 4.75"	jpg	Huey P. Long Photograph Album.	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Huey P. Long Photograph Album (Mss. 4495).		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Huey P. Long Photograph Album (Mss. 4495), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	44950018	http://louisdl.louislibraries.org/cdm4/index_LSU_HPL.php?CISOROOT=/LSU_HPL	Photographs	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_HPL/id/17	17	18.jpg	/LSU_HPL/image/18.jpg
At Washington, D. C. train station.		Unknown	ca. 1932		Long, Huey Pierce, 1893-1935--Photographs.;Long, Rose McConnell, 1892-1970--Photographs.	Huey P. Long, Mrs. Rose Long, and unidentified men at Washington, D. C. train station, ca. 1932.	Gelatin silver prints;3.50" x 4.75"	jpg	Huey P. Long Photograph Album.	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Huey P. Long Photograph Album (Mss. 4495).		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Huey P. Long Photograph Album (Mss. 4495), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	44950019	http://louisdl.louislibraries.org/cdm4/index_LSU_HPL.php?CISOROOT=/LSU_HPL	Photographs	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_HPL/id/18	18	19.jpg	/LSU_HPL/image/19.jpg
Taking oath.		Unknown	1932		Long, Huey Pierce, 1893-1935--Photographs.;Legislators--United States--Inauguration--Photographs.	Huey P. Long taking oath of office as U.S. senator, Washington, D. C., 1932.	Gelatin silver prints;3.25" x 4.75"	jpg	Huey P. Long Photograph Album.	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Huey P. Long Photograph Album (Mss. 4495).		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Huey P. Long Photograph Album (Mss. 4495), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	44950020	http://louisdl.louislibraries.org/cdm4/index_LSU_HPL.php?CISOROOT=/LSU_HPL	Photographs	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_HPL/id/19	19	20.jpg	/LSU_HPL/image/20.jpg
Bill signing.		Unknown	ca. 1932		Long, Huey Pierce, 1893-1935--Photographs.;Allen, Oscar Kelly, 1882-1936--Photographs.	Huey P. Long standing next to Gov. O. K. Allen as Allen signs bill for Huey P. Long bridge, Baton Rouge, La., ca. 1932.	Gelatin silver prints;3.00" x 4.50"	jpg	Huey P. Long Photograph Album.	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Huey P. Long Photograph Album (Mss. 4495).		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Huey P. Long Photograph Album (Mss. 4495), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	44950021	http://louisdl.louislibraries.org/cdm4/index_LSU_HPL.php?CISOROOT=/LSU_HPL	Photographs	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_HPL/id/20	20	21.jpg	/LSU_HPL/image/21.jpg
With O. K. Allen.		Unknown	ca. 1932		Long, Huey Pierce, 1893-1935--Photographs.;Allen, Oscar Kelly, 1882-1936--Photographs.	Huey P. Long and Gov. O. K. Allen, Baton Rouge, La., ca. 1932.	Gelatin silver prints;3.25" x 4.50"	jpg	Huey P. Long Photograph Album.	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Huey P. Long Photograph Album (Mss. 4495).		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Huey P. Long Photograph Album (Mss. 4495), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	44950022	http://louisdl.louislibraries.org/cdm4/index_LSU_HPL.php?CISOROOT=/LSU_HPL	Photographs	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_HPL/id/21	21	22.jpg	/LSU_HPL/image/22.jpg
