Common name (on plate)	Notes	Current common name	Scientific name (on plate)	Current scientific name	Common name of plant	Scientific name of plant	Current scientific plant name	Artist	Date drawn	Publication Date	Plate number	Part number	Printer (publisher)	Engraver/lithographer	Donated by	Physical description	Original Format	Subjects	Author of notes	Language	Location of bird drawn	Bibliographic Information	Digital Collection	Repository	Repository Collection	Collection Information	Digital reproduction information	Restrictions	Cite As	Contact and Ordering Information	Item number	Accession number	Item URL	Collection URL	Cataloger	Cataloged date	Type	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Chipping Bunting				Spizella passerina	Black Locust	Robina pseudacacia		Audubon, John James (1785-1851)	1821		165 (104 E.Fol.)	33	J.B. Chevalier	J.T. Bowen		7in x 11in; Depicts one bird on a limb of a black locust.	Water-colored lithograph	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Scanned with a DigiBook 10000 RGB Color Scanner	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00058		See "reference url" in navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Debbie Cannon	070503	Lithographs	Image		2007-05-03	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/12	12	13.jp2		/LSU_JJA/image/13.jp2
Wood Duck / Summer Duck				Aix sponsa	Sycamore Tree		Platanus occidentalis	Audubon, John James (1785-1851)	1821		391 (E.Fol. 206)	79	J.B. Chevalier	J.T. Bowen		7in x 11in; Depicts four birds in a sycamore tree.	Water-colored lithograph	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Scanned with a DigiBook 10000 RGB Color Scanner	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00059		See "reference url" in navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Debbie Cannon	070503	Lithographs	Image		2007-05-03	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/13	13	14.jp2		/LSU_JJA/image/14.jp2
Great Blue Heron				Ardea herodias				Audubon, John James (1785-1851)	1821		369 (211 E.Fol.)	74	J.B. Chevalier	J.T. Bowen		7in x 11in; Depicts one bird on a mud bank by water with grasses.	Water-colored lithograph	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Scanned with a DigiBook 10000 RGB Color Scanner	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00060		See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Debbie Cannon	070503	Lithographs	Image		2007-05-03	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/14	14	15.jp2		/LSU_JJA/image/15.jp2
Mallard				Anas platyrhynchos				Audubon, John James (1785-1851)	1821		385 (221 E.Fol.)	77	J.B. Chevalier	J.T. Bowen		11in x 7in; Depicts two males and two females among grasses and yellow flowers with water in the foreground.	Water-colored lithograph	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Scanned with a DigiBook 10000 RGB Color Scanner	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00061		See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Debbie Cannon	070503	Lithographs	Image		2007-05-03	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/15	15	16.jp2		/LSU_JJA/image/16.jp2
Least Tern				Sternula antillarum				Audubon, John James (1785-1851)	1821		439 (319 E.Fol.)	88	J.B. Chevalier	J.T. Bowen		7in x 11in; Depicts a young bird above and an adult bird, below, both in flight against a background of sky.	Water-colored lithograph	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Scanned with a DigiBook 10000 RGB Color Scanner	Physical rights are retained by the LSU Libraries.  Copyright of the original material is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00065		See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Aimee Everrett	070504	Lithographs	Image		2007-05-04	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/16	16	17.jp2		/LSU_JJA/image/17.jp2
Yellow-throated Vireo, or Greenlet				Vireo flavifrons	Swamp Snowball	Hydrangea quercifolia		Audubon, John James (1785-1851)			238 (119 E.Fol.)	48	J.B. Chevalier	J.T. Bowen		7in x 11in; Depicts a male in a branch of hydrangea reaching for a wasp.	Water-colored lithograph	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Scanned with a DigiBook 10000 RGB Color Scanner	Physical rights are retained by the LSU Libraries.  Copyright of the original material is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00017		See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Aimee Everrett	070504	Lithographs	Image		2007-05-04	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/17	17	18.jp2		/LSU_JJA/image/18.jp2
Pine-creeping Wood Warbler				Dendroica pinus	Yellow Vine	Pinus variabilis		Audubon, John James (1785-1851)	1821		82 (140 E.Fol.)	17	J.B. Chevalier	J.T. Bowen		7in x 11in; Depicts a female, above, and a male, below, in a loblolly pine.	Water-colored lithograph	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Scanned with a DigiBook 10000 RGB Color Scanner	Physical rights are retained by the LSU Libraries.  Copyright of the original material is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00018		See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Aimee Everrett	070504	Lithographs	Image		2007-05-04	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/18	18	19.jp2		/LSU_JJA/image/19.jp2
White Ibis				Eudocimus albus				Audubon, John James (1785-1851)	1821		360 (222 E.Fol.)	72	J.B. Chevalier	J.T. Bowen		11in x 7in; Depicts two birds amid mounds of mud made by a burrowing crawfish.	Water-colored lithograph	Birds--North America; Birds--Pictorial works		en			John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Scanned with DigiBook 10000 RGB Color Scanner	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00020		See "reference URL" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Debbie Cannon	070504	Lithographs	Image		2007-05-04	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/19	19	20.jp2		/LSU_JJA/image/20.jp2
Hudsonion Curlew		Whimbrel		Numenius phaeopus (Linnaeus)				Audubon, John James (1785-1851)			365 (E.Fol 237)	72	J.B. Chevalier	J.T. Bowen		11in x 7in; Depicts one bird in a little clearing amid rocks and grasses.	Water-colored lithograph	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Scanned with a DigiBook 10000 RGB Color Scanner	Physical rights are retained by the LSU Libraries.  Copyright of the original material is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00062		See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Aimee Everrett	070504	Lithographs	Image		2007-05-04	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/21	21	22.jp2		/LSU_JJA/image/22.jp2
Pied-billed Dobchick				Podilymbus podiceps				Audubon, John James (1785-1851)	1821		483 (El. Fol. 248)	97	J.B. Chevalier	J.T. Bowen		11in x 7in; Depicts an adult in winter plumage left, and an adult in breeding plumage.	Water-colored lithograph	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Scanned with a DigiBook 10000 RGB Color Scanner	Physical rights are retained by the LSU Libraries.  Copyright of the original material is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00063		See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Aimee Everrett	070504	Lithographs	Image		2007-05-04	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/22	22	23.jp2		/LSU_JJA/image/23.jp2
Red-breasted Sandpiper		Red Knot		Calidrus canutus				Audubon, John James (1785-1851)	1821		328 (El. Fol. 315)	66	J.B. Chevalier	J.T. Bowen		11in x 7in; Depicts a bird in breeding plumage, above, and another in winter plumage, below, on a spit of beach.	Water-colored lithograph	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Scanned with a DigiBook 10000 RGB Color Scanner	Physical rights are retained by the LSU Libraries.  Copyright of the original material is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00064		See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Aimee Everrett	070504	Lithographs	Image		2007-05-04	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/23	23	24.jp2		/LSU_JJA/image/24.jp2
Yellow-breasted Rail		Yellow Rail		Coturnicops noveboracensis				Audubon, John James (1785-1851)			307 (El. Fol. 329)	62	J.B. Chevalier	J.T. Bowen		11in x 7in; Depicts one bird perched on low rocks on a bank by water with trees and woods behind.	Water-colored lithograph	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Scanned with a DigiBook 10000 RGB Color Scanner	Physical rights are retained by the LSU Libraries.  Copyright of the original material is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00066		See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Aimee Everrett	070504	Lithographs	Image		2007-05-04	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/24	24	25.jp2		/LSU_JJA/image/25.jp2
Green Heron		Green-backed Heron		Butorides striatus				Audubon, John James (1785-1851)			367 (E. Fol. 333)	74	J.B. Chevalier	J.T. Bowen		11in x 7in; Depicts an adult bird in the foreground with a young bird behind.	Water-colored lithograph	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Scanned with a DigiBook 10000 RGB Color Scanner	Physical rights are retained by the LSU Libraries.  Copyright of the original material is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00067		See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Aimee Everrett	070504	Lithographs	Image		2007-05-04	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/25	25	26.jp2		/LSU_JJA/image/26.jp2
Bonaparte Fly Catcher			Muscicapa bonaparth	Muscicapa bonapartii	Great Magnolia	Magnolia grandiflora	Magnolia grandiflora	Audubon, John James (1785-1851)			5	6	W.H. Lizars	W.H. Lizars	Beverly J. Covington	30in x 40in; Depicts a young female perched on a branch of a Southern Magnolia.	Water-colored engraving with aquatint	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Photographed with a large format 4in x 5in view camera outfitted with a Better Light Precision Digital Imaging back. Uploaded as jpeg 2000.	Physical rights are retained by the LSU Libraries.  Copyright of the original material is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00001	20006	See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Aimee Everrett	070504	Engravings	Image		2007-05-04	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/26	26	27.jp2		/LSU_JJA/image/27.jp2
Selby's Fly Catcher		Hooded Warbler	Muscicapa selbii	Wilsonia citrina	Pheasant's Eye		Adonis autumnalis	Audubon, John James (1785-1851)	1821		9	2	R. Havell & Son	W.H. Lizars	Paul M. Hebert	30in x 40 in; Depicts a young bird perched on a stalk of Pheasant's Eye.	Water-colored engraving with aquatint	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Photographed with a large format 4in x 5in view camera outfitted with a Better Light Precision Digital Imaging back. Uploaded as jpeg 2000.	Physical rights are retained by the LSU Libraries.  Copyright of the original material is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00002	20010	See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Aimee Everrett	070504	Engravings	Image		2007-05-04	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/27	27	28.jp2		/LSU_JJA/image/28.jp2
Prairie Warbler			Sylvia discolor	Dendroica discolor	Buffaloe Grass		Buchloe dactyloides	Audubon, John James (1785-1851)	1821		14	260	R. Havell Sr.	R. Havell Jr.	Joseph H. Jones Jr.	30in x 40in; Depicts a female, above, and a male, below, in sedge.	Water-colored engraving with aquatint	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Photographed with a large format 4in x 5in view camera outfitted with a Better Light Precision Digital Imaging back. Uploaded as jpeg 2000.	Physical rights are retained by the LSU Libraries.  Copyright of the original material is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00003	20015	See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Aimee Everrett	070504	Engravings	Image		2007-05-04	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/28	28	29.jp2		/LSU_JJA/image/29.jp2
Bewick's Long Tailed Wren		Bewick's wren	Troglodytes bewick II.	Thryomanes bewickii  	Iron Wood			Audubon, John James (1785-1851)	1821		18	4	R. Havell Sr.	R. Havell Jr.	Miss Sarah Lee	30in x 40in; depicts one male in a winged elm.	Water-colored engraving with aquatint	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Photographed with a large format 4in x 5in view camera outfitted with a Better Light Precision Digital Imaging back. Uploaded as jpeg 2000.	Physical rights are retained by the LSU Libraries.  Copyright of the original material is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00004	20019	See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Lisa Lapointe	070507	Engravings	Image		2007-05-07	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/29	29	30.jp2		/LSU_JJA/image/30.jp2
Louisiana Water Thrush		Louisiana Waterthrush	Turdus aquaticus	Seiurus motacilla	Indian Turnip			Audubon, John James (1785-1851)	1821		19	4	R. Havell Sr.	R. Havell Jr.	Mr. and Mrs. Arthur M. Palmer	30in x 40in; Depicts one bird in a fruited jack-in-the-pulpit.	Water-colored engraving with aquatint	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Photographed with a large format 4in x 5in view camera outfitted with a Better Light Precision Digital Imaging back. Uploaded as jpeg 2000.	Physical rights are retained by the LSU Libraries.  Copyright of the original material is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00005	20020	See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Lisa Lapointe	070507	Engravings	Image		2007-05-07	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/30	30	31.jp2		/LSU_JJA/image/31.jp2
The Mocking Bird		Northern Mockingbird	Turdus polyglottus	Mimus polyglottos	Yellow Jessamin			Audubon, John James (1785-1851)	1821		21	06	R. Havell & Son	R. Havell & Son	Dr. Fred H. Fenn	30in x 40in; Depicts two pairs of Mockingbirds defending a nest from a timber rattlesnake.	Water-colored engraving with aquatint	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Photographed with a large format 4in x 5in view camera outfitted with a Better Light Precision Digital Imaging back. Uploaded as jpeg 2000.	Physical rights are retained by the LSU Libraries.  Copyright of the original material is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00006	20022	See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Lisa Lapointe	070507	Engravings	Image		2007-05-07	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/31	31	32.jp2		/LSU_JJA/image/32.jp2
