Title	Date	Author	Subject Terms	Geographic Terms	Publication Information	Physical Description	Notes	Call No./Stacks location	Category	Contributors	Type	Format	Language	Relation	Rights	Audience	FILE NAME	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Larose to Golden Meadow, Louisiana, hurricane protection	1973	United States. Army. Corps of Engineers. New Orleans District.	Hurricane protection--Louisiana--Lafourche Parish; Flood damage prevention--Louisiana--Lafourche Parish; Environmental protection--Louisiana--Lafourche Parish; Environmental impact statements--Louisiana--Lafourche Parish.	Lafourche, Bayou (La.); Lafourche Parish (La.)	[New Orleans : The District, 1973]	72 leaves in various foliations : ill., maps ; 27 cm.	Statement of findings: 5 leaves inserted; November 1973.	D 103.1000:973-2											2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/10	10	11.pdf	/p16313coll35/image/11.pdf
Flood control of the Mississippi River : address ... before the National Drainage Congress, St. Louis, Mo., April 11th, 1913	1913	Townsend, C. McD. (Curtis McDonald), 1856-1941.	Floods--Mississippi River; Flood control		Memphis, Tenn. : Mississippi River Levee Association, [1913?]	15 p. : maps ; 24 cm.	Includes a proposed bill 'to prevent floods on the Mississippi River and to improve navigation thereon.'	TC425 .M6 T7	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/11	11	12.pdf	/p16313coll35/image/12.pdf
Final environmental statement: Mississippi River, Baton Rouge to the Gulf of Mexico, Louisiana	1973	United States. Army. Corps of Engineers. New Orleans District.	Dredging--Environmental aspects--Louisiana.	Mississippi River--Regulation.	New Orleans : The Corps, 1973.	[90] p. in various pagings, 7 folded plates : facsims., maps, plan ; 27 cm.	Cover title.	D 103.1000:973-3											2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/12	12	13.pdf	/p16313coll35/image/13.pdf
Geology of the Mississippi River deltaic plain southeastern Louisiana	1958	Waterways Experiment Station (U.S.)	Geology--Mississippi River; Deltas--Louisiana.	Mississippi River Delta (La.)	Vicksburg, Miss. : Army Engineer Waterways Experiment Station, 1958.	vii, 120 p., 1 leaf of plates : ill., maps ; 27 cm.		D 103.24/2:3-483 v.1											2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/13	13	14.pdf	/p16313coll35/image/14.pdf
The improvement of the Mississippi River. An address delivered at St. Louis, January 26, 1884	1884	Taylor, Robert S. (Robert Stewart), 1838-1918.		Mississippi River	[St. Louis] [1884]	54 p. map. 23 cm.	Reprinted by the Mississippi River Improvement Committee of the Merchants Exchange of St. Louis.	TC425 .M6 T32	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/14	14	15.pdf	/p16313coll35/image/15.pdf
Hydraulic characteristics of Rigolets Pass, Louisiana, hurricane surge control structures	1976	Berger, Rutherford C.	Hydraulic structures--Models; Hurricane protection--Louisiana--Pontchatrain, Lake; Storm surges--Louisiana--Pontchatrain, Lake.	Pontchartrain, Lake (La.).	Vicksburg, Miss. : Dept. of Defense, Dept. of the Army, Corps of Engineers, Waterways Experiment Station, Hydraulics Laboratory, 1976.	v. : ill. ; 27 cm.	Errata corrects plates 24 and 25; NR. 15-22 OF SERIES BOUND TOGETHER	D 103.24/2:H-76-16											2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/15	15	16.pdf	/p16313coll35/image/16.pdf
Improvement of the Mississippi River : speech of Hon. Randall L. Gibson, of Louisiana, in the House of Representatives, February 5, 1879	1879	Gibson, Randall Lee, 1832-1892.	Flood control--Mississippi River	Mississippi River--Navigation	Washington [D.C.] : [s.n.], 1879.	22 p. ; 21 cm.	Cover title	TC425 .M6 G53 1879	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/20	20	21.pdf	/p16313coll35/image/21.pdf
Investigation of proposed dike systems on the Mississippi River	1981	Pokrefke, Thomas J.	Channels (Hydraulic engineering)--Mississippi River; Dikes (Engineering)--Mississippi River.	Mississippi River.	Vicksburg, Miss. : U.S. Army Engineer Waterways Experiment Station ; [Springfield, Va. : Available from National Technical Information Service, 1981-	&lt;1&gt; v. : maps (some col.) ; 27 cm.	Cover title; Hydraulics Laboratory; Description based on rept. 2.	D 103.24/4:H-70-1/RPT.2											2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/21	21	22.pdf	/p16313coll35/image/22.pdf
Lecture on the subject of the levees, read before the New Orleans Academy of Sciences. January 16, 1872	1872	Thompson, Meriwether Jeff, 1826-1876.		Louisiana--Levees; Mississippi River--Levees; Louisiana--Flood control	New Orleans, Printed at the Republican Office, 1872.	19 p. 23 cm.		TC425 .M63 L8 1872	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/22	22	23.pdf	/p16313coll35/image/23.pdf
Canal connecting the Mississippi River with the Gulf of Mexico : letter from the Secretary of War, in answer to a resolution of the House of March 14, 1871, in relation to a ship-canal to connect the Mississippi River with the Gulf of Mexico	1874	United States. War Dept. Office of the Chief of Engineers.	Canals--Louisiana; Jetties--Mississippi River; River engineering--Mississippi River		Washington, DC : U.S. G.P.O., 1874	92 p. ; 23 cm.	Caption title; Referred to the Committee on Railways and Canals and ordered to be printed February 5, 1874	TC624 .L8 U68 1874	inland navigation										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/23	23	24.pdf	/p16313coll35/image/24.pdf
A letter to the commanding general of the fifth military district from Col. J. Edmondston, Judge Wm. Hawes Harris and others, on behalf of many prominent and distinguished constitutional union men of Louisiana, concerning state reconstruction under the Constitution prescribed by acts of Congress. Also, including remarks concerning the ways and means of repairing and rebuilding the levees of Louisiana.	1867	Edmonston, J.	Reconstruction (U.S. history, 1865-1877)--Louisiana; Levees--Mississippi River		New Orleans, J. H. Keefe, printer, 1867.	14 p. 23 cm.		F375 .E24	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/24	24	25.pdf	/p16313coll35/image/25.pdf
Levees--Mississippi and other rivers : letter from the Secretary of the Treasury on the subject of constructing levees on the Mississippi, Red, Arkansas and Missouri rivers	1835		Levees	Mississippi River.; Red River (Tex.-La.); Arkansas River.; Missouri River.	[S.l. : s.n.], 1835.	43 p., [1] folded leafof plates: map ; 25 cm.	At head of title: 24th Congress, 1st session, Doc. no. 11, Ho. of Reps. Treas. Dept.	TC533 .L39 1835	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/25	25	26.pdf	/p16313coll35/image/26.pdf
Levees of the Mississippi river. Speech of Hon. Lionel A. Sheldon ... in the House of Representatives, December 21, 1871	1871	Sheldon, Lionel A. (Lionel Allen), 1831-1917.		Mississippi River--Levees.	Washington, Printed at the Congressional Globe Office, 1871.	8 p. 25 cm.	Caption title; Librarys c.2 is a xerox copy.	TC425 .M62 S5	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/26	26	27.pdf	/p16313coll35/image/27.pdf
Making rich black farms from Louisiana's wet lands. Reclamation	1910s	Louisiana Meadows Investment Co., New Orleans	Reclamation of land--Louisiana		New Orleans, Louisiana Printing Co., 191-?	[12] l. illus. 11 x 24 cm.	Cover-title	TC824 .L8 L5	land reclamation										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/28	28	29.pdf	/p16313coll35/image/29.pdf
A Mathematical study of the impact on salinity intrusion of deepening the lower Mississippi River navigation channel	1987	Johnson, Billy H.	Saline waters--Mississippi River; Stream channelization--Mississippi River.		Vicksburg, Miss. : Hydraulics Laboratory, Dept. of the Army Waterways Experiment Station, Corps of Engineers, [1987]	69 p. : ill., maps ; 28 cm.	Cover title; April 1987; Prepared for US Army Engineer District, New Orleans; Final report.	D 103.24/2:HL-87-1											2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/29	29	30.pdf	/p16313coll35/image/30.pdf
Memorial from the Board of Levee Commissioners of the state of Louisiana : in behalf of the people of said state, to the Congress of the United States : asking national aid and assistance in the reconstruction of levees on the Mississippi River	1866	Louisiana. Board of Levee Commissioners.	Levees--Mississippi River; Flood control--Louisiana; Flood control--Mississippi River; Levees		New Orleans : New Orleans Times Book and Job Office, 1866.	12 p. ; 24 cm.		TC425 .M63 L68	flood control										2013-05-10	2013-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/30	30	31.pdf	/p16313coll35/image/31.pdf
Multum in parvo : respectfully dedicated by the authors to the people of the Mississippi Valley : the all-levee fallacy exposed : outlets in combination with levees the only hope of the rich Mississippi Valley : addresses of Dr. G. H. Tichenor, Captain T. P. Leathers and Governor Fishback of Arkansas on this all-important question	1893	Tichenor, G. H.	Levees--Mississippi River; Floods--Mississippi River Valley; Flood control--Mississippi River Valley		N.O. [i.e. New Orleans] La. : A.M. Escudier, [1893?]	14 p. ; 21 cm.	Cover title; librarys copy incomplete.	TC425 .M62 M85 1893	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/31	31	32.pdf	/p16313coll35/image/32.pdf
The official reports of building the Red River dam : at Alexandria, La., May 1864, which saved the Mississippi flotilla, under Admiral Porter, from destruction	1896	Pearsall, Uri B.	Red River Expedition, 1864	United States--History--Civil War, 1861-1865--Sources; United States--History--Civil War, 1861-1865--Engineering and construction	S.l. : s.n., pref. 1896	14 [1] p. 23 cm.	Extracts from v.34, ser. 61, of the History of the Union and Confederate armies, pub. by the War Dept., i.e., The war of the rebellion: a compilation of official records of the Union and Confederate armies.	E476.8 .P43	general river studies										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/32	32	33.pdf	/p16313coll35/image/33.pdf
Old river control	1981	United States. Army. Corps of Engineers. New Orleans District.	Flood control--Louisiana--Old River.	Old River (La.)	New Orleans, La. : US Army Corps of Engineers, New Orleans District, 1981.	1 sheet. : ill., map ; 61 X 40 cm.	Cover title.	D 103.302:OL 1 X											2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/33	33	34.pdf	/p16313coll35/image/34.pdf
Old river diversion: barge barrier study  (report 3)	1984	Nickles, Charles R.	Hydraulic structures--Models--Mississippi River; Channels (Hydraulic engineering)--Mississippi River; Pontoons; Barges--Mississippi River; Dikes (Engineering)--Models--Mississippi River.	Mississippi River.	Vicksburg, Miss. : U.S. Army Engineer Waterways Experiment Station ; [Springfield, Va. : Available from National Technical Information Service, 1984]	54 p. in various pagings, 18 p. of plates : ill., photos. ; 27 cm.	Cover title; April 1984.	D 103.24/2:HL-84-4/RPT.3											2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/34	34	35.pdf	/p16313coll35/image/35.pdf
Old river diversion: outflow channel investigations (report 4)	1989	Nickles, Charles R.	Stream channelization--Models--Louisiana--Old River; Diversion structures (Hydraulic engineering)--Models--Louisiana--Old River.		[Vicksburg, Miss. : U.S. Army Engineer Waterways Experiment Station ; Springfield, Va. : available from National Technical Information Service, 1989]	51 p. in various pagings : ill. ; 28 cm.	Cover title; April 1989.	D 103.24/2:HL-84-4/RPT.4											2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/35	35	36.pdf	/p16313coll35/image/36.pdf
Principles and practice of embanking lands from riverfloods, as applied to levees of the Mississippi	1860	Hewson, William	Levees; Levees--Mississippi River		New York, D. Van Nostrand, 1860.	171 p. illus., tables. 24 cm.		TC337 .H6 LARA	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/36	36	37.pdf	/p16313coll35/image/37.pdf
Protection from overflow and reclamation of thirty thousand square miles of alluvial lands in the lower Mississippi River : a national work	1916	Mississippi River Levee Association.	Flood damage prevention--Mississippi River; Levees--Mississippi River		[Memphis, Tenn.] : Memphis Linotype Print. Co., [1916? 1913?]	15 p. : map, plan ; 24 cm.	Cover title	TC425 .M62 M56	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/38	38	39.pdf	/p16313coll35/image/39.pdf
Red River Waterway, La. Tex., Ark., and Okla., Mississippi River to Shreveport, La. reach, lock and dam no. 1 : hydraulic model investigation : final report	1977	Oswalt, Noel R.	Hydraulic models; Stilling basins; Spillways.		Vicksburg, Miss. : [Dept. of Defense, Dept. of the Army], Corps of Engineers, Waterways Experiment Station, Hydraulics Laboratory, 1977.	21, [18] p., 21 plates : ill. ; 27 cm.	Prepared by Hydraulics Laboratory for Army Engineer District, New Orleans; June 1977.	D103.24/2:H-77-13											2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/39	39	40.pdf	/p16313coll35/image/40.pdf
Regular session, Legislature of 1892. Act no. 13, creating Lafourche basin levee district, and acts nos. 100, 5, 98, 92 and 16, being laws of the state of Louisiana referring to levees	1892	Louisiana. Laws, statutes, etc.	Levees		New Orleans, Garcia Stationery Co., Ltd. [1892]	28 p. 23 cm.	Cover-title	KFL446 .A3 1892	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/40	40	41.pdf	/p16313coll35/image/41.pdf
Report of a commission consisting of J. G. Barnard, ... H. G. Wright, ... B. S. Alexander, ... upon the works for the improvement of the South Pass of the Mississippi River	1876	United States. Army. Corps of Engineers	River engineering--Mississippi River	Jetties--Mississippi River	Washington : G.P.O., 1876.	9 p. ; 23 cm.		TC425 .M65 U63 1876	inland navigation										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/41	41	42.pdf	/p16313coll35/image/42.pdf
Report of Col. S. Van Wickle, Commissioner Second District Swamp Lands	1854	Louisiana. Second Swamp Land District.	Drainage--Louisiana; Flood control--Louisiana		New Orleans : Emile La Sere, State Printer, 1854.	8 p. ; 25 cm.	At head of title: Appendix; Report is addressed to P.O. Hebert, Governor of Louisiana, and dated December 19, 1853; Sometimes also found as an appendix to the Louisiana Senate journal for 1854. Cf. Foote.	TC977 .L8 A52 1854 LARA	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/43	43	44.pdf	/p16313coll35/image/44.pdf
Report of the acting Secretary of the Interior relative to the swamp and overflowed lands in Louisiana	1850	United States. General Land Office.	Public lands--Louisiana--History; Floods--Louisiana--History--19th century; Floods--Mississippi River--History--19th century; Flood control--Louisiana	Louisiana--Surveys	Washington, D.C., 1850	8 p. ; 25 cm. + 1 folded map.	Caption title; At head of title: 31st Congress, 1st session. Senate. Ex. doc. no. 68; August 26, 1850. Ordered to lie on the table, and be printed. September 6, 1850. Ordered that 2,000 extra copies be printed; Accompanying map has caption: Map of Louisiana representing the several land districts. Prepared to accompany the Surveyor Generals report. Surveyor Generals Office, Donaldsonville, La., Oct. 18th, 1849. R. W. Boyd, Sur. Genl. La.; There may have been more than one map originally accompanying this document. Librarys LLMVC copy is accompanied only by the map described above. Portions of map are shaded in pink (hand-colored).	HD243 .L8 U57 1850 LARA	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/44	44	45.pdf	/p16313coll35/image/45.pdf
Report of the Board of Swamp Land Commissioners, and state engineer : under joint resolution no. 105, approved March 16th, 1858	1859	Louisiana. Board of Swamp Land Commissioners.	Public works--Louisiana; Slave labor--Louisiana; Reclamation of land--Louisiana; Levees--Louisiana		Baton Rouge : J. M. Taylor, 1859.	8 p. ; 22 cm.	January 1859; Report is addressed to the Senate and House of Representatives of Louisiana. Concerns inquiry into the possible merging of the states Internal Improvement Department with the Board of Swamp Land Commissioners, and what would be done with slaves and equipment owned by the state under the control of the state engineer at the time; Also found in: Documents of the second session of the Fourth Legislature of the state of Louisiana (Baton Rouge : J. M. Taylor, 1859); Copy in librarys Documents of the ... Legislature is in LLMVC J87 .L8 1858p.	HD3890 .L8 L68 1859 LARA	land reclamation										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/45	45	46.pdf	/p16313coll35/image/46.pdf
Report of the Commission of persons [to inspect the work of the Louisiana Levee Company] to the General Assembly of Louisiana for the year 1875, session of 1876	1876	Louisiana. Commission of Persons to Inspect the Work of the Louisiana Levee Company.			New Orleans, Printed at the Republican Office, 1876.	7 p. 23 cm.		TC533 .L8 L6 1875	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/46	46	47.pdf	/p16313coll35/image/47.pdf
Report of the engineer of the Second District Swamp Lands, state of Louisiana	1854	Louisiana. Second Swamp Land District.	Drainage--Louisiana; Flood control--Louisiana		New Orleans : Emile La Sere, State Printer, 1854.	6, [1] p. ; 25 cm.	At head of title: Appendix; Report dated December 20, 1853, and signed: Lafayette Caldwell; addressed to Stephen Van Wickle, Commissioner, Second Swamp Land District; Sometimes also found as an appendix to the Louisiana Senate journal for 1854. Cf. Foote; Last page contains letter to L. Caldwell from John Lobdell of West Baton Rouge Parish, requesting a levee be built at his plantation.	TC977 .L8 A53 1854 LARA	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/47	47	48.pdf	/p16313coll35/image/48.pdf
Report of the Joint committee appointed to examine the accounts of the Swamp land commissioners. To the general assembly	1859	Louisiana. Legislature. Joint Committee Appointed to Examine the Accounts of the Swamp Land Commissioners.	Reclamation of land--Louisiana; Public contracts--Louisiana.		Baton Rouge, J.M. Taylor, state printer, 1859.	8 p. 23 cm.		HD1683 .U5 L8 1859 LARA	land reclamation										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/48	48	49.pdf	/p16313coll35/image/49.pdf
Report of the Joint Committee Appointed to Examine the Accounts of the Swamp Land Commissioners : to the Legislature	1855	Louisiana. Legislature. Joint Committee Appointed to Examine the Accounts of the Swamp Land Commissioners.	Reclamation of land--Louisiana; Public contracts--Louisiana		New Orleans : Emile La Sere, State Printer, 1855.	61 p. ; 24 cm.	March 1855.	HD1683 .U5 L8 1855 LARA	land reclamation										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/49	49	50.pdf	/p16313coll35/image/50.pdf
Report of the State engineer of the state of Louisiana to the General assembly. Session--January 1867	1867	Louisiana. State Engineer.		Mississippi River--Levees	New Orleans, J.O. Nixon, State Printer, 1867.	6 p. 22 cm.		TC425 .M62 L67	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/50	50	51.pdf	/p16313coll35/image/51.pdf
Report of T.S. Hardee, city surveyor of New Orleans, on a special survey of Lake Pontchartrain, in connection with the effects of the Bonnet Carré crevasse, and the dangers from overflow, with accompanying chart	1876	New Orleans (La.) City surveyor.	Floods--Louisiana--New Orleans	Pontchartrain, Lake (La.); Mississippi River--Levees	New Orleans, A.W. Hyatt, stationer and printer, 1876.	10 p. 23 1/2cm.	cover-title	TC425 .P6 N49 1876	flood control										2013-05-10	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/51	51	52.pdf	/p16313coll35/image/52.pdf
Special report of the Commissioner of the Second Swamp Land District, submitting engineers report of the survey of the valley of Lafourche and Terrebonne, to the General Assembly	1859	Louisiana. Second Swamp Land District.	Drainage--Louisiana; Reclamation of land--Louisiana		Baton Rouge : J.M. Taylor, State Printer, 1859.	8 p. ; 22 cm.	Submitted by Lafayette Caldwell, March 7, 1859; Engineers report signed: Jos. Gorlinski.	TC977 .L8 A52 1859 LARA	land reclamation										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/52	52	53.pdf	/p16313coll35/image/53.pdf
Special report of the state engineer on the system of internal improvements, to the legislature of the state of Louisiana	1857	Louisiana. State engineer.	Rivers--Louisiana; Louisiana--Public works.	Louisiana--Flood control; Levees--Louisiana	Baton Rouge, Printed at the office of the Daily Advocate, 1857.	24 p. 24 cm.		TC424 .L8 A4 1857 LARA	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/53	53	54.pdf	/p16313coll35/image/54.pdf
Special report ... to the governor of Louisiana on the mouth of Red river and the falls at Alexandria, January 23, 1874	1874	Louisiana Board of State Engineers		Louisiana--Red River	New Orleans, Printed at the Republican Office, 1874.	66 p.: ill. 23 cm.	Cover title; Includes 7 plates of which 6 are folded	TC425 .R3 L6 1874	general river studies										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/54	54	55.pdf	/p16313coll35/image/55.pdf
Speech of Hon. B.F. Jonas, of Louisiana, in the Senate of the United States, April 19, 1882	1882	Jonas, B. F. (Benjamin Franklin), 1834-1911.	Flood control--Mississippi River--Speeches in Congress; Flood control--Law and legislation--United States--Speeches in Congress; Levees--Mississippi River--Speeches in Congress	Mississippi River--Navigation--Law and legislation	S.l. : s.n., 1882?	18 p. ; 21 cm.		TC425 .M6 J66 1882	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/55	55	56.pdf	/p16313coll35/image/56.pdf
