Title	Compound	Photographer	Date	Dates	Subjects	Notes	Type	Original Format/Size	Digital Type	Digital Size	Digital Reproduction Information	Digital Collection	Repository	Repository Collection	Repository Collection Guide	Physical Description	Restrictions	Cite As	Contact and Ordering Information	Item Number	Item URL	Collection URL	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Conrad, Joseph S., Ithaca, N.Y., infantry	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits in a chair facing left, one hand rests in his lap, the other, bent at the elbow, appears to rest on the chair seat. This page marked "11."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530011	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/54	54	55.jpg	/LSU_GCS/image/55.jpg
Conner, Edward J., Exeter, N.H., infantry, you look indignant Ned.	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits in a chair facing left near a table covered with a knitted throw, his hands resting on his upper thighs. This page marked "12."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530012	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/55	55	56.jpg	/LSU_GCS/image/56.jpg
Claflin, Ira W., Indian Prairie, Van Buren Co., Iowa, Mounted Rifles	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform and a fully extended brimmed hat, sits facing right in a chair next to a table with a knitted throw covering it. This page marked "13."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530013	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/56	56	57.jpg	/LSU_GCS/image/57.jpg
[Cone, Aurelius F. ?], Infantry, rebel	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 standing portrait. The subject, wearing a uniform, a dress hat with cockade, and a sash around his waist, stands facing left next to a table with a knitted throw covering it. His right hand rests on the table, his left hangs at his side. This page marked "14." Identification of the sitter verified by the USMA.	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530014	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/57	57	58.jpg	/LSU_GCS/image/58.jpg
Durfee, Charles, Ohio, did not graduate	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform with most of the blouse buttons open and a partially extended brimmed hat, sits facing right in a chair next to a table with a knitted throw covering it. This page marked "15."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530015	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/58	58	59.jpg	/LSU_GCS/image/59.jpg
Fish, Oliver H., Florence, Ky., cavalry	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform with a sash around his waist, sits in a chair facing left near a table covered with a knitted throw, his hands resting on his upper thighs. He holds a sword in his left hand across his thighs. This page marked "16."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530016	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/59	59	60.jpg	/LSU_GCS/image/60.jpg
Farrand, Charles E., Pensacola, Fla., Infantry	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits facing left in a chair next to a table with a knitted throw covering it. His dress uniform hat with cockade rests on the table, he wears a sash with tassels around his waist, and holds a sword at an angle across his lap in his right hand. This page marked "17."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530017	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/60	60	61.jpg	/LSU_GCS/image/61.jpg
Holt, George M., Mobile, Ala., Infantry, rebel	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits sideways in a chair, his right arm resting on the top of the chair, his left hand resting on his left thigh. This page marked "18."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530018	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/61	61	62.jpg	/LSU_GCS/image/62.jpg
Jackson, Andrew, Jr., Nashville, Tenn, Graduates in next class, rebel	No	unknown	ca. 1857		United States Military Academy. Class of 1858--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform and a fully extended brimmed hat, sits in a chair directly facing the camera, his arms crossed. This page marked "19."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530019	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/62	62	63.jpg	/LSU_GCS/image/63.jpg
Kimmel, Manning M., Missouri, Cavalry	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits facing left in a chair next to a table with a knitted throw covering it. His dress uniform hat with cockade rests on the table, he wears a sash with tassels around his waist, and holds a sword at an angle across his lap. This page marked "20."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530020	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/63	63	64.jpg	/LSU_GCS/image/64.jpg
Kensel, George A., Lexington, Ky., Artillery	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform with a sash around his waist, sits in a chair facing left near a table covered with a knitted throw, his hands resting on his upper thighs. He holds a sword in his left hand across his thighs. This page marked "21."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530021	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/64	64	65.jpg	/LSU_GCS/image/65.jpg
Lee, Thomas J., Greencastle, Indiana, Infantry, Yours most sincerely, commands___ Cummings went to Utah	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits sideways in a chair, his right arm resting on the top of the chair, his left hand resting on his left thigh. This page marked "22."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530022	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/65	65	66.jpg	/LSU_GCS/image/66.jpg
Morgan, Charles H., Syracuse, N.Y., artillery	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits facing left in a chair next to a table with a knitted throw covering it. His dress uniform hat with cockade rests on the table, he wears a sash with tassels around his waist, and holds a sword at an angle across his lap. This page marked "23."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530023	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/66	66	67.jpg	/LSU_GCS/image/67.jpg
Magruder, John T., Charlesville, Va., Cavalry	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits facing left in a chair next to a table with a knitted throw covering it. His dress uniform hat with cockade rests on the table, he wears a sash with tassels around his waist, and holds a sword at an angle across his lap. This page marked "24."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530024	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/67	67	68.jpg	/LSU_GCS/image/68.jpg
Marmaduke, John Sappingon, Missouri, Infantry, rebel	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits in a chair directly facing the camera near a table with a knitted throw covering it, his arms crossed. This page marked "25."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530025	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/68	68	69.jpg	/LSU_GCS/image/69.jpg
Meade, Richard K., Jr., Petersburg, Va., Engineers, rebel	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits in a chair facing left, his arms crossed. This page marked "26."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530026	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/69	69	70.jpg	/LSU_GCS/image/70.jpg
McNeill, Harry C., Galveston, Tx., Mounted Rifles, Rebel	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits facing left in a chair next to a table with a knitted throw covering it. His dress uniform hat with cockade, sword, and gloves rest on the table. This page marked "27."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530027	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/70	70	71.jpg	/LSU_GCS/image/71.jpg
Putnam, Haldiman S., Cornish, N.H., Top Engineers	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits in a chair facing left, his left hand holding a riding crop on his left thigh, his right hand resting on the chair seat. This page marked "28."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530028	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2008-07-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/71	71	72.jpg	/LSU_GCS/image/72.jpg
Peck, Lafayette, Mossy Creek, E. Tenn., Infantry	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits facing left in a chair, his legs crossed, his right arm resting on the top of the chair, his left hand resting in his lap. This page marked "29." A small piece of the mounting board is missing near the lower left edge of the image.	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530029	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/72	72	73.jpg	/LSU_GCS/image/73.jpg
